step,loss,lr,elapsed_sec
50,2.088387,0.00001333,60.4
100,1.426358,0.00001999,119.7
150,1.395313,0.00001988,178.8
200,1.386139,0.00001966,238.0
250,1.378088,0.00001934,297.1
300,1.378423,0.00001892,356.1
350,1.371707,0.00001840,415.7
400,1.371821,0.00001779,474.7
450,1.369299,0.00001710,534.0
500,1.369095,0.00001633,593.3
550,1.367317,0.00001550,653.0
600,1.366566,0.00001462,712.0
650,1.366385,0.00001369,771.8
700,1.366013,0.00001273,830.9
750,1.366196,0.00001174,890.0
800,1.366004,0.00001075,949.1
850,1.365817,0.00000976,1008.1
900,1.365852,0.00000879,1067.2
950,1.365723,0.00000784,1126.6
1000,1.365868,0.00000694,1185.7
1050,1.366573,0.00000608,1255.7
1100,1.365929,0.00000528,1314.8
1150,1.365883,0.00000455,1374.0
1200,1.365788,0.00000390,1432.9
1250,1.365829,0.00000333,1492.5
1300,1.365921,0.00000286,1551.6
1350,1.365817,0.00000249,1610.8
1400,1.365927,0.00000222,1669.8
1450,1.365805,0.00000205,1728.9
1500,1.365692,0.00000200,1788.1
