step,loss,lr,elapsed_sec
50,3.840067,0.00001333,59.2
100,3.858834,0.00001999,117.3
150,3.674683,0.00001988,175.8
200,3.615304,0.00001966,233.8
250,3.432773,0.00001934,292.3
300,3.461481,0.00001892,350.4
350,3.519635,0.00001840,408.4
400,3.281142,0.00001779,466.8
450,3.170402,0.00001710,524.7
500,3.119393,0.00001633,583.0
550,3.069341,0.00001550,643.7
600,2.990885,0.00001462,702.1
650,3.061946,0.00001369,760.2
700,3.063068,0.00001273,818.2
750,2.796586,0.00001174,876.6
800,2.909380,0.00001075,934.5
850,2.869486,0.00000976,992.9
900,2.905029,0.00000879,1050.8
950,2.892106,0.00000784,1108.6
1000,2.642717,0.00000694,1167.1
1050,2.757483,0.00000608,1238.3
1100,2.794068,0.00000528,1296.9
1150,2.809407,0.00000455,1354.9
1200,2.759630,0.00000390,1413.5
1250,2.692741,0.00000333,1471.6
1300,2.716038,0.00000286,1529.6
1350,2.807733,0.00000249,1588.1
1400,2.626803,0.00000222,1646.1
1450,2.664995,0.00000205,1704.7
1500,2.738576,0.00000200,1762.7
