step,loss,lr,elapsed_sec
50,1.653156,0.00001333,60.3
100,1.391809,0.00001999,119.4
150,1.382471,0.00001988,178.3
200,1.376184,0.00001966,237.4
250,1.374205,0.00001934,296.5
300,1.372281,0.00001892,355.3
350,1.371599,0.00001840,414.7
400,1.369757,0.00001779,473.8
450,1.369157,0.00001710,532.7
500,1.370337,0.00001633,591.9
550,1.368586,0.00001550,651.4
600,1.368795,0.00001462,710.2
650,1.368757,0.00001369,769.7
700,1.368569,0.00001273,829.0
750,1.368689,0.00001174,888.0
800,1.368447,0.00001075,947.0
850,1.368693,0.00000976,1006.0
900,1.368631,0.00000879,1064.9
950,1.368647,0.00000784,1124.3
1000,1.368730,0.00000694,1183.3
1050,1.368638,0.00000608,1253.0
1100,1.368720,0.00000528,1312.2
1150,1.368574,0.00000455,1371.2
1200,1.368619,0.00000390,1430.0
1250,1.369915,0.00000333,1489.3
1300,1.368376,0.00000286,1548.3
1350,1.368421,0.00000249,1607.2
1400,1.368541,0.00000222,1666.1
1450,1.368582,0.00000205,1725.1
1500,1.368466,0.00000200,1783.9
