step,loss,lr,elapsed_sec
50,5.512703,0.00001333,59.3
100,4.649339,0.00001999,117.4
150,4.471996,0.00001988,175.5
200,4.181009,0.00001966,234.0
250,4.092605,0.00001934,291.9
300,4.001983,0.00001892,350.0
350,4.030223,0.00001840,408.1
400,3.825889,0.00001779,466.4
450,3.771041,0.00001710,524.4
500,3.761629,0.00001633,582.4
550,3.611517,0.00001550,643.3
600,3.711763,0.00001462,701.1
650,3.733804,0.00001369,759.0
700,3.632626,0.00001273,816.8
750,3.678591,0.00001174,875.1
800,3.539319,0.00001075,933.1
850,3.544820,0.00000976,991.1
900,3.444209,0.00000879,1049.3
950,3.431155,0.00000784,1107.2
1000,3.496874,0.00000694,1165.3
1050,3.516376,0.00000608,1236.4
1100,3.428395,0.00000528,1294.8
1150,3.441857,0.00000455,1352.7
1200,3.442989,0.00000390,1410.8
1250,3.556456,0.00000333,1469.1
1300,3.337449,0.00000286,1527.0
1350,3.481011,0.00000249,1584.9
1400,3.494281,0.00000222,1642.8
1450,3.454748,0.00000205,1701.0
1500,3.464342,0.00000200,1758.8
