step,loss,lr,elapsed_sec
50,3.065184,0.00001333,80.7
100,1.566356,0.00001999,160.4
150,1.501831,0.00001988,239.7
200,1.455317,0.00001966,318.7
250,1.430149,0.00001934,397.9
300,1.413885,0.00001892,476.9
350,1.401064,0.00001840,556.1
400,1.391453,0.00001779,635.0
450,1.388119,0.00001710,714.2
500,1.382369,0.00001633,794.0
550,1.376583,0.00001550,873.9
600,1.373374,0.00001462,953.4
650,1.370977,0.00001369,1033.2
700,1.369213,0.00001273,1112.7
750,1.368351,0.00001174,1192.2
800,1.367553,0.00001075,1272.0
850,1.367614,0.00000976,1351.3
900,1.367172,0.00000879,1430.4
950,1.367274,0.00000784,1510.3
1000,1.367238,0.00000694,1589.6
1050,1.367711,0.00000608,1680.6
1100,1.367646,0.00000528,1759.7
1150,1.367159,0.00000455,1839.2
1200,1.367176,0.00000390,1918.8
1250,1.367632,0.00000333,1998.1
1300,1.367021,0.00000286,2078.1
1350,1.367296,0.00000249,2157.9
1400,1.367285,0.00000222,2238.0
1450,1.367602,0.00000205,2317.8
1500,1.367606,0.00000200,2397.3
