step,loss,lr,elapsed_sec
50,2.632775,0.00001333,137.7
100,1.617749,0.00001999,274.2
150,1.531104,0.00001988,411.5
200,1.475301,0.00001966,548.9
250,1.443810,0.00001934,685.8
300,1.422759,0.00001892,823.1
350,1.407818,0.00001840,959.7
400,1.396387,0.00001779,1097.4
450,1.387190,0.00001710,1234.3
500,1.380506,0.00001633,1371.6
550,1.376176,0.00001550,1509.6
600,1.373029,0.00001462,1646.2
650,1.370958,0.00001369,1783.9
700,1.369421,0.00001273,1921.0
750,1.368850,0.00001174,2057.9
800,1.368590,0.00001075,2194.7
850,1.368894,0.00000976,2332.0
900,1.368550,0.00000879,2469.0
950,1.368356,0.00000784,2606.2
1000,1.368303,0.00000694,2743.7
1050,1.368352,0.00000608,2893.6
1100,1.368310,0.00000528,3031.8
1150,1.368282,0.00000455,3170.5
1200,1.368344,0.00000390,3308.4
1250,1.368237,0.00000333,3445.8
1300,1.368423,0.00000286,3583.8
1350,1.368242,0.00000249,3722.8
1400,1.368329,0.00000222,3860.5
1450,1.368321,0.00000205,3999.0
1500,1.368330,0.00000200,4136.1
