step,loss,lr,elapsed_sec
50,4.669724,0.00000250,59.1
100,4.324946,0.00000500,117.3
150,4.006256,0.00000750,175.8
200,3.938345,0.00001000,233.8
250,3.748434,0.00001250,292.3
300,3.908063,0.00001500,350.4
350,3.686720,0.00001750,408.4
400,3.553325,0.00002000,466.8
450,3.270383,0.00002000,524.7
500,3.423763,0.00002000,583.1
550,3.437564,0.00001999,643.7
600,3.232123,0.00001998,702.2
650,3.131289,0.00001997,760.2
700,3.263362,0.00001996,818.2
750,2.953345,0.00001994,876.8
800,2.937152,0.00001992,934.8
850,2.830124,0.00001990,993.3
900,2.837242,0.00001988,1051.2
950,2.733015,0.00001985,1109.1
1000,2.667924,0.00001983,1167.6
1050,2.727882,0.00001980,1238.4
1100,2.435252,0.00001976,1296.9
1150,2.519526,0.00001973,1354.7
1200,2.333481,0.00001969,1413.2
1250,2.381081,0.00001965,1471.1
1300,2.361770,0.00001961,1529.0
1350,2.311007,0.00001957,1587.5
1400,2.231008,0.00001952,1645.5
1450,2.101489,0.00001947,1703.9
1500,2.118357,0.00001942,1761.9
1550,2.015196,0.00001937,1822.9
1600,2.040244,0.00001931,1880.7
1650,2.048055,0.00001926,1938.7
1700,2.004609,0.00001920,1997.1
1750,1.971674,0.00001914,2055.0
1800,1.877062,0.00001907,2113.4
1850,1.937719,0.00001901,2171.4
1900,1.914752,0.00001894,2229.5
1950,1.870561,0.00001887,2287.9
2000,1.868813,0.00001879,2346.0
2050,1.791976,0.00001872,2418.6
2100,1.835819,0.00001864,2476.7
2150,1.793103,0.00001856,2535.1
2200,1.775543,0.00001848,2593.0
2250,1.792206,0.00001840,2650.8
2300,1.734991,0.00001832,2709.3
2350,1.738732,0.00001823,2767.4
2400,1.702930,0.00001814,2825.8
2450,1.742025,0.00001805,2883.8
2500,1.652014,0.00001796,2942.3
2550,1.681990,0.00001786,3002.8
2600,1.680413,0.00001777,3060.7
2650,1.648800,0.00001767,3119.2
2700,1.652235,0.00001757,3177.2
2750,1.661787,0.00001747,3235.6
2800,1.633011,0.00001736,3293.6
2850,1.637697,0.00001726,3351.5
2900,1.633002,0.00001715,3410.0
2950,1.633993,0.00001704,3468.0
3000,1.648574,0.00001693,3526.5
3050,1.597059,0.00001682,3599.2
3100,1.606552,0.00001671,3657.7
3150,1.588621,0.00001659,3715.7
3200,1.641177,0.00001648,3773.7
3250,1.591963,0.00001636,3832.2
3300,1.585768,0.00001624,3890.1
3350,1.582088,0.00001612,3948.3
3400,1.567397,0.00001600,4006.1
3450,1.563382,0.00001588,4064.5
3500,1.577550,0.00001575,4122.3
3550,1.565927,0.00001563,4182.8
3600,1.545131,0.00001550,4241.2
3650,1.560372,0.00001537,4299.1
3700,1.547451,0.00001524,4357.6
3750,1.540750,0.00001511,4415.6
3800,1.539873,0.00001498,4473.6
3850,1.527858,0.00001485,4531.9
3900,1.550314,0.00001471,4589.8
3950,1.536017,0.00001458,4648.3
4000,1.527278,0.00001444,4706.3
4050,1.505744,0.00001431,4779.6
4100,1.506768,0.00001417,4837.6
4150,1.521117,0.00001403,4895.6
4200,1.524591,0.00001389,4954.1
4250,1.506657,0.00001375,5012.1
4300,1.510519,0.00001361,5070.5
4350,1.504876,0.00001347,5128.5
4400,1.505885,0.00001333,5187.1
4450,1.499862,0.00001319,5245.1
4500,1.522876,0.00001304,5303.1
4550,1.493118,0.00001290,5364.2
4600,1.533588,0.00001276,5422.3
4650,1.514612,0.00001261,5480.7
