step,loss,lr,elapsed_sec
50,2.501506,0.00001333,142.4
100,1.487068,0.00001999,284.2
150,1.437751,0.00001988,426.4
200,1.408295,0.00001966,568.6
250,1.391841,0.00001934,710.7
300,1.382019,0.00001892,852.6
350,1.376020,0.00001840,994.7
400,1.371979,0.00001779,1137.1
450,1.369159,0.00001710,1278.4
500,1.367311,0.00001633,1419.9
550,1.366377,0.00001550,1562.7
600,1.365862,0.00001462,1704.9
650,1.365443,0.00001369,1847.0
700,1.365188,0.00001273,1988.5
750,1.365042,0.00001174,2130.5
800,1.365021,0.00001075,2272.6
850,1.365311,0.00000976,2414.7
900,1.364946,0.00000879,2556.8
950,1.365021,0.00000784,2699.0
1000,1.364927,0.00000694,2840.6
1050,1.364929,0.00000608,2993.3
1100,1.364978,0.00000528,3135.4
1150,1.364926,0.00000455,3277.8
1200,1.364953,0.00000390,3419.8
1250,1.364973,0.00000333,3560.9
1300,1.364910,0.00000286,3702.9
1350,1.364955,0.00000249,3844.6
1400,1.364937,0.00000222,3986.6
1450,1.364962,0.00000205,4128.4
1500,1.364892,0.00000200,4270.9
