step,loss,lr,elapsed_sec
50,2.890132,0.00001333,89.4
100,1.550064,0.00001999,176.6
150,1.480553,0.00001988,263.3
200,1.434141,0.00001966,350.4
250,1.412865,0.00001934,438.9
300,1.400024,0.00001892,526.6
350,1.390158,0.00001840,613.9
400,1.382709,0.00001779,701.2
450,1.377897,0.00001710,788.6
500,1.373559,0.00001633,876.1
550,1.371177,0.00001550,964.3
600,1.369188,0.00001462,1051.8
650,1.368176,0.00001369,1139.4
700,1.367090,0.00001273,1226.4
750,1.366886,0.00001174,1314.1
800,1.366864,0.00001075,1401.5
850,1.366771,0.00000976,1489.8
900,1.366677,0.00000879,1577.8
950,1.366547,0.00000784,1665.4
1000,1.366608,0.00000694,1752.8
1050,1.366417,0.00000608,1851.5
1100,1.366518,0.00000528,1939.3
1150,1.366487,0.00000455,2027.6
1200,1.366657,0.00000390,2115.6
1250,1.366508,0.00000333,2203.3
1300,1.366519,0.00000286,2290.7
1350,1.366446,0.00000249,2378.3
1400,1.366415,0.00000222,2466.7
1450,1.366509,0.00000205,2554.1
1500,1.366458,0.00000200,2642.2
