step,loss,lr,elapsed_sec
50,7.100315,0.00000250,102.3
100,5.148576,0.00000500,203.6
150,2.997950,0.00000750,305.5
200,1.862883,0.00001000,407.3
250,1.595127,0.00001250,508.5
300,1.513379,0.00001500,610.2
350,1.476141,0.00001750,711.5
400,1.444608,0.00002000,813.4
450,1.423798,0.00002000,915.3
500,1.410484,0.00001999,1017.2
550,1.401978,0.00001998,1119.5
600,1.393224,0.00001997,1221.0
650,1.387737,0.00001995,1322.3
700,1.381804,0.00001993,1423.5
750,1.376952,0.00001991,1525.6
800,1.373198,0.00001988,1626.7
850,1.370489,0.00001984,1728.3
900,1.368597,0.00001981,1829.9
950,1.367860,0.00001977,1931.3
1000,1.366428,0.00001972,2033.5
1050,1.366023,0.00001968,2146.4
1100,1.366341,0.00001963,2248.0
1150,1.365762,0.00001957,2350.0
1200,1.365703,0.00001951,2451.8
1250,1.365588,0.00001945,2553.3
1300,1.365621,0.00001938,2654.8
1350,1.365476,0.00001931,2755.6
1400,1.365580,0.00001924,2857.2
1450,1.365427,0.00001917,2958.0
1500,1.365454,0.00001909,3059.1
1550,1.365569,0.00001900,3161.5
1600,1.366282,0.00001892,3263.1
1650,1.365278,0.00001883,3365.1
1700,1.365426,0.00001873,3466.1
1750,1.365363,0.00001863,3567.4
1800,1.365314,0.00001853,3669.4
1850,1.365316,0.00001843,3771.3
1900,1.365457,0.00001832,3873.0
1950,1.365268,0.00001821,3974.5
2000,1.365222,0.00001810,4076.1
2050,1.365259,0.00001799,4188.4
2100,1.365202,0.00001787,4289.8
2150,1.365223,0.00001775,4392.3
2200,1.365162,0.00001762,4493.9
2250,1.365154,0.00001749,4595.4
2300,1.365208,0.00001736,4697.9
2350,1.365186,0.00001723,4799.5
2400,1.365140,0.00001710,4901.0
2450,1.365231,0.00001696,5002.6
2500,1.365692,0.00001682,5103.9
2550,1.365154,0.00001667,5206.0
2600,1.365122,0.00001653,5307.4
2650,1.365328,0.00001638,5408.6
2700,1.365442,0.00001623,5510.2
2750,1.365355,0.00001608,5611.8
2800,1.365106,0.00001592,5713.1
2850,1.365379,0.00001577,5815.5
2900,1.365112,0.00001561,5917.4
2950,1.365115,0.00001545,6019.2
3000,1.365570,0.00001528,6121.3
3050,1.365452,0.00001512,6234.0
3100,1.365148,0.00001495,6336.0
3150,1.365463,0.00001478,6437.5
3200,1.365118,0.00001462,6539.2
3250,1.365093,0.00001444,6640.5
3300,1.365104,0.00001427,6742.0
3350,1.365407,0.00001410,6844.0
3400,1.365199,0.00001392,6945.3
3450,1.365116,0.00001375,7046.9
3500,1.365117,0.00001357,7148.9
3550,1.365074,0.00001339,7251.4
3600,1.365418,0.00001321,7352.8
3650,1.365531,0.00001303,7453.8
3700,1.365110,0.00001285,7556.1
3750,1.365172,0.00001266,7657.6
3800,1.365363,0.00001248,7759.5
3850,1.365139,0.00001230,7861.0
3900,1.365158,0.00001211,7962.6
3950,1.365101,0.00001193,8064.1
4000,1.365132,0.00001174,8165.6
4050,1.365055,0.00001156,8278.3
4100,1.365067,0.00001137,8379.4
4150,1.365073,0.00001119,8480.9
4200,1.365097,0.00001100,8582.0
4250,1.365344,0.00001081,8682.9
4300,1.365130,0.00001063,8784.3
4350,1.365230,0.00001044,8886.4
4400,1.365152,0.00001026,8987.8
4450,1.365181,0.00001007,9089.3
4500,1.365177,0.00000989,9190.5
4550,1.365123,0.00000970,9293.5
4600,1.365260,0.00000952,9395.1
4650,1.365073,0.00000934,9496.5
4700,1.365093,0.00000915,9598.2
4750,1.365089,0.00000897,9699.1
4800,1.365105,0.00000879,9800.8
4850,1.365319,0.00000861,9901.9
4900,1.365077,0.00000843,10003.3
4950,1.365131,0.00000825,10105.1
5000,1.365104,0.00000808,10206.5
5050,1.365047,0.00000790,10319.1
5100,1.365096,0.00000773,10420.1
5150,1.365043,0.00000756,10522.0
5200,1.365094,0.00000738,10623.6
5250,1.365070,0.00000722,10725.1
5300,1.365089,0.00000705,10826.8
5350,1.365104,0.00000688,10928.0
5400,1.365071,0.00000672,11029.6
5450,1.365063,0.00000655,11131.4
5500,1.365060,0.00000639,11233.8
5550,1.365063,0.00000623,11335.7
5600,1.365053,0.00000608,11437.3
5650,1.365076,0.00000592,11539.4
5700,1.365096,0.00000577,11641.0
5750,1.365061,0.00000562,11742.3
5800,1.365082,0.00000547,11843.4
5850,1.365051,0.00000533,11945.3
5900,1.365044,0.00000518,12046.6
5950,1.365057,0.00000504,12147.2
6000,1.365066,0.00000490,12248.2
6050,1.365376,0.00000477,12360.1
6100,1.365049,0.00000464,12461.7
6150,1.365270,0.00000451,12562.8
6200,1.365069,0.00000438,12664.4
6250,1.365047,0.00000425,12765.8
6300,1.365053,0.00000413,12866.8
6350,1.365431,0.00000401,12968.3
6400,1.365114,0.00000390,13070.3
6450,1.365064,0.00000379,13171.8
6500,1.365062,0.00000368,13273.4
6550,1.365079,0.00000357,13375.5
6600,1.365018,0.00000347,13477.6
6650,1.365063,0.00000337,13579.1
6700,1.365465,0.00000327,13680.2
6750,1.365140,0.00000317,13781.4
6800,1.365062,0.00000308,13882.7
6850,1.365054,0.00000300,13984.5
6900,1.365054,0.00000291,14086.3
6950,1.365072,0.00000283,14188.1
7000,1.365125,0.00000276,14289.4
7050,1.365073,0.00000269,14402.3
7100,1.365142,0.00000262,14503.8
7150,1.365045,0.00000255,14605.8
7200,1.365050,0.00000249,14707.4
7250,1.365128,0.00000243,14808.4
7300,1.365121,0.00000237,14909.4
7350,1.365085,0.00000232,15011.1
7400,1.365068,0.00000228,15111.6
7450,1.365040,0.00000223,15213.0
7500,1.365130,0.00000219,15315.0
7550,1.365072,0.00000216,15416.7
7600,1.365042,0.00000212,15518.4
7650,1.365011,0.00000209,15619.6
7700,1.365059,0.00000207,15721.3
7750,1.365081,0.00000205,15823.0
7800,1.365087,0.00000203,15925.3
7850,1.365068,0.00000202,16027.4
7900,1.365067,0.00000201,16129.5
7950,1.365039,0.00000200,16230.8
8000,1.365061,0.00000200,16332.0
