step,loss,lr,elapsed_sec
10,7.846340,0.00000200,3.9
20,4.964766,0.00000400,7.2
30,3.734346,0.00000600,10.8
40,3.178909,0.00000800,14.4
50,3.056588,0.00001000,18.0
60,2.681978,0.00001000,21.6
70,2.371599,0.00001000,25.3
80,2.384313,0.00001000,29.1
90,2.343077,0.00001000,32.7
100,1.944576,0.00001000,36.3
110,1.971700,0.00000999,40.7
120,1.809625,0.00000999,44.3
130,1.533680,0.00000999,47.9
140,1.567012,0.00000999,51.5
150,1.643541,0.00000999,55.0
160,1.249425,0.00000998,58.8
170,1.118337,0.00000998,62.5
180,0.976097,0.00000998,66.1
190,1.079078,0.00000997,69.7
200,1.382641,0.00000997,73.3
210,0.861925,0.00000996,78.7
220,1.101974,0.00000996,82.3
230,0.900864,0.00000995,86.1
240,1.295926,0.00000995,89.7
250,0.923373,0.00000994,93.3
260,1.068136,0.00000994,96.9
270,0.994685,0.00000993,100.5
280,0.709809,0.00000992,104.1
290,0.851531,0.00000992,107.8
300,1.655166,0.00000991,111.3
310,1.017875,0.00000990,115.9
320,0.623685,0.00000990,119.6
330,0.627462,0.00000989,123.2
340,0.801196,0.00000988,126.8
350,0.795842,0.00000987,130.4
360,0.651581,0.00000986,134.0
370,1.049585,0.00000986,137.6
380,0.634464,0.00000985,141.4
390,0.573796,0.00000984,145.0
400,0.614719,0.00000983,148.6
410,0.696759,0.00000982,154.0
420,0.531391,0.00000981,157.6
430,0.693790,0.00000980,161.2
440,0.616384,0.00000979,164.8
450,0.656518,0.00000977,168.4
460,0.549598,0.00000976,172.2
470,0.480451,0.00000975,175.9
480,0.434888,0.00000974,179.5
490,0.639737,0.00000973,183.1
500,0.534849,0.00000971,186.7
510,0.651405,0.00000970,191.0
520,0.458053,0.00000969,194.6
530,0.518742,0.00000968,198.4
540,0.661457,0.00000966,202.0
550,0.524713,0.00000965,205.6
560,0.418521,0.00000963,209.2
570,0.490188,0.00000962,212.9
580,0.461330,0.00000961,216.5
590,0.622658,0.00000959,220.1
600,0.681869,0.00000958,223.7
610,0.426316,0.00000956,229.3
620,0.449775,0.00000955,232.9
630,0.470557,0.00000953,236.6
640,0.493565,0.00000951,240.2
650,0.667951,0.00000950,243.8
660,0.470039,0.00000948,247.4
670,0.511173,0.00000946,251.0
680,0.428063,0.00000945,254.9
690,0.450086,0.00000943,258.5
700,0.454953,0.00000941,262.1
710,0.335344,0.00000939,266.4
720,0.380507,0.00000938,270.0
730,0.461148,0.00000936,273.6
740,0.483857,0.00000934,277.2
750,0.380319,0.00000932,280.8
760,0.331052,0.00000930,284.7
770,0.323627,0.00000928,288.3
780,0.265886,0.00000926,291.8
790,0.377565,0.00000924,295.4
800,0.281712,0.00000922,299.0
810,0.363873,0.00000920,304.4
820,0.379753,0.00000918,308.0
830,0.340625,0.00000916,311.8
840,0.391744,0.00000914,315.4
850,0.373660,0.00000912,319.0
860,0.473178,0.00000910,322.6
870,0.323244,0.00000908,326.2
880,0.312454,0.00000905,329.8
890,0.316707,0.00000903,333.4
900,0.306327,0.00000901,337.0
910,0.349128,0.00000899,341.6
920,0.324343,0.00000897,345.2
930,0.283850,0.00000894,348.8
940,0.354778,0.00000892,352.4
950,0.272467,0.00000890,356.0
960,0.266506,0.00000887,359.6
970,0.275807,0.00000885,363.2
980,0.291433,0.00000882,367.0
990,0.243846,0.00000880,370.6
1000,0.286355,0.00000878,374.2
1010,0.232023,0.00000875,379.6
1020,0.295929,0.00000873,383.2
1030,0.310544,0.00000870,386.8
1040,0.248308,0.00000868,390.4
1050,0.253286,0.00000865,394.0
1060,0.253863,0.00000862,397.9
1070,0.269408,0.00000860,401.5
1080,0.240951,0.00000857,405.1
1090,0.269497,0.00000855,408.7
1100,0.366824,0.00000852,412.3
1110,0.246667,0.00000849,416.6
1120,0.310384,0.00000847,420.2
1130,0.200550,0.00000844,424.0
1140,0.235742,0.00000841,427.6
1150,0.256983,0.00000838,431.2
1160,0.296569,0.00000836,434.8
1170,0.178608,0.00000833,438.5
1180,0.252991,0.00000830,442.1
1190,0.242366,0.00000827,445.7
1200,0.220497,0.00000825,449.3
1210,0.212377,0.00000822,454.9
1220,0.202565,0.00000819,458.5
1230,0.197974,0.00000816,462.2
1240,0.242342,0.00000813,465.8
1250,0.193081,0.00000810,469.4
1260,0.174624,0.00000807,473.0
1270,0.209775,0.00000804,476.6
1280,0.220494,0.00000801,480.4
1290,0.186396,0.00000798,484.0
1300,0.161782,0.00000795,487.6
1310,0.149196,0.00000792,492.0
1320,0.187576,0.00000789,495.6
1330,0.223407,0.00000786,499.2
1340,0.161941,0.00000783,502.8
1350,0.160762,0.00000780,506.4
1360,0.184451,0.00000777,510.3
1370,0.122440,0.00000774,513.9
1380,0.170092,0.00000771,517.5
1390,0.162540,0.00000768,521.1
1400,0.154725,0.00000765,524.7
1410,0.173267,0.00000761,530.1
1420,0.164581,0.00000758,533.7
1430,0.107870,0.00000755,537.6
1440,0.131419,0.00000752,541.2
1450,0.104003,0.00000749,544.8
1460,0.123945,0.00000745,548.4
1470,0.124194,0.00000742,552.0
1480,0.220587,0.00000739,555.6
1490,0.148225,0.00000736,559.2
1500,0.139322,0.00000732,562.8
1510,0.124426,0.00000729,567.4
1520,0.146209,0.00000726,571.1
1530,0.129458,0.00000723,574.7
1540,0.108760,0.00000719,578.3
1550,0.129568,0.00000716,581.9
1560,0.144047,0.00000713,585.6
1570,0.101916,0.00000709,589.2
1580,0.110997,0.00000706,592.9
1590,0.111462,0.00000703,596.5
1600,0.092706,0.00000699,600.1
1610,0.167230,0.00000696,605.5
1620,0.135225,0.00000692,609.1
1630,0.121986,0.00000689,612.7
1640,0.129207,0.00000686,616.3
1650,0.112314,0.00000682,619.9
1660,0.112975,0.00000679,623.7
1670,0.094039,0.00000675,627.3
1680,0.107129,0.00000672,630.9
1690,0.142402,0.00000668,634.5
1700,0.091395,0.00000665,638.1
1710,0.134807,0.00000662,642.5
1720,0.106624,0.00000658,646.1
1730,0.062599,0.00000655,650.0
1740,0.054094,0.00000651,653.6
1750,0.110058,0.00000648,657.2
1760,0.145626,0.00000644,660.8
1770,0.075164,0.00000641,664.4
1780,0.082126,0.00000637,668.0
1790,0.095499,0.00000634,671.7
1800,0.153061,0.00000630,675.2
1810,0.070444,0.00000627,680.8
1820,0.107294,0.00000623,684.5
1830,0.098024,0.00000620,688.1
1840,0.102478,0.00000616,691.7
1850,0.089662,0.00000612,695.3
1860,0.091433,0.00000609,698.9
1870,0.064520,0.00000605,702.6
1880,0.027687,0.00000602,706.4
1890,0.055200,0.00000598,710.0
1900,0.090280,0.00000595,713.6
1910,0.056457,0.00000591,717.9
1920,0.070134,0.00000588,721.5
1930,0.096342,0.00000584,725.2
1940,0.076416,0.00000580,728.8
1950,0.107788,0.00000577,732.4
1960,0.098264,0.00000573,736.2
1970,0.064338,0.00000570,739.8
1980,0.052171,0.00000566,743.5
1990,0.068808,0.00000563,747.1
2000,0.060533,0.00000559,750.7
2010,0.046453,0.00000555,756.1
2020,0.068455,0.00000552,759.7
2030,0.056230,0.00000548,763.5
2040,0.072558,0.00000545,767.1
2050,0.057472,0.00000541,770.7
2060,0.077409,0.00000537,774.3
2070,0.040412,0.00000534,777.9
2080,0.080055,0.00000530,781.6
2090,0.046950,0.00000527,785.2
2100,0.083047,0.00000523,788.7
2110,0.072321,0.00000520,793.4
2120,0.054408,0.00000516,797.0
2130,0.043944,0.00000512,800.6
2140,0.067781,0.00000509,804.2
2150,0.051380,0.00000505,807.8
2160,0.030265,0.00000502,811.4
2170,0.048042,0.00000498,815.0
2180,0.045633,0.00000495,818.9
2190,0.045112,0.00000491,822.5
2200,0.079905,0.00000488,826.1
2210,0.048853,0.00000484,831.5
2220,0.045821,0.00000480,835.1
2230,0.070273,0.00000477,838.7
2240,0.049847,0.00000473,842.3
2250,0.046508,0.00000470,845.9
2260,0.045366,0.00000466,849.9
2270,0.027281,0.00000463,853.5
2280,0.033462,0.00000459,857.1
2290,0.038956,0.00000456,860.8
2300,0.024053,0.00000452,864.4
2310,0.056794,0.00000449,868.7
2320,0.038760,0.00000445,872.3
2330,0.050649,0.00000442,876.1
2340,0.041015,0.00000438,879.7
2350,0.061739,0.00000435,883.4
2360,0.072297,0.00000432,887.0
2370,0.028311,0.00000428,890.6
2380,0.053472,0.00000425,894.2
2390,0.041187,0.00000421,897.8
2400,0.036799,0.00000418,901.4
2410,0.042624,0.00000414,907.1
2420,0.047562,0.00000411,910.7
2430,0.038949,0.00000408,914.3
2440,0.042372,0.00000404,917.9
2450,0.028060,0.00000401,921.6
2460,0.032697,0.00000397,925.2
2470,0.029658,0.00000394,928.8
2480,0.040411,0.00000391,932.7
2490,0.026631,0.00000387,936.4
2500,0.056004,0.00000384,940.0
2510,0.023184,0.00000381,944.4
2520,0.016434,0.00000377,948.0
2530,0.056437,0.00000374,951.6
2540,0.024943,0.00000371,955.2
2550,0.035401,0.00000368,958.8
2560,0.029500,0.00000364,962.6
2570,0.031625,0.00000361,966.2
2580,0.051103,0.00000358,969.8
2590,0.038843,0.00000355,973.5
2600,0.037010,0.00000351,977.1
2610,0.049571,0.00000348,982.5
