step,loss,lr,elapsed_sec
25,14.866686,0.00000038,10.5
50,11.967727,0.00000075,20.2
75,10.077743,0.00000113,29.9
100,8.043512,0.00000150,39.4
125,7.406370,0.00000188,48.9
150,7.202242,0.00000225,58.3
175,6.268475,0.00000263,67.7
200,6.856558,0.00000300,76.6
225,6.160190,0.00000300,85.9
250,5.916584,0.00000300,95.5
275,5.614054,0.00000300,105.1
300,5.980695,0.00000300,114.6
325,5.619272,0.00000300,124.2
350,5.685331,0.00000300,133.6
375,5.151388,0.00000300,143.2
400,5.089021,0.00000300,152.6
425,5.425767,0.00000299,161.5
450,5.018398,0.00000299,170.5
475,5.342713,0.00000299,180.0
500,4.686694,0.00000299,189.5
525,4.926449,0.00000299,200.1
550,5.691910,0.00000299,209.7
575,5.385608,0.00000298,218.9
600,4.638887,0.00000298,228.4
625,4.949115,0.00000298,237.9
650,5.198899,0.00000298,247.5
675,5.319134,0.00000298,257.1
700,4.869908,0.00000297,266.6
725,5.159291,0.00000297,276.0
750,5.175326,0.00000297,285.5
775,4.687332,0.00000296,295.1
800,4.415448,0.00000296,304.6
825,4.484797,0.00000296,313.8
850,4.580076,0.00000295,323.3
875,4.768829,0.00000295,332.9
900,4.981905,0.00000295,342.5
925,5.044952,0.00000294,352.0
950,4.725764,0.00000294,361.5
975,4.553837,0.00000293,370.9
1000,4.976678,0.00000293,380.3
1025,4.565497,0.00000293,391.3
1050,4.689916,0.00000292,400.7
1075,4.734980,0.00000292,410.3
1100,4.423787,0.00000291,419.9
1125,4.499707,0.00000291,429.2
1150,4.438284,0.00000290,438.7
1175,4.464692,0.00000290,448.0
1200,4.552178,0.00000289,457.6
1225,4.218365,0.00000289,467.0
1250,4.442576,0.00000288,476.6
1275,4.512539,0.00000288,486.1
1300,4.546085,0.00000287,495.7
1325,4.415810,0.00000286,505.2
1350,4.652704,0.00000286,514.8
1375,4.007751,0.00000285,524.4
1400,3.925384,0.00000285,533.9
1425,4.271053,0.00000284,543.6
1450,4.188530,0.00000283,552.8
1475,4.339882,0.00000283,562.3
1500,4.602239,0.00000282,571.7
1525,3.717080,0.00000281,582.2
1550,4.234211,0.00000281,591.6
1575,4.138047,0.00000280,600.9
1600,4.523349,0.00000279,610.2
1625,4.495014,0.00000278,619.8
