step,loss,lr,elapsed_sec
25,6.701771,0.00000038,7.9
50,5.889849,0.00000075,15.8
75,5.229983,0.00000113,23.7
100,4.607104,0.00000150,31.6
125,3.932280,0.00000150,39.3
150,3.383993,0.00000150,47.1
175,2.902296,0.00000149,54.9
200,2.619549,0.00000149,62.6
225,2.360356,0.00000149,70.3
250,2.163799,0.00000148,78.0
275,2.047798,0.00000147,85.6
300,1.937873,0.00000146,93.3
325,1.858161,0.00000145,101.3
350,1.825273,0.00000144,109.3
375,1.775340,0.00000143,117.4
400,1.748146,0.00000142,125.3
425,1.704515,0.00000140,133.3
450,1.697034,0.00000139,141.0
475,1.670720,0.00000137,148.7
500,1.654356,0.00000136,156.5
525,1.648983,0.00000134,164.7
550,1.639458,0.00000132,172.4
575,1.632892,0.00000130,180.1
600,1.619455,0.00000128,188.0
625,1.603816,0.00000126,196.0
650,1.598044,0.00000124,203.9
675,1.592157,0.00000122,211.8
700,1.588932,0.00000119,219.5
725,1.581716,0.00000117,227.4
750,1.577716,0.00000115,235.0
775,1.576789,0.00000112,242.7
800,1.558010,0.00000110,250.4
825,1.562973,0.00000107,258.0
850,1.553662,0.00000104,265.7
875,1.547048,0.00000102,273.5
900,1.547365,0.00000099,281.3
925,1.540406,0.00000096,289.2
950,1.539662,0.00000094,297.0
975,1.535376,0.00000091,304.8
1000,1.540420,0.00000088,312.5
1025,1.534220,0.00000085,321.7
1050,1.533646,0.00000083,329.7
1075,1.528574,0.00000080,337.6
1100,1.532022,0.00000077,345.5
1125,1.525187,0.00000074,353.4
1150,1.528190,0.00000071,361.5
1175,1.521120,0.00000069,369.5
1200,1.520062,0.00000066,377.6
1225,1.519981,0.00000063,385.5
1250,1.514006,0.00000061,393.3
1275,1.516083,0.00000058,401.0
1300,1.514769,0.00000055,408.9
1325,1.520514,0.00000053,416.8
1350,1.511917,0.00000050,424.6
1375,1.509193,0.00000048,432.4
1400,1.506803,0.00000046,440.2
1425,1.520121,0.00000043,448.1
1450,1.507309,0.00000041,455.9
1475,1.514063,0.00000039,463.9
1500,1.512837,0.00000037,471.9
1525,1.499960,0.00000035,481.1
1550,1.503093,0.00000033,489.6
1575,1.501017,0.00000031,497.6
1600,1.502447,0.00000029,505.4
1625,1.504635,0.00000028,513.6
1650,1.506788,0.00000026,521.5
1675,1.511528,0.00000025,529.3
1700,1.501113,0.00000023,537.1
1725,1.503242,0.00000022,544.8
1750,1.507173,0.00000021,552.5
1775,1.503750,0.00000020,560.2
1800,1.507123,0.00000019,567.9
1825,1.511670,0.00000018,575.8
1850,1.504766,0.00000017,583.5
1875,1.503178,0.00000016,591.3
1900,1.506246,0.00000016,599.2
1925,1.498859,0.00000016,607.4
1950,1.499819,0.00000015,615.4
1975,1.503610,0.00000015,623.3
2000,1.502061,0.00000015,631.2
