step,loss,lr,elapsed_sec
25,6.954019,0.00000038,4.5
50,6.378575,0.00000075,8.3
75,5.895980,0.00000113,12.3
100,5.525975,0.00000150,15.9
125,4.967587,0.00000150,19.9
150,4.808673,0.00000150,23.6
175,4.366661,0.00000149,27.4
200,4.049573,0.00000149,30.9
225,4.024499,0.00000149,34.4
250,3.594159,0.00000148,38.2
275,3.536394,0.00000147,41.9
300,3.330966,0.00000146,45.6
325,3.175845,0.00000145,49.5
350,2.984999,0.00000144,53.0
375,2.879345,0.00000143,56.7
400,2.866073,0.00000142,60.2
425,2.519833,0.00000140,63.9
450,2.330095,0.00000139,67.4
475,2.422636,0.00000137,71.2
500,2.379987,0.00000136,74.6
525,2.216020,0.00000134,78.7
550,2.134338,0.00000132,82.3
575,2.108464,0.00000130,86.2
600,2.047284,0.00000128,89.8
625,2.014759,0.00000126,93.6
650,2.023855,0.00000124,97.2
675,1.961097,0.00000122,100.9
700,1.850536,0.00000119,104.1
725,1.868010,0.00000117,108.0
750,1.874949,0.00000115,111.7
775,1.836695,0.00000112,115.1
800,1.817663,0.00000110,118.3
825,1.835019,0.00000107,121.7
850,1.782967,0.00000104,125.0
875,1.800041,0.00000102,128.7
900,1.790068,0.00000099,132.1
925,1.790696,0.00000096,135.7
950,1.756701,0.00000094,138.9
975,1.741643,0.00000091,142.3
1000,1.745650,0.00000088,145.5
1025,1.752157,0.00000085,150.4
1050,1.752127,0.00000083,154.1
1075,1.730747,0.00000080,158.0
1100,1.747916,0.00000077,161.7
1125,1.714482,0.00000074,165.6
1150,1.725787,0.00000071,169.2
1175,1.704742,0.00000069,173.1
1200,1.712873,0.00000066,176.7
1225,1.684752,0.00000063,180.7
1250,1.716490,0.00000061,184.4
1275,1.686120,0.00000058,188.3
1300,1.694669,0.00000055,192.1
1325,1.676919,0.00000053,196.0
1350,1.689560,0.00000050,199.9
1375,1.681104,0.00000048,203.8
1400,1.666016,0.00000046,207.5
1425,1.656766,0.00000043,211.5
1450,1.663299,0.00000041,215.1
1475,1.680790,0.00000039,218.9
1500,1.660080,0.00000037,222.6
1525,1.671077,0.00000035,226.7
1550,1.676922,0.00000033,230.4
1575,1.654132,0.00000031,234.4
1600,1.659756,0.00000029,238.1
1625,1.652717,0.00000028,242.0
1650,1.647174,0.00000026,245.7
1675,1.670251,0.00000025,249.8
1700,1.640372,0.00000023,253.5
1725,1.660517,0.00000022,257.5
1750,1.661150,0.00000021,261.2
1775,1.658892,0.00000020,265.2
1800,1.670107,0.00000019,268.9
1825,1.649566,0.00000018,272.8
1850,1.654094,0.00000017,276.5
1875,1.649758,0.00000016,280.5
1900,1.655041,0.00000016,284.4
1925,1.664911,0.00000016,288.4
1950,1.629093,0.00000015,292.0
1975,1.641702,0.00000015,295.9
2000,1.631192,0.00000015,299.6
25,6.798975,0.00000038,4.5
50,6.393748,0.00000075,8.3
75,5.742484,0.00000113,12.4
100,5.371663,0.00000150,16.3
125,4.926796,0.00000150,20.3
150,4.591044,0.00000150,24.1
175,4.255744,0.00000149,28.2
200,4.065663,0.00000149,31.9
225,3.795226,0.00000149,35.9
250,3.588744,0.00000148,39.6
275,3.364870,0.00000147,43.7
300,3.189516,0.00000146,47.5
325,2.951495,0.00000145,51.5
350,2.874634,0.00000144,55.5
375,2.642165,0.00000143,59.7
400,2.494530,0.00000142,63.6
425,2.366596,0.00000140,67.7
450,2.311364,0.00000139,71.5
475,2.157817,0.00000137,75.6
500,2.108705,0.00000136,79.5
525,2.077981,0.00000134,83.8
550,2.000808,0.00000132,87.6
575,1.984186,0.00000130,91.6
600,1.959846,0.00000128,95.3
625,1.903428,0.00000126,99.3
650,1.830494,0.00000124,103.2
675,1.843556,0.00000122,107.4
700,1.822933,0.00000119,111.4
725,1.812887,0.00000117,115.4
750,1.810765,0.00000115,119.3
775,1.755787,0.00000112,123.5
800,1.752690,0.00000110,127.3
825,1.745588,0.00000107,131.3
850,1.739519,0.00000104,135.3
875,1.758332,0.00000102,139.5
900,1.745863,0.00000099,143.4
925,1.728395,0.00000096,147.6
950,1.727871,0.00000094,151.5
975,1.714634,0.00000091,155.7
1000,1.666611,0.00000088,159.7
25,6.937629,0.00000038,5.1
50,6.373427,0.00000075,9.4
75,5.774989,0.00000113,13.8
100,5.510284,0.00000150,18.1
125,5.057849,0.00000150,22.8
150,4.604205,0.00000150,27.2
175,4.398655,0.00000149,31.9
200,4.219319,0.00000149,36.3
225,3.938731,0.00000149,40.9
250,3.621609,0.00000148,45.3
275,3.522933,0.00000147,49.9
300,3.160315,0.00000146,54.3
325,3.160097,0.00000145,59.0
350,3.095656,0.00000144,63.4
375,2.721841,0.00000143,68.0
400,2.722246,0.00000142,72.4
425,2.468521,0.00000140,77.0
450,2.336400,0.00000139,81.3
475,2.350804,0.00000137,85.9
