step,loss,lr,elapsed_sec
25,12.709726,0.00000025,15.4
50,9.459292,0.00000050,34.5
75,6.284055,0.00000075,54.1
100,4.649694,0.00000100,73.2
125,3.307605,0.00000125,92.3
150,1.915551,0.00000150,112.0
175,0.722033,0.00000150,131.1
200,0.165756,0.00000150,150.4
225,0.051375,0.00000150,169.4
250,0.024170,0.00000150,188.9
275,0.017058,0.00000150,208.3
300,0.005738,0.00000150,227.3
325,0.005200,0.00000150,247.0
350,0.002677,0.00000150,266.1
375,0.002337,0.00000150,285.3
400,0.001659,0.00000150,304.6
425,0.001324,0.00000150,324.1
450,0.000776,0.00000150,343.4
475,0.000561,0.00000150,362.5
500,0.000497,0.00000149,382.0
525,0.000536,0.00000149,401.8
550,0.000252,0.00000149,420.8
575,0.000361,0.00000149,440.4
600,0.000622,0.00000149,459.9
625,0.000309,0.00000149,479.1
650,0.000192,0.00000149,498.4
675,0.000174,0.00000149,517.8
700,0.000280,0.00000149,537.2
725,0.000113,0.00000149,556.2
750,0.000360,0.00000148,575.3
775,0.000359,0.00000148,595.0
800,0.000107,0.00000148,614.1
825,0.000080,0.00000148,633.4
850,0.000218,0.00000148,652.8
875,0.000136,0.00000148,671.9
900,0.000055,0.00000148,691.3
925,0.000048,0.00000147,710.3
950,0.000048,0.00000147,730.0
975,0.000058,0.00000147,749.1
1000,0.000038,0.00000147,767.0
1025,0.000036,0.00000147,788.0
1050,0.000050,0.00000147,807.2
1075,0.000031,0.00000146,826.5
1100,0.000031,0.00000146,845.6
1125,0.000029,0.00000146,865.1
1150,0.000418,0.00000146,884.5
1175,0.000033,0.00000146,903.6
1200,0.000024,0.00000145,923.3
1225,0.000023,0.00000145,942.4
1250,0.000049,0.00000145,961.5
1275,0.000031,0.00000145,980.8
1300,0.000014,0.00000144,1000.2
1325,0.000110,0.00000144,1019.5
1350,0.000011,0.00000144,1038.7
1375,0.000052,0.00000144,1058.1
1400,0.000021,0.00000143,1077.4
1425,0.000017,0.00000143,1096.5
1450,0.000016,0.00000143,1115.9
1475,0.000014,0.00000143,1135.4
