step,loss,lr,elapsed_sec
25,5.508664,0.00000038,8.5
50,4.893103,0.00000075,16.5
75,4.324628,0.00000113,24.5
100,3.823185,0.00000150,32.5
125,3.304565,0.00000150,40.6
150,2.933764,0.00000150,48.5
175,2.644965,0.00000149,56.5
200,2.346910,0.00000149,64.5
225,2.131650,0.00000149,72.1
250,1.994082,0.00000148,80.0
275,1.889359,0.00000147,88.0
300,1.850676,0.00000146,95.9
325,1.779475,0.00000145,103.9
350,1.751828,0.00000144,111.9
375,1.718202,0.00000143,119.8
400,1.695763,0.00000142,127.9
425,1.677328,0.00000140,135.8
450,1.651459,0.00000139,143.8
475,1.650002,0.00000137,151.5
500,1.626012,0.00000136,159.7
525,1.618044,0.00000134,168.1
550,1.607188,0.00000132,176.0
575,1.594877,0.00000130,184.0
600,1.583786,0.00000128,192.1
625,1.584467,0.00000126,200.0
650,1.575342,0.00000124,208.0
675,1.571815,0.00000122,215.8
700,1.576628,0.00000119,223.6
725,1.572709,0.00000117,231.4
750,1.556723,0.00000115,239.4
775,1.555605,0.00000112,247.4
800,1.551808,0.00000110,255.3
825,1.557594,0.00000107,263.1
850,1.548389,0.00000104,271.1
875,1.538103,0.00000102,279.2
900,1.536167,0.00000099,287.4
925,1.538417,0.00000096,295.3
950,1.539277,0.00000094,303.1
975,1.533469,0.00000091,310.9
1000,1.530554,0.00000088,318.8
1025,1.532422,0.00000085,327.8
1050,1.531916,0.00000083,335.8
1075,1.530457,0.00000080,343.8
1100,1.528580,0.00000077,351.9
1125,1.523874,0.00000074,359.9
1150,1.522254,0.00000071,368.2
1175,1.526928,0.00000069,376.4
1200,1.520551,0.00000066,384.5
1225,1.520944,0.00000063,392.7
1250,1.514834,0.00000061,400.8
1275,1.522394,0.00000058,408.8
1300,1.517878,0.00000055,416.9
1325,1.513517,0.00000053,425.0
1350,1.511612,0.00000050,433.2
1375,1.513974,0.00000048,441.3
1400,1.519075,0.00000046,449.5
1425,1.509598,0.00000043,457.6
1450,1.520397,0.00000041,465.6
1475,1.514688,0.00000039,473.8
1500,1.510470,0.00000037,482.0
1525,1.509881,0.00000035,490.5
1550,1.518092,0.00000033,498.5
1575,1.513693,0.00000031,506.4
1600,1.509672,0.00000029,514.5
1625,1.505327,0.00000028,522.5
1650,1.506982,0.00000026,530.6
1675,1.512412,0.00000025,538.6
1700,1.507952,0.00000023,546.7
1725,1.505116,0.00000022,554.6
1750,1.508458,0.00000021,562.5
1775,1.506085,0.00000020,570.3
1800,1.512314,0.00000019,578.2
1825,1.506951,0.00000018,586.3
1850,1.504271,0.00000017,594.4
1875,1.506664,0.00000016,602.5
1900,1.507230,0.00000016,610.2
1925,1.506971,0.00000016,618.2
1950,1.507306,0.00000015,626.3
1975,1.505365,0.00000015,634.6
2000,1.510189,0.00000015,642.9
