step,loss,lr,elapsed_sec
25,6.051111,0.00000038,8.6
50,5.446252,0.00000075,16.8
75,4.859461,0.00000113,24.8
100,4.339748,0.00000150,32.9
125,3.832389,0.00000150,41.1
150,3.422846,0.00000150,49.2
175,3.089806,0.00000149,57.2
200,2.722416,0.00000149,65.2
225,2.448955,0.00000149,73.3
250,2.211308,0.00000148,81.3
275,2.042240,0.00000147,89.3
300,1.953169,0.00000146,97.2
325,1.859886,0.00000145,105.3
350,1.809484,0.00000144,113.5
375,1.749738,0.00000143,121.5
400,1.729851,0.00000142,129.5
425,1.705793,0.00000140,137.5
450,1.674404,0.00000139,145.4
475,1.657389,0.00000137,153.3
500,1.639513,0.00000136,161.3
525,1.638263,0.00000134,169.5
550,1.620098,0.00000132,177.5
575,1.616568,0.00000130,185.5
600,1.610387,0.00000128,193.7
625,1.599768,0.00000126,201.8
650,1.588389,0.00000124,209.8
675,1.591352,0.00000122,218.0
700,1.580797,0.00000119,225.7
725,1.571158,0.00000117,233.7
750,1.574913,0.00000115,241.8
775,1.566953,0.00000112,249.8
800,1.570221,0.00000110,257.7
825,1.562334,0.00000107,265.6
850,1.559437,0.00000104,273.7
875,1.559845,0.00000102,281.6
900,1.547735,0.00000099,289.6
925,1.544698,0.00000096,297.5
950,1.546675,0.00000094,305.5
975,1.544234,0.00000091,313.4
1000,1.541614,0.00000088,321.4
1025,1.537105,0.00000085,330.4
1050,1.537764,0.00000083,338.2
1075,1.537850,0.00000080,346.0
1100,1.532226,0.00000077,354.2
1125,1.528053,0.00000074,362.4
1150,1.525259,0.00000071,370.6
1175,1.530190,0.00000069,378.8
1200,1.526438,0.00000066,387.0
1225,1.522858,0.00000063,395.3
1250,1.521812,0.00000061,403.3
1275,1.524376,0.00000058,411.5
1300,1.521845,0.00000055,419.8
1325,1.521462,0.00000053,427.9
1350,1.518579,0.00000050,436.0
1375,1.519899,0.00000048,444.2
1400,1.521344,0.00000046,452.3
1425,1.518024,0.00000043,460.5
1450,1.516914,0.00000041,468.7
1475,1.514434,0.00000039,476.8
1500,1.512076,0.00000037,484.9
1525,1.519063,0.00000035,493.4
1550,1.515268,0.00000033,501.6
1575,1.513357,0.00000031,509.5
1600,1.512528,0.00000029,517.4
1625,1.510278,0.00000028,525.6
1650,1.507946,0.00000026,533.7
1675,1.512665,0.00000025,541.8
1700,1.513933,0.00000023,549.8
1725,1.510568,0.00000022,558.0
1750,1.509270,0.00000021,566.2
1775,1.508585,0.00000020,574.2
1800,1.509215,0.00000019,582.0
1825,1.506322,0.00000018,590.3
1850,1.508876,0.00000017,598.5
1875,1.511997,0.00000016,606.7
1900,1.510036,0.00000016,614.9
1925,1.508361,0.00000016,622.9
1950,1.504921,0.00000015,631.2
1975,1.508359,0.00000015,639.3
2000,1.508217,0.00000015,647.4
