step,loss,lr,elapsed_sec
25,4.038568,0.00000038,8.9
50,3.570171,0.00000075,17.0
75,3.153736,0.00000113,24.9
100,2.744861,0.00000150,33.0
125,2.384048,0.00000150,41.1
150,2.135063,0.00000150,49.0
175,1.898957,0.00000149,57.1
200,1.770679,0.00000149,65.3
225,1.683871,0.00000149,73.2
250,1.638137,0.00000148,81.2
275,1.601613,0.00000147,89.2
300,1.583370,0.00000146,97.1
325,1.567686,0.00000145,104.9
350,1.573863,0.00000144,112.9
375,1.550808,0.00000143,120.4
400,1.547656,0.00000142,128.5
425,1.531844,0.00000140,136.6
450,1.534685,0.00000139,144.4
475,1.524765,0.00000137,152.5
500,1.518077,0.00000136,160.4
525,1.519171,0.00000134,168.7
550,1.516155,0.00000132,176.7
575,1.517994,0.00000130,184.7
600,1.512311,0.00000128,192.8
625,1.508817,0.00000126,200.9
650,1.504124,0.00000124,209.0
675,1.505214,0.00000122,217.1
700,1.502327,0.00000119,225.1
725,1.498867,0.00000117,233.0
750,1.499554,0.00000115,241.1
775,1.495524,0.00000112,249.2
800,1.495795,0.00000110,257.1
825,1.488309,0.00000107,265.0
850,1.492535,0.00000104,273.1
875,1.489171,0.00000102,281.1
900,1.485440,0.00000099,289.1
925,1.485763,0.00000096,297.1
950,1.482190,0.00000094,305.0
975,1.481195,0.00000091,312.8
1000,1.481701,0.00000088,320.7
1025,1.483134,0.00000085,329.8
1050,1.479748,0.00000083,337.9
1075,1.480290,0.00000080,346.1
1100,1.479678,0.00000077,354.1
1125,1.479158,0.00000074,362.2
1150,1.476491,0.00000071,370.1
1175,1.475572,0.00000069,378.3
1200,1.476301,0.00000066,386.4
1225,1.476799,0.00000063,394.4
1250,1.473646,0.00000061,402.4
1275,1.471802,0.00000058,410.5
1300,1.476169,0.00000055,418.5
1325,1.475678,0.00000053,426.4
1350,1.471700,0.00000050,434.1
1375,1.469745,0.00000048,442.2
1400,1.473120,0.00000046,450.1
1425,1.474156,0.00000043,457.8
1450,1.472270,0.00000041,465.9
1475,1.469449,0.00000039,473.7
1500,1.472506,0.00000037,481.6
1525,1.469109,0.00000035,490.0
1550,1.469015,0.00000033,498.1
1575,1.468892,0.00000031,506.4
1600,1.470974,0.00000029,514.6
1625,1.468649,0.00000028,522.7
1650,1.468623,0.00000026,530.6
1675,1.468405,0.00000025,538.8
1700,1.466938,0.00000023,547.0
1725,1.470730,0.00000022,555.2
1750,1.470807,0.00000021,563.2
1775,1.466122,0.00000020,571.3
1800,1.471423,0.00000019,579.5
1825,1.470840,0.00000018,587.6
1850,1.469250,0.00000017,595.4
1875,1.471582,0.00000016,603.4
1900,1.465455,0.00000016,611.4
1925,1.469292,0.00000016,619.3
1950,1.467022,0.00000015,627.4
1975,1.469150,0.00000015,635.5
2000,1.468732,0.00000015,643.7
