step,loss,lr,elapsed_sec
25,4.923921,0.00000038,9.3
50,4.402509,0.00000075,18.3
75,3.985996,0.00000113,27.2
100,3.551777,0.00000150,36.1
125,3.148034,0.00000150,45.2
150,2.754148,0.00000150,54.2
175,2.394678,0.00000149,63.1
200,2.124273,0.00000149,71.9
225,1.928264,0.00000149,80.9
250,1.857578,0.00000148,89.9
275,1.747498,0.00000147,98.7
300,1.698774,0.00000146,107.3
325,1.648984,0.00000145,116.2
350,1.632836,0.00000144,125.3
375,1.622762,0.00000143,134.1
400,1.603621,0.00000142,143.1
425,1.576758,0.00000140,152.0
450,1.564779,0.00000139,160.8
475,1.556955,0.00000137,169.7
500,1.560105,0.00000136,178.5
525,1.545674,0.00000134,187.9
550,1.539232,0.00000132,196.7
575,1.533504,0.00000130,205.6
600,1.525647,0.00000128,214.3
625,1.530632,0.00000126,223.3
650,1.521684,0.00000124,232.1
675,1.527905,0.00000122,241.0
700,1.521964,0.00000119,249.9
725,1.514523,0.00000117,258.9
750,1.512047,0.00000115,267.7
775,1.507999,0.00000112,276.7
800,1.515025,0.00000110,285.7
825,1.503842,0.00000107,294.6
850,1.505461,0.00000104,303.5
875,1.502798,0.00000102,312.5
900,1.501812,0.00000099,321.3
925,1.496560,0.00000096,330.3
950,1.496334,0.00000094,339.2
975,1.501193,0.00000091,348.1
1000,1.493600,0.00000088,356.9
1025,1.496034,0.00000085,367.2
1050,1.491620,0.00000083,376.2
1075,1.488319,0.00000080,385.3
1100,1.489910,0.00000077,394.1
1125,1.492303,0.00000074,403.2
1150,1.487306,0.00000071,412.1
1175,1.487219,0.00000069,421.1
1200,1.489279,0.00000066,430.2
1225,1.486662,0.00000063,439.3
1250,1.485919,0.00000061,448.3
1275,1.483642,0.00000058,457.4
1300,1.481505,0.00000055,466.7
1325,1.479663,0.00000053,475.6
1350,1.483126,0.00000050,484.6
1375,1.484121,0.00000048,493.6
1400,1.481439,0.00000046,502.6
1425,1.482300,0.00000043,511.7
1450,1.483180,0.00000041,520.8
1475,1.483737,0.00000039,529.8
1500,1.477046,0.00000037,538.7
1525,1.475912,0.00000035,548.0
1550,1.476349,0.00000033,557.0
1575,1.479701,0.00000031,565.9
1600,1.478813,0.00000029,575.1
1625,1.476209,0.00000028,584.2
1650,1.478074,0.00000026,593.2
1675,1.476972,0.00000025,602.2
1700,1.477467,0.00000023,611.2
1725,1.476640,0.00000022,620.4
1750,1.478785,0.00000021,629.3
1775,1.479277,0.00000020,638.4
1800,1.475107,0.00000019,647.4
1825,1.475291,0.00000018,656.6
1850,1.473861,0.00000017,665.7
1875,1.477791,0.00000016,674.9
1900,1.471330,0.00000016,683.9
1925,1.477470,0.00000016,692.9
1950,1.477208,0.00000015,701.9
1975,1.475046,0.00000015,711.0
2000,1.471956,0.00000015,720.0
