step,loss,lr,elapsed_sec
25,6.959610,0.00000038,8.1
50,6.235252,0.00000075,15.9
75,5.507956,0.00000113,24.0
100,4.816932,0.00000150,32.0
125,4.116894,0.00000150,39.8
150,3.509073,0.00000150,47.6
175,2.983554,0.00000149,55.7
200,2.531044,0.00000149,63.4
225,2.190624,0.00000149,71.2
250,2.008027,0.00000148,79.1
275,1.895439,0.00000147,87.0
300,1.808634,0.00000146,94.7
325,1.757156,0.00000145,102.4
350,1.711263,0.00000144,110.3
375,1.671561,0.00000143,118.0
400,1.646679,0.00000142,125.6
425,1.632975,0.00000140,133.5
450,1.624023,0.00000139,141.4
475,1.605163,0.00000137,149.2
500,1.601196,0.00000136,156.9
525,1.587438,0.00000134,165.1
550,1.573055,0.00000132,173.0
575,1.573678,0.00000130,180.7
600,1.562315,0.00000128,188.5
625,1.555119,0.00000126,196.4
650,1.551916,0.00000124,204.3
675,1.543022,0.00000122,212.0
700,1.534581,0.00000119,219.7
725,1.530796,0.00000117,227.6
750,1.528774,0.00000115,235.4
775,1.523211,0.00000112,243.0
800,1.514263,0.00000110,250.8
825,1.518347,0.00000107,258.4
850,1.511828,0.00000104,265.9
875,1.516484,0.00000102,273.3
900,1.504840,0.00000099,280.9
925,1.507142,0.00000096,289.0
950,1.502877,0.00000094,296.9
975,1.503931,0.00000091,304.6
1000,1.505047,0.00000088,312.3
1025,1.501853,0.00000085,321.4
1050,1.494505,0.00000083,329.5
1075,1.493987,0.00000080,337.6
1100,1.495396,0.00000077,345.5
1125,1.497764,0.00000074,353.3
1150,1.495606,0.00000071,361.2
1175,1.497301,0.00000069,368.9
1200,1.490147,0.00000066,376.2
1225,1.487019,0.00000063,383.6
1250,1.490010,0.00000061,391.0
1275,1.490180,0.00000058,399.0
1300,1.485518,0.00000055,406.6
1325,1.492037,0.00000053,414.3
1350,1.485565,0.00000050,422.2
1375,1.485943,0.00000048,430.0
1400,1.482102,0.00000046,437.7
1425,1.482796,0.00000043,445.4
1450,1.485299,0.00000041,453.2
1475,1.485193,0.00000039,461.0
1500,1.486514,0.00000037,468.7
1525,1.478409,0.00000035,477.2
1550,1.475469,0.00000033,485.4
1575,1.476399,0.00000031,493.3
1600,1.480001,0.00000029,501.2
1625,1.475184,0.00000028,509.0
1650,1.478056,0.00000026,517.1
1675,1.482233,0.00000025,525.0
1700,1.474634,0.00000023,533.0
1725,1.475815,0.00000022,541.0
1750,1.476956,0.00000021,549.0
1775,1.476875,0.00000020,557.0
1800,1.475710,0.00000019,564.9
1825,1.475855,0.00000018,572.9
1850,1.481253,0.00000017,580.9
1875,1.478193,0.00000016,588.8
1900,1.474259,0.00000016,596.7
1925,1.472553,0.00000016,604.8
1950,1.473059,0.00000015,612.9
1975,1.473491,0.00000015,621.0
2000,1.474005,0.00000015,628.7
