step,loss,lr,elapsed_sec
25,2.144758,0.00000038,8.3
50,1.703820,0.00000075,16.4
75,1.532220,0.00000113,24.5
100,1.499912,0.00000150,32.4
125,1.484126,0.00000150,40.2
150,1.476206,0.00000150,48.0
175,1.472093,0.00000149,55.7
200,1.466948,0.00000149,63.3
225,1.463252,0.00000149,71.0
250,1.460291,0.00000148,78.8
275,1.457761,0.00000147,86.6
300,1.455446,0.00000146,94.5
325,1.455820,0.00000145,102.2
350,1.453948,0.00000144,110.0
375,1.452987,0.00000143,118.0
400,1.447372,0.00000142,125.8
425,1.451323,0.00000140,133.6
450,1.449555,0.00000139,141.5
475,1.447739,0.00000137,149.2
500,1.445007,0.00000136,156.9
525,1.442675,0.00000134,164.9
550,1.447742,0.00000132,172.5
575,1.444890,0.00000130,180.1
600,1.442159,0.00000128,188.0
625,1.439373,0.00000126,195.7
650,1.443494,0.00000124,203.5
675,1.439560,0.00000122,211.3
700,1.444932,0.00000119,219.1
725,1.438494,0.00000117,226.7
750,1.437058,0.00000115,234.3
775,1.435764,0.00000112,242.1
800,1.437754,0.00000110,249.9
825,1.435939,0.00000107,257.8
850,1.436363,0.00000104,265.5
875,1.436341,0.00000102,273.3
900,1.434789,0.00000099,280.7
925,1.434110,0.00000096,288.5
950,1.432835,0.00000094,296.2
975,1.436307,0.00000091,304.0
1000,1.438130,0.00000088,311.7
1025,1.437715,0.00000085,320.5
1050,1.432729,0.00000083,328.2
1075,1.431591,0.00000080,335.8
1100,1.431016,0.00000077,343.7
1125,1.432553,0.00000074,351.4
1150,1.431485,0.00000071,359.2
1175,1.428558,0.00000069,367.2
1200,1.431478,0.00000066,375.1
1225,1.429802,0.00000063,383.0
1250,1.431897,0.00000061,390.6
1275,1.429051,0.00000058,398.6
1300,1.430479,0.00000055,406.4
1325,1.433368,0.00000053,414.2
1350,1.427459,0.00000050,422.0
1375,1.430076,0.00000048,429.7
1400,1.428135,0.00000046,437.5
1425,1.430487,0.00000043,445.3
1450,1.428056,0.00000041,453.1
1475,1.429013,0.00000039,460.7
1500,1.426864,0.00000037,468.3
1525,1.434340,0.00000035,476.6
1550,1.427963,0.00000033,484.3
1575,1.427307,0.00000031,492.2
1600,1.429257,0.00000029,499.8
1625,1.433390,0.00000028,507.5
1650,1.427430,0.00000026,515.2
1675,1.427986,0.00000025,522.9
1700,1.429210,0.00000023,530.5
1725,1.429853,0.00000022,538.3
1750,1.431709,0.00000021,546.0
1775,1.426647,0.00000020,553.7
1800,1.426433,0.00000019,561.3
1825,1.427883,0.00000018,569.2
1850,1.429047,0.00000017,576.9
1875,1.429809,0.00000016,584.8
1900,1.428467,0.00000016,592.9
1925,1.431242,0.00000016,600.6
1950,1.430363,0.00000015,608.3
1975,1.428977,0.00000015,616.2
2000,1.426199,0.00000015,624.1
