step,loss,lr,elapsed_sec
25,1.665113,0.00000038,7.9
50,1.482972,0.00000075,15.5
75,1.441191,0.00000113,23.1
100,1.433597,0.00000150,30.9
125,1.428777,0.00000150,38.8
150,1.427321,0.00000150,46.7
175,1.428539,0.00000149,54.4
200,1.425982,0.00000149,62.0
225,1.430405,0.00000149,69.9
250,1.425634,0.00000148,77.7
275,1.429760,0.00000147,85.5
300,1.425209,0.00000146,93.4
325,1.427003,0.00000145,101.2
350,1.425291,0.00000144,109.0
375,1.425066,0.00000143,116.8
400,1.423643,0.00000142,124.5
425,1.424752,0.00000140,132.2
450,1.423944,0.00000139,139.9
475,1.423608,0.00000137,147.8
500,1.426397,0.00000136,155.6
525,1.423020,0.00000134,163.2
550,1.424950,0.00000132,170.4
575,1.425210,0.00000130,178.2
600,1.422928,0.00000128,185.9
625,1.423856,0.00000126,193.7
650,1.422910,0.00000124,201.3
675,1.423479,0.00000122,209.3
700,1.418845,0.00000119,217.1
725,1.420571,0.00000117,224.6
750,1.424078,0.00000115,232.2
775,1.420023,0.00000112,240.0
800,1.420727,0.00000110,247.7
825,1.421152,0.00000107,255.4
850,1.421174,0.00000104,263.4
875,1.420517,0.00000102,271.4
900,1.419179,0.00000099,279.1
925,1.422726,0.00000096,286.8
950,1.421703,0.00000094,294.6
975,1.419457,0.00000091,302.5
1000,1.420608,0.00000088,310.3
1025,1.418221,0.00000085,319.2
1050,1.419320,0.00000083,326.9
1075,1.419714,0.00000080,334.8
1100,1.420081,0.00000077,342.5
1125,1.421450,0.00000074,350.2
1150,1.416986,0.00000071,357.9
1175,1.416442,0.00000069,365.4
1200,1.420143,0.00000066,373.2
1225,1.417039,0.00000063,380.7
1250,1.416376,0.00000061,388.3
1275,1.419474,0.00000058,395.8
1300,1.417268,0.00000055,403.7
1325,1.419402,0.00000053,411.4
1350,1.417837,0.00000050,419.2
1375,1.419893,0.00000048,427.0
1400,1.416343,0.00000046,435.1
1425,1.419636,0.00000043,442.6
1450,1.417543,0.00000041,450.3
1475,1.419591,0.00000039,458.0
1500,1.416594,0.00000037,466.0
1525,1.417009,0.00000035,474.3
1550,1.418488,0.00000033,482.2
1575,1.415564,0.00000031,489.9
1600,1.417423,0.00000029,497.6
1625,1.414670,0.00000028,505.3
1650,1.417047,0.00000026,513.1
1675,1.417477,0.00000025,520.8
1700,1.416373,0.00000023,528.5
1725,1.413275,0.00000022,536.2
1750,1.419319,0.00000021,543.7
1775,1.418083,0.00000020,551.5
1800,1.416930,0.00000019,559.4
1825,1.416744,0.00000018,567.2
1850,1.416820,0.00000017,574.4
1875,1.418797,0.00000016,581.7
1900,1.415985,0.00000016,588.9
1925,1.419512,0.00000016,596.7
1950,1.415844,0.00000015,605.0
1975,1.415257,0.00000015,613.0
2000,1.414067,0.00000015,620.8
