step,loss,lr,elapsed_sec
25,5.282526,0.00000038,6.9
50,4.609726,0.00000075,13.5
75,4.045565,0.00000113,20.3
100,3.447951,0.00000150,26.7
125,2.823630,0.00000150,33.4
150,2.316152,0.00000150,40.1
175,1.940289,0.00000149,46.7
200,1.770650,0.00000149,53.5
225,1.661627,0.00000149,60.1
250,1.620979,0.00000148,66.7
275,1.575727,0.00000147,73.3
300,1.555263,0.00000146,79.9
325,1.535963,0.00000145,86.0
350,1.517467,0.00000144,92.1
375,1.520047,0.00000143,98.2
400,1.512328,0.00000142,104.8
425,1.493047,0.00000140,111.2
450,1.493890,0.00000139,117.6
475,1.495954,0.00000137,124.0
500,1.489767,0.00000136,130.7
525,1.476891,0.00000134,137.5
550,1.479498,0.00000132,143.9
575,1.477055,0.00000130,150.3
600,1.471972,0.00000128,156.6
625,1.466764,0.00000126,163.0
650,1.468558,0.00000124,169.5
675,1.462209,0.00000122,176.3
700,1.464781,0.00000119,182.9
725,1.461562,0.00000117,189.5
750,1.460956,0.00000115,196.0
775,1.459089,0.00000112,202.5
800,1.454928,0.00000110,209.3
825,1.455170,0.00000107,215.9
850,1.455756,0.00000104,222.5
875,1.453861,0.00000102,229.2
900,1.453017,0.00000099,235.8
925,1.451371,0.00000096,242.3
950,1.451941,0.00000094,248.8
975,1.454670,0.00000091,255.6
1000,1.446692,0.00000088,262.1
1025,1.444988,0.00000085,269.7
1050,1.452614,0.00000083,276.4
1075,1.445217,0.00000080,282.7
1100,1.445915,0.00000077,289.2
1125,1.444919,0.00000074,295.7
1150,1.445372,0.00000071,302.1
1175,1.443781,0.00000069,308.8
1200,1.446730,0.00000066,315.3
1225,1.442337,0.00000063,321.1
1250,1.444315,0.00000061,326.9
1275,1.445124,0.00000058,332.7
1300,1.441095,0.00000055,338.5
1325,1.440797,0.00000053,344.3
1350,1.441926,0.00000050,350.1
1375,1.440171,0.00000048,356.6
1400,1.440685,0.00000046,363.4
1425,1.441651,0.00000043,370.1
1450,1.443390,0.00000041,376.7
1475,1.444570,0.00000039,383.4
1500,1.445686,0.00000037,390.2
1525,1.442248,0.00000035,396.9
1550,1.440350,0.00000033,403.5
1575,1.439553,0.00000031,410.0
1600,1.437936,0.00000029,416.6
1625,1.440390,0.00000028,423.2
1650,1.437805,0.00000026,430.0
1675,1.442242,0.00000025,436.8
1700,1.438076,0.00000023,443.5
1725,1.435183,0.00000022,450.2
1750,1.437735,0.00000021,457.0
1775,1.435732,0.00000020,463.6
1800,1.436467,0.00000019,470.4
1825,1.436341,0.00000018,477.1
1850,1.436454,0.00000017,483.7
1875,1.437764,0.00000016,490.3
1900,1.438181,0.00000016,496.9
1925,1.435820,0.00000016,503.5
1950,1.436206,0.00000015,510.2
1975,1.435966,0.00000015,516.7
2000,1.435870,0.00000015,523.2
