step,loss,lr,elapsed_sec
25,5.399405,0.00000038,8.3
50,4.762049,0.00000075,16.0
75,4.184557,0.00000113,23.8
100,3.553367,0.00000150,32.0
125,3.011769,0.00000150,40.0
150,2.482829,0.00000150,48.0
175,2.093007,0.00000149,56.1
200,1.826006,0.00000149,64.0
225,1.741940,0.00000149,71.9
250,1.636423,0.00000148,79.7
275,1.592364,0.00000147,87.6
300,1.571004,0.00000146,95.5
325,1.553982,0.00000145,103.2
350,1.531106,0.00000144,111.0
375,1.522929,0.00000143,119.0
400,1.512916,0.00000142,126.8
425,1.503516,0.00000140,134.6
450,1.503115,0.00000139,142.5
475,1.489067,0.00000137,150.3
500,1.488871,0.00000136,158.2
525,1.481550,0.00000134,166.4
550,1.482976,0.00000132,174.3
575,1.478261,0.00000130,182.0
600,1.476685,0.00000128,189.9
625,1.471097,0.00000126,197.8
650,1.474297,0.00000124,205.6
675,1.466532,0.00000122,213.5
700,1.466255,0.00000119,221.4
725,1.462695,0.00000117,229.4
750,1.461734,0.00000115,237.2
775,1.457678,0.00000112,245.0
800,1.465846,0.00000110,252.9
825,1.458288,0.00000107,260.9
850,1.457559,0.00000104,268.7
875,1.454752,0.00000102,276.2
900,1.455073,0.00000099,284.0
925,1.457528,0.00000096,291.9
950,1.451855,0.00000094,299.7
975,1.449371,0.00000091,307.6
1000,1.452752,0.00000088,315.5
1025,1.454505,0.00000085,324.7
1050,1.448850,0.00000083,332.8
1075,1.449604,0.00000080,341.0
1100,1.447329,0.00000077,348.9
1125,1.446184,0.00000074,356.7
1150,1.446433,0.00000071,364.5
1175,1.446177,0.00000069,372.3
1200,1.445619,0.00000066,380.0
1225,1.446590,0.00000063,387.9
1250,1.447698,0.00000061,395.7
1275,1.445718,0.00000058,403.5
1300,1.446124,0.00000055,411.3
1325,1.443028,0.00000053,419.0
1350,1.443254,0.00000050,427.0
1375,1.440707,0.00000048,434.9
1400,1.447314,0.00000046,443.1
1425,1.441287,0.00000043,451.0
1450,1.443273,0.00000041,458.9
1475,1.442104,0.00000039,466.6
1500,1.440664,0.00000037,474.7
1525,1.446511,0.00000035,482.9
1550,1.442302,0.00000033,490.8
1575,1.442311,0.00000031,498.8
1600,1.439694,0.00000029,506.8
1625,1.444635,0.00000028,514.7
1650,1.441190,0.00000026,522.4
1675,1.439345,0.00000025,530.2
1700,1.441432,0.00000023,538.2
1725,1.443723,0.00000022,546.0
1750,1.441004,0.00000021,554.0
1775,1.445415,0.00000020,561.9
1800,1.440610,0.00000019,569.9
1825,1.444722,0.00000018,577.8
1850,1.436756,0.00000017,585.7
1875,1.439495,0.00000016,593.6
1900,1.440790,0.00000016,601.5
1925,1.438602,0.00000016,609.4
1950,1.439886,0.00000015,617.1
1975,1.442164,0.00000015,625.0
2000,1.442760,0.00000015,633.1
