step,loss,lr,elapsed_sec
25,7.324029,0.00000038,9.2
50,6.494740,0.00000075,17.7
75,5.846422,0.00000113,26.4
100,5.162914,0.00000150,35.2
125,4.373634,0.00000150,44.1
150,3.676635,0.00000150,52.9
175,3.097616,0.00000149,61.7
200,2.616527,0.00000149,70.4
225,2.245125,0.00000149,79.3
250,2.020133,0.00000148,88.1
275,1.873216,0.00000147,96.9
300,1.796010,0.00000146,105.8
325,1.734276,0.00000145,114.6
350,1.691836,0.00000144,123.3
375,1.647988,0.00000143,132.1
400,1.622705,0.00000142,140.8
425,1.609932,0.00000140,149.6
450,1.591824,0.00000139,158.4
475,1.584280,0.00000137,167.2
500,1.566300,0.00000136,176.1
525,1.561163,0.00000134,185.2
550,1.548616,0.00000132,194.1
575,1.552119,0.00000130,203.1
600,1.534006,0.00000128,212.2
625,1.531893,0.00000126,221.1
650,1.531125,0.00000124,230.1
675,1.525376,0.00000122,239.0
700,1.525725,0.00000119,247.9
725,1.525670,0.00000117,256.7
750,1.514965,0.00000115,265.4
775,1.504937,0.00000112,274.3
800,1.503898,0.00000110,283.0
825,1.503410,0.00000107,291.9
850,1.503401,0.00000104,300.7
875,1.499519,0.00000102,309.4
900,1.497223,0.00000099,318.3
925,1.490921,0.00000096,326.9
950,1.494410,0.00000094,335.9
975,1.484463,0.00000091,344.5
1000,1.491778,0.00000088,353.4
1025,1.484750,0.00000085,363.2
1050,1.487701,0.00000083,371.9
1075,1.479309,0.00000080,380.3
1100,1.481180,0.00000077,388.5
1125,1.482829,0.00000074,397.2
1150,1.478005,0.00000071,406.2
1175,1.482014,0.00000069,415.0
1200,1.477330,0.00000066,423.9
1225,1.478008,0.00000063,432.9
1250,1.473521,0.00000061,441.7
1275,1.473963,0.00000058,450.4
1300,1.472995,0.00000055,459.2
1325,1.471812,0.00000053,468.0
1350,1.477812,0.00000050,476.8
1375,1.466099,0.00000048,485.5
1400,1.470734,0.00000046,494.2
1425,1.470135,0.00000043,503.0
1450,1.468902,0.00000041,511.9
1475,1.468874,0.00000039,521.0
1500,1.468320,0.00000037,529.8
1525,1.467098,0.00000035,538.8
1550,1.471427,0.00000033,547.6
1575,1.469886,0.00000031,556.2
1600,1.466470,0.00000029,564.9
1625,1.468491,0.00000028,573.9
1650,1.468804,0.00000026,582.7
1675,1.467589,0.00000025,591.4
1700,1.465589,0.00000023,600.2
1725,1.466775,0.00000022,608.9
1750,1.468535,0.00000021,617.7
1775,1.464894,0.00000020,626.6
1800,1.461233,0.00000019,635.4
1825,1.468877,0.00000018,644.3
1850,1.460102,0.00000017,653.1
1875,1.467737,0.00000016,662.2
1900,1.466221,0.00000016,671.0
1925,1.465788,0.00000016,679.9
1950,1.465663,0.00000015,688.7
1975,1.464011,0.00000015,697.4
2000,1.468179,0.00000015,706.2
