step,loss,lr,elapsed_sec
10,9.104868,0.00000025,2.0
20,8.631823,0.00000050,3.6
30,7.902490,0.00000075,5.1
40,7.213628,0.00000100,6.6
50,6.919271,0.00000125,8.2
60,6.265387,0.00000150,9.8
70,5.775276,0.00000175,11.6
80,5.568746,0.00000200,13.2
90,5.690874,0.00000225,14.7
100,5.334727,0.00000250,16.3
110,4.936700,0.00000275,17.8
120,4.530933,0.00000300,19.4
130,4.411585,0.00000325,21.0
140,4.107002,0.00000350,22.6
150,3.760592,0.00000375,24.1
160,3.722813,0.00000400,25.6
170,3.839937,0.00000425,27.1
180,3.488852,0.00000450,28.6
190,3.176608,0.00000475,30.1
200,2.912750,0.00000500,31.7
210,2.597048,0.00000500,33.2
220,2.514879,0.00000500,34.7
230,2.467467,0.00000500,36.2
240,2.318906,0.00000500,37.7
250,2.288117,0.00000500,39.3
260,2.251144,0.00000500,40.8
270,2.018501,0.00000500,42.3
280,2.033523,0.00000500,43.8
290,1.995502,0.00000500,45.3
300,1.873379,0.00000500,46.9
310,1.791785,0.00000499,48.4
320,1.754090,0.00000499,49.9
330,1.812418,0.00000499,51.4
340,1.715675,0.00000499,52.9
350,1.688920,0.00000499,54.3
360,1.720851,0.00000499,55.8
370,1.685875,0.00000499,57.4
380,1.652081,0.00000498,58.9
390,1.663601,0.00000498,60.7
400,1.605250,0.00000498,62.2
410,1.572818,0.00000498,63.8
420,1.622046,0.00000498,65.3
430,1.624863,0.00000497,66.8
440,1.587436,0.00000497,68.4
450,1.631598,0.00000497,70.0
460,1.557982,0.00000497,71.6
470,1.598152,0.00000496,73.1
480,1.561967,0.00000496,74.7
490,1.537691,0.00000496,76.2
500,1.540159,0.00000496,77.8
510,1.573747,0.00000495,80.5
520,1.544401,0.00000495,82.2
530,1.544073,0.00000495,83.8
540,1.544273,0.00000494,85.5
550,1.528787,0.00000494,87.1
560,1.551320,0.00000494,88.7
570,1.530351,0.00000493,90.3
580,1.519434,0.00000493,91.8
590,1.513830,0.00000493,93.4
600,1.520617,0.00000492,95.0
610,1.507075,0.00000492,96.6
620,1.518725,0.00000492,98.2
630,1.519067,0.00000491,99.8
640,1.524001,0.00000491,101.3
650,1.511084,0.00000490,102.9
660,1.486628,0.00000490,104.5
670,1.473856,0.00000489,106.1
680,1.508146,0.00000489,107.7
690,1.497855,0.00000489,109.3
700,1.505888,0.00000488,110.9
710,1.489967,0.00000488,112.5
720,1.486584,0.00000487,114.1
730,1.493887,0.00000487,115.6
740,1.470539,0.00000486,117.1
750,1.497232,0.00000486,118.7
760,1.486054,0.00000485,120.3
770,1.485956,0.00000485,121.9
780,1.468660,0.00000484,123.7
790,1.470761,0.00000483,125.3
800,1.478232,0.00000483,126.9
810,1.471754,0.00000482,128.5
820,1.457134,0.00000482,130.1
830,1.461281,0.00000481,131.6
840,1.469246,0.00000481,133.2
850,1.472057,0.00000480,134.7
860,1.464887,0.00000479,136.2
870,1.463956,0.00000479,137.7
880,1.462819,0.00000478,139.3
890,1.464268,0.00000477,140.8
900,1.449521,0.00000477,142.3
910,1.476787,0.00000476,143.9
920,1.446052,0.00000475,145.2
930,1.446394,0.00000475,146.6
940,1.461028,0.00000474,148.1
950,1.447917,0.00000473,149.7
960,1.467967,0.00000473,151.2
970,1.449093,0.00000472,152.7
980,1.458924,0.00000471,154.2
990,1.445435,0.00000471,155.8
1000,1.456958,0.00000470,157.3
1010,1.457466,0.00000469,159.9
1020,1.455939,0.00000468,161.6
1030,1.450367,0.00000468,163.2
1040,1.448729,0.00000467,164.6
1050,1.440390,0.00000466,166.1
1060,1.448489,0.00000465,167.7
1070,1.451191,0.00000464,169.2
1080,1.445925,0.00000464,170.8
1090,1.445601,0.00000463,172.4
1100,1.449402,0.00000462,174.0
1110,1.444097,0.00000461,175.6
1120,1.450076,0.00000460,177.1
1130,1.458222,0.00000460,178.7
1140,1.441475,0.00000459,180.3
1150,1.446210,0.00000458,181.9
1160,1.442058,0.00000457,183.4
1170,1.443642,0.00000456,185.2
1180,1.444706,0.00000455,186.8
1190,1.436752,0.00000454,188.4
1200,1.435749,0.00000454,190.0
1210,1.444479,0.00000453,191.6
1220,1.438672,0.00000452,193.2
1230,1.431938,0.00000451,194.8
1240,1.431046,0.00000450,196.4
1250,1.430961,0.00000449,198.1
1260,1.443629,0.00000448,199.7
1270,1.430809,0.00000447,201.3
1280,1.433254,0.00000446,203.0
1290,1.427840,0.00000445,204.6
1300,1.429112,0.00000444,206.2
1310,1.435026,0.00000443,207.8
1320,1.433701,0.00000442,209.4
1330,1.429711,0.00000441,211.0
1340,1.433837,0.00000440,212.6
1350,1.442518,0.00000439,214.2
1360,1.429484,0.00000438,215.8
1370,1.433291,0.00000437,217.3
1380,1.425755,0.00000436,218.9
1390,1.430691,0.00000435,220.4
1400,1.432191,0.00000434,222.0
1410,1.423291,0.00000433,223.6
1420,1.427649,0.00000432,225.2
1430,1.430041,0.00000431,226.7
1440,1.420063,0.00000430,228.3
1450,1.426403,0.00000429,229.9
1460,1.433320,0.00000428,231.4
1470,1.423598,0.00000427,233.0
1480,1.422827,0.00000426,234.6
1490,1.432857,0.00000424,236.2
1500,1.428124,0.00000423,237.8
1510,1.424300,0.00000422,240.3
1520,1.427090,0.00000421,241.9
1530,1.435509,0.00000420,243.4
1540,1.424663,0.00000419,244.9
1550,1.424810,0.00000418,246.4
1560,1.428378,0.00000417,248.1
1570,1.421275,0.00000415,249.6
1580,1.424406,0.00000414,251.1
1590,1.425095,0.00000413,252.6
1600,1.417581,0.00000412,254.1
1610,1.420567,0.00000411,255.6
1620,1.425418,0.00000410,257.0
1630,1.423789,0.00000408,258.5
1640,1.420644,0.00000407,259.9
1650,1.420827,0.00000406,261.4
1660,1.422005,0.00000405,262.8
1670,1.421828,0.00000404,264.2
1680,1.425266,0.00000402,265.7
1690,1.418601,0.00000401,267.2
1700,1.435907,0.00000400,268.8
1710,1.414650,0.00000399,270.3
1720,1.422817,0.00000398,271.8
1730,1.417921,0.00000396,273.3
1740,1.421735,0.00000395,274.9
1750,1.415960,0.00000394,276.3
1760,1.418490,0.00000393,278.0
1770,1.421327,0.00000391,279.6
1780,1.416512,0.00000390,281.2
1790,1.414040,0.00000389,282.8
1800,1.417997,0.00000388,284.4
1810,1.420566,0.00000386,285.9
1820,1.417264,0.00000385,287.5
1830,1.417558,0.00000384,289.1
1840,1.422947,0.00000382,290.6
1850,1.419723,0.00000381,292.1
1860,1.416799,0.00000380,293.7
1870,1.417070,0.00000378,295.2
1880,1.409961,0.00000377,296.8
1890,1.411480,0.00000376,298.4
1900,1.415728,0.00000375,300.0
1910,1.414783,0.00000373,301.5
1920,1.417541,0.00000372,303.1
1930,1.410181,0.00000371,304.7
1940,1.414136,0.00000369,306.3
1950,1.413667,0.00000368,308.0
1960,1.425939,0.00000367,309.6
1970,1.409644,0.00000365,311.2
1980,1.414688,0.00000364,312.7
1990,1.409631,0.00000362,314.2
2000,1.408471,0.00000361,315.7
2010,1.419413,0.00000360,318.4
2020,1.411526,0.00000358,320.0
2030,1.415266,0.00000357,321.6
2040,1.408489,0.00000356,323.1
2050,1.421710,0.00000354,324.7
2060,1.416711,0.00000353,326.3
2070,1.411935,0.00000351,327.9
2080,1.411383,0.00000350,329.4
2090,1.405661,0.00000349,331.0
2100,1.413357,0.00000347,332.6
2110,1.408725,0.00000346,334.2
2120,1.412709,0.00000345,335.8
2130,1.410553,0.00000343,337.4
2140,1.409992,0.00000342,339.0
2150,1.414589,0.00000340,340.7
2160,1.417080,0.00000339,342.3
2170,1.413508,0.00000337,343.9
2180,1.405856,0.00000336,345.5
2190,1.412607,0.00000335,347.1
2200,1.409836,0.00000333,348.7
2210,1.410397,0.00000332,350.3
2220,1.411377,0.00000330,351.9
2230,1.415133,0.00000329,353.4
2240,1.407613,0.00000328,355.0
2250,1.411114,0.00000326,356.6
2260,1.407406,0.00000325,358.2
2270,1.410149,0.00000323,359.8
2280,1.412562,0.00000322,361.4
2290,1.409172,0.00000320,362.9
2300,1.404438,0.00000319,364.4
2310,1.410024,0.00000317,366.0
2320,1.409215,0.00000316,367.5
2330,1.406096,0.00000315,369.0
2340,1.410896,0.00000313,370.8
2350,1.409360,0.00000312,372.3
2360,1.409874,0.00000310,373.8
2370,1.410489,0.00000309,375.4
2380,1.406033,0.00000307,376.9
2390,1.407150,0.00000306,378.5
2400,1.402731,0.00000304,379.9
2410,1.409751,0.00000303,381.3
2420,1.404957,0.00000301,382.6
2430,1.407403,0.00000300,384.0
2440,1.404898,0.00000299,385.4
2450,1.406443,0.00000297,386.8
2460,1.403107,0.00000296,388.2
2470,1.406285,0.00000294,389.6
2480,1.408473,0.00000293,391.0
2490,1.406084,0.00000291,392.4
2500,1.407802,0.00000290,393.8
2510,1.405708,0.00000288,396.4
2520,1.404356,0.00000287,398.1
2530,1.406298,0.00000285,399.7
2540,1.401427,0.00000284,401.3
2550,1.404850,0.00000282,403.0
2560,1.403398,0.00000281,404.6
2570,1.404261,0.00000279,406.2
2580,1.404659,0.00000278,407.8
2590,1.404547,0.00000276,409.4
2600,1.406118,0.00000275,411.1
2610,1.404487,0.00000274,412.7
2620,1.413073,0.00000272,414.3
2630,1.405813,0.00000271,415.9
2640,1.425568,0.00000269,417.5
2650,1.406323,0.00000268,419.1
2660,1.404017,0.00000266,420.7
2670,1.405281,0.00000265,422.3
2680,1.403955,0.00000263,423.9
2690,1.410413,0.00000262,425.5
2700,1.400625,0.00000260,427.1
2710,1.400538,0.00000259,428.7
2720,1.403411,0.00000257,430.4
2730,1.406542,0.00000256,432.2
2740,1.407850,0.00000254,433.8
2750,1.401405,0.00000253,435.4
2760,1.402809,0.00000251,436.9
2770,1.403795,0.00000250,438.5
2780,1.399821,0.00000249,440.1
2790,1.400216,0.00000247,441.7
2800,1.399234,0.00000246,443.4
2810,1.415745,0.00000244,445.0
2820,1.403934,0.00000243,446.7
2830,1.403150,0.00000241,448.3
2840,1.401612,0.00000240,449.9
2850,1.404202,0.00000238,451.4
2860,1.401213,0.00000237,453.0
2870,1.403591,0.00000235,454.6
2880,1.405233,0.00000234,456.2
2890,1.406854,0.00000233,457.8
2900,1.400080,0.00000231,459.4
2910,1.401002,0.00000230,461.0
2920,1.402210,0.00000228,462.5
2930,1.397787,0.00000227,464.1
2940,1.402001,0.00000225,465.6
2950,1.400861,0.00000224,467.1
2960,1.398667,0.00000222,468.7
2970,1.410838,0.00000221,470.3
2980,1.402290,0.00000220,471.9
2990,1.401243,0.00000218,473.5
3000,1.403262,0.00000217,475.1
3010,1.399481,0.00000215,477.8
3020,1.399532,0.00000214,479.4
3030,1.398363,0.00000213,480.9
3040,1.405483,0.00000211,482.6
3050,1.411368,0.00000210,484.2
3060,1.404128,0.00000208,485.8
3070,1.397945,0.00000207,487.4
3080,1.400956,0.00000205,488.9
3090,1.399262,0.00000204,490.5
3100,1.396115,0.00000203,492.1
3110,1.408392,0.00000201,493.6
3120,1.398065,0.00000200,495.5
3130,1.400481,0.00000199,497.0
3140,1.401343,0.00000197,498.6
3150,1.399509,0.00000196,500.1
3160,1.400436,0.00000194,501.6
3170,1.402581,0.00000193,503.1
3180,1.401427,0.00000192,504.7
3190,1.403340,0.00000190,506.3
3200,1.404386,0.00000189,507.9
3210,1.403370,0.00000188,509.5
3220,1.395902,0.00000186,511.1
3230,1.403592,0.00000185,512.7
3240,1.403054,0.00000183,514.3
3250,1.396401,0.00000182,515.9
3260,1.401059,0.00000181,517.5
3270,1.401631,0.00000179,519.1
3280,1.404802,0.00000178,520.7
3290,1.394865,0.00000177,522.3
3300,1.399240,0.00000175,523.9
3310,1.404960,0.00000174,525.5
3320,1.400850,0.00000173,527.1
3330,1.402827,0.00000172,528.7
3340,1.397806,0.00000170,530.3
3350,1.399223,0.00000169,531.9
3360,1.402657,0.00000168,533.4
3370,1.400870,0.00000166,534.9
