step,loss,lr,elapsed_sec
25,3.017468,0.00000038,8.0
50,2.285398,0.00000075,15.3
75,1.782969,0.00000113,22.8
100,1.578001,0.00000150,30.3
125,1.515439,0.00000150,37.6
150,1.486537,0.00000150,45.2
175,1.486936,0.00000149,52.5
200,1.468070,0.00000149,60.1
225,1.468363,0.00000149,67.7
250,1.462105,0.00000148,75.5
275,1.460050,0.00000147,83.2
300,1.455193,0.00000146,91.1
325,1.458673,0.00000145,98.9
350,1.449692,0.00000144,106.7
375,1.448016,0.00000143,114.3
400,1.449961,0.00000142,121.9
425,1.444036,0.00000140,129.6
450,1.439027,0.00000139,137.5
475,1.441338,0.00000137,145.3
500,1.437793,0.00000136,153.0
525,1.440280,0.00000134,161.3
550,1.436956,0.00000132,169.2
575,1.436555,0.00000130,177.2
600,1.436765,0.00000128,185.0
625,1.436871,0.00000126,192.8
650,1.433734,0.00000124,200.7
675,1.432916,0.00000122,208.3
700,1.430828,0.00000119,216.0
725,1.433552,0.00000117,223.6
750,1.432735,0.00000115,231.1
775,1.430260,0.00000112,238.9
800,1.427897,0.00000110,246.7
825,1.429582,0.00000107,254.2
850,1.428709,0.00000104,261.9
875,1.427992,0.00000102,269.6
900,1.431698,0.00000099,277.2
925,1.425912,0.00000096,284.8
950,1.430300,0.00000094,292.7
975,1.427338,0.00000091,300.6
1000,1.426995,0.00000088,308.3
1025,1.423920,0.00000085,316.7
1050,1.426387,0.00000083,324.5
1075,1.425296,0.00000080,332.4
1100,1.425135,0.00000077,339.7
1125,1.427794,0.00000074,347.5
1150,1.427329,0.00000071,355.2
1175,1.423514,0.00000069,362.8
1200,1.426529,0.00000066,370.6
1225,1.427009,0.00000063,378.3
1250,1.424427,0.00000061,386.1
1275,1.425656,0.00000058,394.0
1300,1.423768,0.00000055,402.0
1325,1.422456,0.00000053,409.7
1350,1.423612,0.00000050,417.5
1375,1.425041,0.00000048,425.1
1400,1.424301,0.00000046,432.9
1425,1.425041,0.00000043,440.8
1450,1.422848,0.00000041,448.5
1475,1.422242,0.00000039,456.2
1500,1.420803,0.00000037,463.8
1525,1.420042,0.00000035,471.3
1550,1.422768,0.00000033,478.9
1575,1.419808,0.00000031,486.7
1600,1.423359,0.00000029,494.6
1625,1.423987,0.00000028,502.6
1650,1.424519,0.00000026,510.4
1675,1.423121,0.00000025,518.1
1700,1.422434,0.00000023,525.9
1725,1.421682,0.00000022,533.9
1750,1.422154,0.00000021,541.7
1775,1.422633,0.00000020,549.4
1800,1.422060,0.00000019,557.4
1825,1.419788,0.00000018,565.4
1850,1.420995,0.00000017,573.2
1875,1.418606,0.00000016,581.1
1900,1.421798,0.00000016,589.0
1925,1.419341,0.00000016,596.8
1950,1.421384,0.00000015,604.8
1975,1.424409,0.00000015,612.8
2000,1.419595,0.00000015,620.8
