step,loss,lr,elapsed_sec
25,5.787245,0.00000038,8.3
50,5.016928,0.00000075,16.1
75,4.429433,0.00000113,23.9
100,3.817135,0.00000150,31.9
125,3.191602,0.00000150,39.7
150,2.655123,0.00000150,47.2
175,2.241149,0.00000149,55.0
200,1.925029,0.00000149,62.6
225,1.762908,0.00000149,70.4
250,1.662266,0.00000148,78.3
275,1.616559,0.00000147,85.9
300,1.590006,0.00000146,93.6
325,1.569245,0.00000145,101.4
350,1.543370,0.00000144,109.1
375,1.525887,0.00000143,116.9
400,1.520180,0.00000142,124.8
425,1.522423,0.00000140,132.5
450,1.508922,0.00000139,140.2
475,1.504928,0.00000137,148.0
500,1.490022,0.00000136,155.7
525,1.491229,0.00000134,163.8
550,1.492994,0.00000132,171.4
575,1.481881,0.00000130,178.9
600,1.483824,0.00000128,186.5
625,1.477050,0.00000126,194.2
650,1.471968,0.00000124,202.0
675,1.474911,0.00000122,209.5
700,1.469466,0.00000119,217.2
725,1.471074,0.00000117,225.1
750,1.463488,0.00000115,232.7
775,1.460506,0.00000112,240.4
800,1.464936,0.00000110,248.0
825,1.463870,0.00000107,255.6
850,1.463922,0.00000104,263.3
875,1.461050,0.00000102,270.9
900,1.458762,0.00000099,278.5
925,1.458306,0.00000096,286.1
950,1.456481,0.00000094,293.7
975,1.453067,0.00000091,301.5
1000,1.457255,0.00000088,309.2
1025,1.451339,0.00000085,318.2
1050,1.450237,0.00000083,325.7
1075,1.452143,0.00000080,333.5
1100,1.461300,0.00000077,341.1
1125,1.448707,0.00000074,349.0
1150,1.448676,0.00000071,357.2
1175,1.452170,0.00000069,365.3
1200,1.451259,0.00000066,373.2
1225,1.450275,0.00000063,380.9
1250,1.446032,0.00000061,388.6
1275,1.449630,0.00000058,396.2
1300,1.445576,0.00000055,404.0
1325,1.445654,0.00000053,411.7
1350,1.442975,0.00000050,419.4
1375,1.445401,0.00000048,427.2
1400,1.446868,0.00000046,434.9
1425,1.442247,0.00000043,442.6
1450,1.445770,0.00000041,450.5
1475,1.441368,0.00000039,458.1
1500,1.445358,0.00000037,465.9
1525,1.446849,0.00000035,473.9
1550,1.441914,0.00000033,481.7
1575,1.443931,0.00000031,489.6
1600,1.443972,0.00000029,497.4
1625,1.446951,0.00000028,505.1
1650,1.442959,0.00000026,512.8
1675,1.447655,0.00000025,520.3
1700,1.444973,0.00000023,528.0
1725,1.445945,0.00000022,535.6
1750,1.445125,0.00000021,543.2
1775,1.446160,0.00000020,550.9
1800,1.442898,0.00000019,558.6
1825,1.443331,0.00000018,566.3
1850,1.441551,0.00000017,574.1
1875,1.440421,0.00000016,581.8
1900,1.440971,0.00000016,589.6
1925,1.440107,0.00000016,597.5
1950,1.442585,0.00000015,605.2
1975,1.441723,0.00000015,613.0
2000,1.441984,0.00000015,620.6
