step,loss,lr,elapsed_sec
25,5.124226,0.00000038,8.4
50,4.483850,0.00000075,16.1
75,3.825012,0.00000113,23.8
100,3.280200,0.00000150,31.5
125,2.737603,0.00000150,39.3
150,2.289064,0.00000150,46.8
175,1.966459,0.00000149,54.2
200,1.750676,0.00000149,62.1
225,1.647963,0.00000149,69.7
250,1.600306,0.00000148,77.4
275,1.565592,0.00000147,84.8
300,1.564216,0.00000146,92.4
325,1.532761,0.00000145,100.0
350,1.516435,0.00000144,107.6
375,1.523067,0.00000143,115.3
400,1.500203,0.00000142,122.8
425,1.497073,0.00000140,130.3
450,1.495577,0.00000139,138.0
475,1.493098,0.00000137,145.6
500,1.486760,0.00000136,153.1
525,1.485179,0.00000134,161.3
550,1.472498,0.00000132,168.8
575,1.472075,0.00000130,176.2
600,1.472112,0.00000128,183.6
625,1.470761,0.00000126,191.1
650,1.463101,0.00000124,198.8
675,1.461295,0.00000122,206.5
700,1.460866,0.00000119,214.3
725,1.464155,0.00000117,221.8
750,1.460398,0.00000115,229.6
775,1.458840,0.00000112,237.4
800,1.459355,0.00000110,244.9
825,1.459751,0.00000107,252.5
850,1.460934,0.00000104,260.2
875,1.452682,0.00000102,267.7
900,1.451441,0.00000099,275.4
925,1.451724,0.00000096,283.0
950,1.445888,0.00000094,290.5
975,1.452370,0.00000091,298.2
1000,1.448638,0.00000088,305.9
1025,1.448396,0.00000085,314.8
1050,1.449777,0.00000083,322.5
1075,1.445798,0.00000080,330.0
1100,1.448605,0.00000077,337.4
1125,1.445279,0.00000074,345.3
1150,1.442104,0.00000071,353.0
1175,1.444393,0.00000069,360.8
1200,1.445633,0.00000066,368.2
1225,1.441394,0.00000063,375.9
1250,1.440714,0.00000061,383.6
1275,1.444480,0.00000058,391.1
1300,1.447124,0.00000055,398.9
1325,1.440790,0.00000053,406.6
1350,1.440648,0.00000050,414.3
1375,1.440672,0.00000048,422.2
1400,1.440820,0.00000046,429.8
1425,1.438197,0.00000043,437.7
1450,1.442973,0.00000041,445.4
1475,1.442780,0.00000039,453.1
1500,1.439570,0.00000037,460.7
1525,1.442350,0.00000035,468.7
1550,1.439346,0.00000033,476.5
1575,1.439530,0.00000031,484.2
1600,1.445191,0.00000029,491.9
1625,1.440164,0.00000028,499.5
1650,1.444057,0.00000026,507.2
1675,1.434662,0.00000025,515.1
1700,1.440607,0.00000023,522.7
1725,1.439476,0.00000022,530.4
1750,1.439734,0.00000021,538.0
1775,1.436637,0.00000020,545.6
1800,1.440465,0.00000019,553.3
1825,1.440304,0.00000018,561.0
1850,1.436707,0.00000017,568.9
1875,1.437634,0.00000016,576.7
1900,1.434367,0.00000016,584.3
1925,1.438636,0.00000016,591.9
1950,1.440088,0.00000015,599.4
1975,1.437966,0.00000015,607.2
2000,1.434882,0.00000015,614.7
