step,loss,lr,elapsed_sec
25,7.480147,0.00000038,7.5
50,6.703034,0.00000075,14.3
75,6.082815,0.00000113,21.0
100,5.418847,0.00000150,27.9
125,4.772833,0.00000150,34.9
150,4.104619,0.00000150,41.8
175,3.540072,0.00000149,48.4
200,2.970490,0.00000149,55.4
225,2.515098,0.00000149,62.3
250,2.245020,0.00000148,69.4
275,2.012986,0.00000147,76.5
300,1.873706,0.00000146,83.5
325,1.780512,0.00000145,90.6
350,1.721901,0.00000144,97.7
375,1.676347,0.00000143,104.8
400,1.665551,0.00000142,111.8
425,1.632924,0.00000140,118.9
450,1.610422,0.00000139,126.0
475,1.604893,0.00000137,133.0
500,1.580542,0.00000136,140.1
525,1.578809,0.00000134,147.3
550,1.567548,0.00000132,154.4
575,1.564561,0.00000130,161.4
600,1.557733,0.00000128,168.3
625,1.551121,0.00000126,175.2
650,1.543157,0.00000124,182.3
675,1.535601,0.00000122,189.4
700,1.532598,0.00000119,196.4
725,1.529960,0.00000117,203.2
750,1.530303,0.00000115,209.7
775,1.514411,0.00000112,216.1
800,1.516838,0.00000110,222.4
825,1.515753,0.00000107,229.5
850,1.508270,0.00000104,236.4
875,1.507629,0.00000102,243.5
900,1.508698,0.00000099,250.5
925,1.504200,0.00000096,257.6
950,1.495950,0.00000094,264.7
975,1.494882,0.00000091,271.6
1000,1.490824,0.00000088,278.8
1025,1.494194,0.00000085,286.8
1050,1.492531,0.00000083,293.6
1075,1.486151,0.00000080,300.6
1100,1.490668,0.00000077,307.7
1125,1.489936,0.00000074,314.9
1150,1.483316,0.00000071,322.0
1175,1.482655,0.00000069,328.9
1200,1.482085,0.00000066,335.8
1225,1.479621,0.00000063,342.9
1250,1.477260,0.00000061,350.0
1275,1.476645,0.00000058,356.9
1300,1.480829,0.00000055,363.9
1325,1.480327,0.00000053,370.9
1350,1.475955,0.00000050,377.8
1375,1.479055,0.00000048,384.8
1400,1.473607,0.00000046,391.8
1425,1.472175,0.00000043,398.7
1450,1.469253,0.00000041,405.7
1475,1.475285,0.00000039,412.8
1500,1.477148,0.00000037,420.1
1525,1.473671,0.00000035,426.6
1550,1.472454,0.00000033,433.3
1575,1.472022,0.00000031,440.2
1600,1.470715,0.00000029,447.0
1625,1.468935,0.00000028,453.6
1650,1.469064,0.00000026,460.6
1675,1.471180,0.00000025,467.5
1700,1.468682,0.00000023,474.6
1725,1.468042,0.00000022,481.6
1750,1.469162,0.00000021,488.9
1775,1.465651,0.00000020,495.9
1800,1.469899,0.00000019,502.8
1825,1.466306,0.00000018,509.9
1850,1.468843,0.00000017,517.1
1875,1.471581,0.00000016,524.1
1900,1.464226,0.00000016,531.3
1925,1.469687,0.00000016,538.4
1950,1.464507,0.00000015,545.4
1975,1.468606,0.00000015,552.6
2000,1.468799,0.00000015,559.6
