step,loss,lr,elapsed_sec
25,5.250562,0.00000075,8.3
50,4.344702,0.00000150,15.9
75,3.464067,0.00000225,23.9
100,2.576404,0.00000300,31.6
125,1.942688,0.00000300,39.6
150,1.721314,0.00000300,47.5
175,1.618426,0.00000299,55.6
200,1.575153,0.00000298,63.6
225,1.544579,0.00000297,71.5
250,1.537204,0.00000296,79.1
275,1.511063,0.00000294,86.7
300,1.502512,0.00000293,94.5
325,1.487874,0.00000291,102.3
350,1.482958,0.00000289,110.2
375,1.481055,0.00000286,117.9
400,1.472046,0.00000284,125.6
425,1.474263,0.00000281,133.2
450,1.466030,0.00000278,141.0
475,1.465924,0.00000275,148.8
500,1.452675,0.00000272,156.8
525,1.454757,0.00000268,165.1
550,1.456441,0.00000264,173.1
575,1.451117,0.00000260,181.0
600,1.447868,0.00000256,189.0
625,1.447043,0.00000252,196.7
650,1.448805,0.00000248,204.5
675,1.446411,0.00000243,212.3
700,1.439867,0.00000239,220.0
725,1.442444,0.00000234,227.6
750,1.444193,0.00000229,235.6
775,1.439354,0.00000224,243.3
800,1.434736,0.00000219,251.0
825,1.434301,0.00000214,258.8
850,1.435007,0.00000209,266.3
875,1.436198,0.00000204,274.0
900,1.437659,0.00000198,282.0
925,1.437873,0.00000193,290.0
950,1.432441,0.00000187,298.1
975,1.434044,0.00000182,305.9
1000,1.434597,0.00000176,313.7
1025,1.430957,0.00000171,322.8
1050,1.431470,0.00000165,330.6
1075,1.429179,0.00000159,338.5
1100,1.429350,0.00000154,346.5
1125,1.432185,0.00000148,354.3
1150,1.428657,0.00000143,362.2
1175,1.429098,0.00000137,370.3
1200,1.427088,0.00000132,378.0
1225,1.426408,0.00000126,385.9
1250,1.426819,0.00000121,393.9
1275,1.427897,0.00000116,401.8
1300,1.427785,0.00000111,409.8
1325,1.425622,0.00000106,417.7
1350,1.426388,0.00000101,425.4
1375,1.424185,0.00000096,433.1
1400,1.423631,0.00000091,441.0
1425,1.426643,0.00000087,448.9
1450,1.428764,0.00000082,456.8
1475,1.425041,0.00000078,464.9
1500,1.425558,0.00000074,472.6
1525,1.421693,0.00000070,480.9
1550,1.423374,0.00000066,488.7
1575,1.423990,0.00000062,496.4
1600,1.420962,0.00000058,504.1
1625,1.425374,0.00000055,511.9
1650,1.422100,0.00000052,520.1
1675,1.422918,0.00000049,528.0
1700,1.422556,0.00000046,536.0
1725,1.420727,0.00000044,544.0
1750,1.420001,0.00000041,552.0
1775,1.421946,0.00000039,559.7
1800,1.421873,0.00000037,567.0
1825,1.423297,0.00000036,574.7
1850,1.421704,0.00000034,582.7
1875,1.426293,0.00000033,590.4
1900,1.421952,0.00000032,598.0
1925,1.419270,0.00000031,606.0
1950,1.419508,0.00000030,613.9
1975,1.420791,0.00000030,621.9
2000,1.419495,0.00000030,629.8
