step,loss,lr,elapsed_sec
25,4.595835,0.00000075,8.1
50,3.678568,0.00000150,16.0
75,2.772921,0.00000225,24.0
100,1.998209,0.00000300,31.5
125,1.658674,0.00000300,39.1
150,1.545717,0.00000300,46.6
175,1.510040,0.00000299,54.4
200,1.488846,0.00000298,62.1
225,1.467118,0.00000297,69.8
250,1.465597,0.00000296,77.5
275,1.464653,0.00000294,85.1
300,1.458296,0.00000293,92.6
325,1.451827,0.00000291,100.3
350,1.448793,0.00000289,108.1
375,1.443814,0.00000286,115.8
400,1.441136,0.00000284,123.6
425,1.439100,0.00000281,131.4
450,1.436014,0.00000278,139.3
475,1.434605,0.00000275,147.3
500,1.435431,0.00000272,155.1
525,1.433598,0.00000268,163.1
550,1.431464,0.00000264,170.9
575,1.428912,0.00000260,178.4
600,1.430402,0.00000256,186.1
625,1.426033,0.00000252,193.6
650,1.426376,0.00000248,201.3
675,1.426447,0.00000243,208.9
700,1.424727,0.00000239,216.1
725,1.422556,0.00000234,223.7
750,1.418714,0.00000229,231.2
775,1.423051,0.00000224,239.1
800,1.424470,0.00000219,246.9
825,1.420163,0.00000214,254.7
850,1.422076,0.00000209,262.2
875,1.418565,0.00000204,270.1
900,1.417676,0.00000198,277.6
925,1.417079,0.00000193,285.3
950,1.415929,0.00000187,293.0
975,1.416593,0.00000182,300.6
1000,1.417649,0.00000176,308.3
1025,1.415390,0.00000171,317.3
1050,1.418143,0.00000165,325.4
1075,1.414250,0.00000159,333.2
1100,1.417024,0.00000154,340.8
1125,1.414090,0.00000148,348.7
1150,1.414580,0.00000143,356.7
1175,1.413746,0.00000137,364.6
1200,1.413882,0.00000132,372.3
1225,1.417616,0.00000126,380.0
1250,1.413208,0.00000121,387.7
1275,1.412756,0.00000116,395.6
1300,1.413289,0.00000111,403.5
1325,1.412981,0.00000106,411.2
1350,1.412849,0.00000101,419.0
1375,1.415089,0.00000096,426.7
1400,1.411290,0.00000091,434.3
1425,1.412087,0.00000087,442.0
1450,1.414452,0.00000082,449.6
1475,1.413776,0.00000078,457.5
1500,1.411288,0.00000074,465.4
1525,1.410738,0.00000070,473.2
1550,1.409605,0.00000066,480.9
1575,1.411957,0.00000062,488.7
1600,1.410040,0.00000058,496.4
1625,1.410778,0.00000055,503.9
1650,1.412519,0.00000052,511.6
1675,1.411190,0.00000049,519.4
1700,1.412727,0.00000046,527.2
1725,1.409987,0.00000044,534.8
1750,1.409441,0.00000041,542.6
1775,1.409453,0.00000039,550.3
1800,1.411967,0.00000037,558.0
1825,1.409974,0.00000036,565.7
1850,1.409847,0.00000034,573.3
1875,1.410841,0.00000033,581.2
1900,1.409307,0.00000032,588.8
1925,1.411373,0.00000031,596.6
1950,1.409148,0.00000030,604.2
1975,1.407248,0.00000030,612.0
2000,1.410590,0.00000030,619.8
