step,loss,lr,elapsed_sec
25,12.334422,0.00000075,7.6
25,5.031549,0.00000075,8.6
50,4.102524,0.00000150,16.5
75,3.176319,0.00000225,24.4
100,2.239958,0.00000300,32.2
125,1.696741,0.00000300,40.1
150,1.558188,0.00000300,47.9
175,1.514040,0.00000299,55.8
200,1.494085,0.00000298,63.5
225,1.485275,0.00000297,71.3
250,1.478440,0.00000296,79.0
275,1.468628,0.00000294,86.6
300,1.463810,0.00000293,94.2
325,1.457252,0.00000291,102.1
350,1.453089,0.00000289,109.8
375,1.449960,0.00000286,117.7
400,1.447138,0.00000284,125.8
425,1.444670,0.00000281,133.8
450,1.440483,0.00000278,141.6
475,1.436925,0.00000275,149.3
500,1.440258,0.00000272,157.1
525,1.431397,0.00000268,165.2
550,1.429937,0.00000264,173.0
575,1.428879,0.00000260,181.0
600,1.425578,0.00000256,188.7
625,1.425231,0.00000252,196.4
650,1.425021,0.00000248,204.0
675,1.431630,0.00000243,211.6
700,1.421549,0.00000239,219.2
725,1.424743,0.00000234,226.8
750,1.424514,0.00000229,234.6
775,1.422276,0.00000224,242.6
800,1.424041,0.00000219,250.3
825,1.425571,0.00000214,258.1
850,1.420050,0.00000209,265.8
875,1.420812,0.00000204,273.5
900,1.420835,0.00000198,281.3
925,1.419885,0.00000193,288.8
950,1.420913,0.00000187,296.5
975,1.419906,0.00000182,304.3
1000,1.418600,0.00000176,311.9
1025,1.416854,0.00000171,320.8
1050,1.416262,0.00000165,328.8
1075,1.417356,0.00000159,336.6
1100,1.415583,0.00000154,344.4
1125,1.415883,0.00000148,352.1
1150,1.412418,0.00000143,359.9
1175,1.417938,0.00000137,367.5
1200,1.415227,0.00000132,375.5
1225,1.413470,0.00000126,383.3
1250,1.415150,0.00000121,391.1
1275,1.414389,0.00000116,399.0
1300,1.414317,0.00000111,406.8
1325,1.410961,0.00000106,414.7
1350,1.412320,0.00000101,422.8
1375,1.413030,0.00000096,430.6
1400,1.413632,0.00000091,438.3
1425,1.415473,0.00000087,446.0
1450,1.412192,0.00000082,454.1
1475,1.413563,0.00000078,462.1
1500,1.412067,0.00000074,469.9
1525,1.412072,0.00000070,478.0
1550,1.414118,0.00000066,485.6
1575,1.413928,0.00000062,493.5
1600,1.412469,0.00000058,501.2
1625,1.411551,0.00000055,509.1
1650,1.411546,0.00000052,517.0
1675,1.410553,0.00000049,525.0
1700,1.408889,0.00000046,532.7
1725,1.413047,0.00000044,540.7
1750,1.408149,0.00000041,548.5
1775,1.411112,0.00000039,556.4
1800,1.412277,0.00000037,564.3
1825,1.410943,0.00000036,572.1
1850,1.409626,0.00000034,579.8
1875,1.412288,0.00000033,587.2
1900,1.408520,0.00000032,595.1
1925,1.410133,0.00000031,602.8
1950,1.414090,0.00000030,610.7
1975,1.412569,0.00000030,618.4
2000,1.411902,0.00000030,626.1
