step,loss,lr,elapsed_sec
25,7.343441,0.00000075,8.1
50,6.025991,0.00000150,15.8
75,4.902764,0.00000225,23.7
100,3.629655,0.00000300,31.4
125,2.491175,0.00000300,38.9
150,1.901044,0.00000300,46.5
175,1.698853,0.00000299,54.2
200,1.626406,0.00000298,61.6
225,1.565487,0.00000297,69.4
250,1.553954,0.00000296,77.2
275,1.521505,0.00000294,85.1
300,1.495944,0.00000293,92.9
325,1.494487,0.00000291,100.6
350,1.487295,0.00000289,108.1
375,1.480744,0.00000286,115.5
400,1.476233,0.00000284,122.9
425,1.465311,0.00000281,130.3
450,1.463156,0.00000278,137.7
475,1.461978,0.00000275,145.1
500,1.458419,0.00000272,152.7
525,1.451277,0.00000268,160.2
550,1.456319,0.00000264,167.4
575,1.446447,0.00000260,174.7
600,1.447544,0.00000256,181.9
625,1.443430,0.00000252,189.5
650,1.448832,0.00000248,197.1
675,1.436514,0.00000243,205.1
700,1.441713,0.00000239,212.6
725,1.436494,0.00000234,220.5
750,1.437678,0.00000229,228.1
775,1.435629,0.00000224,235.7
800,1.436701,0.00000219,243.4
825,1.433501,0.00000214,251.1
850,1.435285,0.00000209,258.5
875,1.430671,0.00000204,266.2
900,1.429260,0.00000198,274.0
925,1.428377,0.00000193,281.7
950,1.430907,0.00000187,289.3
975,1.429921,0.00000182,297.0
1000,1.430045,0.00000176,304.6
1025,1.425944,0.00000171,313.2
1050,1.426352,0.00000165,320.9
1075,1.430460,0.00000159,328.6
1100,1.426665,0.00000154,336.3
1125,1.423871,0.00000148,344.0
1150,1.424641,0.00000143,351.8
1175,1.425857,0.00000137,359.4
1200,1.425621,0.00000132,367.0
1225,1.424683,0.00000126,374.5
1250,1.425672,0.00000121,382.2
1275,1.423465,0.00000116,390.0
1300,1.426152,0.00000111,397.7
1325,1.423058,0.00000106,405.1
1350,1.421322,0.00000101,412.7
1375,1.424687,0.00000096,420.2
1400,1.425061,0.00000091,427.9
1425,1.423764,0.00000087,435.9
1450,1.424275,0.00000082,443.5
1475,1.419912,0.00000078,451.2
1500,1.417304,0.00000074,458.8
1525,1.419267,0.00000070,466.3
1550,1.421907,0.00000066,473.7
1575,1.418657,0.00000062,481.2
1600,1.419754,0.00000058,489.0
1625,1.423526,0.00000055,496.4
1650,1.418515,0.00000052,504.2
1675,1.420619,0.00000049,511.9
1700,1.419878,0.00000046,519.7
1725,1.420457,0.00000044,527.3
1750,1.419578,0.00000041,534.9
1775,1.418998,0.00000039,542.6
1800,1.419497,0.00000037,550.3
1825,1.418423,0.00000036,558.0
1850,1.417282,0.00000034,565.9
1875,1.418191,0.00000033,573.8
1900,1.419544,0.00000032,581.6
1925,1.419934,0.00000031,589.2
1950,1.419025,0.00000030,596.9
1975,1.417560,0.00000030,604.8
2000,1.417005,0.00000030,612.5
