step,loss,lr,elapsed_sec
25,5.679972,0.00000075,8.2
50,4.416281,0.00000150,15.9
75,3.480971,0.00000225,23.6
100,2.683292,0.00000300,31.1
125,1.990510,0.00000300,38.7
150,1.677632,0.00000300,46.1
175,1.579371,0.00000299,53.6
200,1.530594,0.00000298,61.1
225,1.507360,0.00000297,68.7
250,1.491988,0.00000296,76.5
275,1.479600,0.00000294,83.9
300,1.479087,0.00000293,91.6
325,1.468576,0.00000291,99.1
350,1.459549,0.00000289,106.7
375,1.459741,0.00000286,114.2
400,1.453811,0.00000284,121.7
425,1.449824,0.00000281,129.3
450,1.451662,0.00000278,136.7
475,1.443890,0.00000275,144.1
500,1.441353,0.00000272,151.6
525,1.444492,0.00000268,159.5
550,1.439925,0.00000264,167.3
575,1.439242,0.00000260,174.7
600,1.438542,0.00000256,182.1
625,1.432902,0.00000252,189.3
650,1.435839,0.00000248,196.8
675,1.433232,0.00000243,204.1
700,1.431922,0.00000239,211.6
725,1.429701,0.00000234,218.8
750,1.427267,0.00000229,226.1
775,1.427469,0.00000224,233.7
800,1.426265,0.00000219,241.3
825,1.427412,0.00000214,248.8
850,1.426878,0.00000209,256.5
875,1.428072,0.00000204,264.1
900,1.427120,0.00000198,271.6
925,1.422886,0.00000193,279.1
950,1.423660,0.00000187,286.5
975,1.420759,0.00000182,294.0
1000,1.423900,0.00000176,301.3
1025,1.424487,0.00000171,310.1
1050,1.422195,0.00000165,317.5
1075,1.420910,0.00000159,325.3
1100,1.421789,0.00000154,332.7
1125,1.419541,0.00000148,340.4
1150,1.419520,0.00000143,348.0
1175,1.419998,0.00000137,355.5
1200,1.419340,0.00000132,363.0
1225,1.417576,0.00000126,370.6
1250,1.419150,0.00000121,378.3
1275,1.419643,0.00000116,385.9
1300,1.417063,0.00000111,393.4
1325,1.417333,0.00000106,400.9
1350,1.418706,0.00000101,408.4
1375,1.416969,0.00000096,415.7
1400,1.416413,0.00000091,423.4
1425,1.417408,0.00000087,431.3
1450,1.415149,0.00000082,438.8
1475,1.417914,0.00000078,446.7
1500,1.416047,0.00000074,454.3
1525,1.418557,0.00000070,462.2
1550,1.415830,0.00000066,469.8
1575,1.416904,0.00000062,477.5
1600,1.415588,0.00000058,485.2
1625,1.415641,0.00000055,492.7
1650,1.412150,0.00000052,500.1
1675,1.416384,0.00000049,507.6
1700,1.415704,0.00000046,515.1
1725,1.415088,0.00000044,522.4
1750,1.415024,0.00000041,529.9
1775,1.415695,0.00000039,537.5
1800,1.415452,0.00000037,545.0
1825,1.418116,0.00000036,552.5
1850,1.416027,0.00000034,560.0
1875,1.413374,0.00000033,567.6
1900,1.414052,0.00000032,575.3
1925,1.413875,0.00000031,583.0
1950,1.413668,0.00000030,590.7
1975,1.414339,0.00000030,598.4
2000,1.415038,0.00000030,606.1
