step,loss,lr,elapsed_sec
25,7.381645,0.00000075,8.3
50,6.284145,0.00000150,16.2
75,5.327664,0.00000225,24.1
100,4.204321,0.00000300,31.4
125,3.097626,0.00000300,38.2
150,2.294486,0.00000300,45.2
175,1.900038,0.00000299,52.4
200,1.714002,0.00000298,60.3
225,1.641997,0.00000297,68.2
250,1.589152,0.00000296,76.0
275,1.544891,0.00000294,83.8
300,1.539984,0.00000293,91.6
325,1.527850,0.00000291,99.5
350,1.511577,0.00000289,106.8
375,1.495616,0.00000286,114.6
400,1.488609,0.00000284,122.4
425,1.483195,0.00000281,130.1
450,1.476152,0.00000278,137.8
475,1.480758,0.00000275,145.5
500,1.472167,0.00000272,153.3
525,1.464596,0.00000268,160.9
550,1.464939,0.00000264,168.8
575,1.461177,0.00000260,176.6
600,1.457348,0.00000256,184.4
625,1.456691,0.00000252,192.2
650,1.454058,0.00000248,200.0
675,1.450219,0.00000243,207.8
700,1.448432,0.00000239,215.7
725,1.448800,0.00000234,223.6
750,1.452975,0.00000229,231.5
775,1.445723,0.00000224,239.6
800,1.444071,0.00000219,247.4
825,1.439890,0.00000214,255.4
850,1.443422,0.00000209,263.2
875,1.439166,0.00000204,271.1
900,1.439898,0.00000198,279.1
925,1.441209,0.00000193,286.8
950,1.437812,0.00000187,294.7
975,1.438539,0.00000182,302.5
1000,1.435541,0.00000176,310.3
1025,1.436103,0.00000171,319.2
1050,1.433916,0.00000165,327.1
1075,1.433380,0.00000159,334.7
1100,1.434098,0.00000154,342.6
1125,1.432784,0.00000148,350.4
1150,1.433841,0.00000143,358.4
1175,1.431713,0.00000137,366.2
1200,1.432229,0.00000132,374.0
1225,1.434465,0.00000126,381.9
1250,1.431099,0.00000121,389.7
1275,1.430163,0.00000116,397.7
1300,1.427942,0.00000111,405.5
1325,1.429533,0.00000106,413.3
1350,1.428684,0.00000101,421.2
1375,1.427641,0.00000096,429.1
1400,1.426434,0.00000091,437.0
1425,1.427012,0.00000087,444.7
1450,1.426443,0.00000082,452.5
1475,1.425297,0.00000078,460.6
1500,1.428245,0.00000074,468.4
1525,1.423547,0.00000070,476.5
1550,1.426317,0.00000066,484.3
1575,1.425156,0.00000062,492.1
1600,1.427403,0.00000058,499.8
1625,1.426507,0.00000055,507.6
1650,1.427216,0.00000052,515.4
1675,1.426418,0.00000049,523.2
1700,1.428425,0.00000046,530.8
1725,1.425949,0.00000044,538.7
1750,1.428576,0.00000041,546.6
1775,1.425539,0.00000039,554.6
1800,1.424775,0.00000037,562.6
1825,1.426614,0.00000036,570.5
1850,1.425170,0.00000034,578.2
1875,1.426359,0.00000033,586.1
1900,1.424452,0.00000032,594.1
1925,1.424405,0.00000031,602.0
1950,1.424304,0.00000030,609.8
1975,1.425429,0.00000030,617.8
2000,1.423546,0.00000030,625.7
