step,loss,lr,elapsed_sec
25,4.929334,0.00000075,8.3
50,3.982906,0.00000150,16.1
75,3.039541,0.00000225,24.1
100,2.153263,0.00000300,32.1
125,1.646193,0.00000300,40.0
150,1.538661,0.00000300,47.7
175,1.495477,0.00000299,55.6
200,1.474017,0.00000298,63.5
225,1.467890,0.00000297,71.5
250,1.460797,0.00000296,79.4
275,1.450255,0.00000294,87.6
300,1.444665,0.00000293,95.4
325,1.447245,0.00000291,103.4
350,1.438182,0.00000289,111.3
375,1.438455,0.00000286,119.2
400,1.434121,0.00000284,127.2
425,1.433699,0.00000281,135.0
450,1.431194,0.00000278,142.9
475,1.428915,0.00000275,150.8
500,1.423649,0.00000272,158.6
525,1.428179,0.00000268,166.8
550,1.427834,0.00000264,174.5
575,1.423224,0.00000260,182.1
600,1.422042,0.00000256,190.1
625,1.422463,0.00000252,197.9
650,1.420879,0.00000248,205.6
675,1.420833,0.00000243,213.3
700,1.418713,0.00000239,221.2
725,1.416154,0.00000234,229.1
750,1.416506,0.00000229,237.0
775,1.420073,0.00000224,244.9
800,1.416213,0.00000219,252.7
825,1.417510,0.00000214,260.7
850,1.415551,0.00000209,268.5
875,1.414143,0.00000204,276.3
900,1.417391,0.00000198,284.0
925,1.412073,0.00000193,291.8
950,1.412548,0.00000187,299.6
975,1.412910,0.00000182,307.4
1000,1.413848,0.00000176,315.4
1025,1.411799,0.00000171,324.4
1050,1.414880,0.00000165,332.3
1075,1.413031,0.00000159,340.4
1100,1.414214,0.00000154,348.5
1125,1.411958,0.00000148,356.7
1150,1.411705,0.00000143,364.8
1175,1.410615,0.00000137,372.7
1200,1.409381,0.00000132,380.8
1225,1.409980,0.00000126,388.6
1250,1.410979,0.00000121,396.7
1275,1.411162,0.00000116,404.7
1300,1.409216,0.00000111,412.6
1325,1.409613,0.00000106,420.4
1350,1.410064,0.00000101,428.0
1375,1.411606,0.00000096,435.8
1400,1.408355,0.00000091,443.8
1425,1.411256,0.00000087,451.8
1450,1.411778,0.00000082,459.8
1475,1.408058,0.00000078,467.6
1500,1.409459,0.00000074,475.6
1525,1.408782,0.00000070,483.7
1550,1.407842,0.00000066,491.7
1575,1.407122,0.00000062,499.4
1600,1.407077,0.00000058,507.5
1625,1.407294,0.00000055,515.4
1650,1.409091,0.00000052,523.5
1675,1.408881,0.00000049,531.3
1700,1.405840,0.00000046,539.1
1725,1.407282,0.00000044,547.0
1750,1.404684,0.00000041,555.0
1775,1.407542,0.00000039,563.1
1800,1.406377,0.00000037,571.0
1825,1.408227,0.00000036,579.0
1850,1.407501,0.00000034,587.1
1875,1.407009,0.00000033,595.2
1900,1.408934,0.00000032,603.4
1925,1.408138,0.00000031,611.5
1950,1.407265,0.00000030,619.5
1975,1.407638,0.00000030,627.6
2000,1.407280,0.00000030,635.5
