step,loss,lr,elapsed_sec
25,4.648382,0.00000075,9.3
50,3.884430,0.00000150,18.0
75,3.072121,0.00000225,26.8
100,2.237867,0.00000300,35.8
125,1.705100,0.00000300,44.6
150,1.584846,0.00000300,53.5
175,1.514334,0.00000299,62.4
200,1.498404,0.00000298,71.4
225,1.488788,0.00000297,80.2
250,1.469672,0.00000296,88.9
275,1.461441,0.00000294,97.6
300,1.450217,0.00000293,106.3
325,1.448669,0.00000291,115.2
350,1.441801,0.00000289,124.0
375,1.435061,0.00000286,132.8
400,1.433149,0.00000284,141.6
425,1.430333,0.00000281,150.3
450,1.429910,0.00000278,159.0
475,1.428109,0.00000275,168.0
500,1.425572,0.00000272,176.7
525,1.423561,0.00000268,185.8
550,1.420098,0.00000264,194.6
575,1.422662,0.00000260,203.5
600,1.420636,0.00000256,212.2
625,1.420349,0.00000252,221.0
650,1.418001,0.00000248,229.8
675,1.420599,0.00000243,238.6
700,1.415919,0.00000239,247.6
725,1.415552,0.00000234,256.5
750,1.417369,0.00000229,265.3
775,1.414886,0.00000224,274.2
800,1.412917,0.00000219,283.1
825,1.412515,0.00000214,291.9
850,1.413287,0.00000209,300.7
875,1.411552,0.00000204,309.5
900,1.411026,0.00000198,318.4
925,1.411908,0.00000193,327.1
950,1.410637,0.00000187,335.9
975,1.409548,0.00000182,344.7
1000,1.411518,0.00000176,353.4
1025,1.412477,0.00000171,363.5
1050,1.411157,0.00000165,372.2
1075,1.408129,0.00000159,381.0
1100,1.410880,0.00000154,389.6
1125,1.407221,0.00000148,398.4
1150,1.406806,0.00000143,407.3
1175,1.408058,0.00000137,416.1
1200,1.408236,0.00000132,424.9
1225,1.407050,0.00000126,433.9
1250,1.408778,0.00000121,442.6
1275,1.406951,0.00000116,451.5
1300,1.409250,0.00000111,460.3
1325,1.406292,0.00000106,469.2
1350,1.407595,0.00000101,478.0
1375,1.405622,0.00000096,487.0
1400,1.405737,0.00000091,495.8
1425,1.404898,0.00000087,504.7
1450,1.406418,0.00000082,513.6
1475,1.404671,0.00000078,522.5
1500,1.404849,0.00000074,531.3
1525,1.407397,0.00000070,540.7
1550,1.407887,0.00000066,549.6
1575,1.406249,0.00000062,558.8
1600,1.404004,0.00000058,567.9
1625,1.404878,0.00000055,576.9
1650,1.405302,0.00000052,585.9
1675,1.404758,0.00000049,595.0
1700,1.405482,0.00000046,603.9
1725,1.404327,0.00000044,612.9
1750,1.404683,0.00000041,621.7
1775,1.406228,0.00000039,630.7
1800,1.405752,0.00000037,639.5
1825,1.406608,0.00000036,648.4
1850,1.405257,0.00000034,657.3
1875,1.404743,0.00000033,666.4
1900,1.404685,0.00000032,675.3
1925,1.404312,0.00000031,684.3
1950,1.406090,0.00000030,693.1
1975,1.403130,0.00000030,702.1
2000,1.404137,0.00000030,711.0
