step,loss,lr,elapsed_sec
25,5.259362,0.00000038,9.9
50,5.370686,0.00000075,19.4
75,5.470999,0.00000113,28.6
100,5.180004,0.00000150,38.0
125,4.808435,0.00000188,47.3
150,5.155672,0.00000225,56.7
175,4.968303,0.00000263,66.2
200,4.591366,0.00000300,75.2
225,4.857961,0.00000300,84.2
250,4.324445,0.00000300,93.5
275,4.046736,0.00000300,102.4
300,3.926803,0.00000300,111.9
325,3.689425,0.00000300,121.3
350,4.214336,0.00000300,130.6
375,3.725162,0.00000300,139.8
400,3.732304,0.00000300,149.3
425,3.893802,0.00000300,158.7
450,4.511888,0.00000300,168.1
475,3.516921,0.00000299,177.5
500,4.419982,0.00000299,187.0
525,3.655073,0.00000299,197.2
550,3.986737,0.00000299,206.7
575,4.172591,0.00000299,216.3
600,4.348392,0.00000299,225.5
625,4.473466,0.00000299,234.9
650,3.825344,0.00000299,244.3
675,3.883745,0.00000298,253.6
700,4.090954,0.00000298,262.7
725,2.905467,0.00000298,271.8
750,3.742164,0.00000298,281.0
775,3.310212,0.00000298,290.0
800,3.290762,0.00000298,299.0
825,3.284207,0.00000297,308.1
850,3.283498,0.00000297,317.5
875,3.703485,0.00000297,326.8
900,3.256585,0.00000297,335.6
925,2.554936,0.00000296,344.8
950,3.912715,0.00000296,354.0
975,3.641688,0.00000296,362.9
1000,3.052629,0.00000296,371.9
1025,3.665129,0.00000295,382.6
1050,3.780743,0.00000295,391.9
1075,2.603390,0.00000295,401.4
1100,3.095403,0.00000294,410.3
1125,3.560477,0.00000294,419.2
1150,3.806428,0.00000294,428.3
1175,2.982125,0.00000293,437.5
1200,3.947575,0.00000293,446.7
1225,2.792389,0.00000293,455.9
1250,3.823507,0.00000292,465.2
1275,3.002639,0.00000292,474.5
1300,3.911836,0.00000292,483.9
1325,2.995998,0.00000291,493.4
1350,2.622039,0.00000291,502.6
1375,3.325509,0.00000291,512.1
1400,3.005451,0.00000290,521.4
1425,2.827267,0.00000290,530.8
1450,2.515920,0.00000289,540.5
1475,2.384846,0.00000289,549.9
1500,3.500677,0.00000288,559.4
1525,3.347655,0.00000288,569.3
1550,2.836047,0.00000288,578.8
1575,3.277203,0.00000287,588.3
1600,3.708348,0.00000287,597.2
1625,3.070127,0.00000286,606.1
1650,3.613864,0.00000286,615.3
1675,2.211083,0.00000285,624.7
1700,3.847426,0.00000285,634.1
1725,2.559916,0.00000284,643.8
1750,3.536196,0.00000284,653.2
1775,3.154123,0.00000283,662.6
1800,2.965209,0.00000283,672.1
1825,3.824067,0.00000282,681.6
1850,3.495919,0.00000282,690.8
1875,2.699767,0.00000281,700.1
1900,2.794148,0.00000280,709.5
1925,3.075115,0.00000280,718.7
1950,2.717855,0.00000279,728.2
1975,2.987143,0.00000279,737.6
2000,2.712352,0.00000278,747.0
2025,2.975404,0.00000278,758.4
2050,2.616843,0.00000277,767.9
2075,3.383633,0.00000276,777.3
2100,3.260468,0.00000276,786.7
2125,3.060451,0.00000275,796.2
2150,3.225637,0.00000274,805.6
2175,3.268930,0.00000274,815.0
2200,3.161226,0.00000273,824.4
2225,2.222033,0.00000273,833.8
2250,2.834488,0.00000272,843.3
2275,2.881385,0.00000271,852.6
2300,2.974673,0.00000271,861.9
2325,2.739779,0.00000270,871.3
2350,2.636919,0.00000269,880.7
2375,2.010888,0.00000268,890.0
2400,3.346748,0.00000268,899.1
2425,3.341601,0.00000267,908.3
2450,2.022255,0.00000266,917.7
2475,2.860577,0.00000266,927.0
2500,2.745600,0.00000265,936.4
2525,2.981376,0.00000264,946.9
2550,2.361101,0.00000263,955.8
2575,2.801143,0.00000263,964.9
2600,2.151503,0.00000262,974.3
2625,1.805215,0.00000261,983.7
2650,3.242699,0.00000260,992.7
2675,3.122062,0.00000260,1001.6
2700,2.433674,0.00000259,1011.0
2725,2.288796,0.00000258,1020.5
2750,2.433777,0.00000257,1030.0
2775,3.406445,0.00000257,1039.1
2800,2.602968,0.00000256,1048.4
2825,2.634641,0.00000255,1057.8
2850,2.638178,0.00000254,1067.2
2875,2.473781,0.00000253,1076.5
2900,2.378510,0.00000253,1085.3
2925,3.208652,0.00000252,1094.1
2950,2.595945,0.00000251,1102.8
2975,2.823676,0.00000250,1111.6
3000,3.306459,0.00000249,1120.4
3025,3.372932,0.00000248,1131.6
3050,2.399002,0.00000247,1140.9
3075,2.171793,0.00000247,1149.9
3100,2.379247,0.00000246,1159.1
3125,2.766099,0.00000245,1168.0
3150,2.938676,0.00000244,1177.4
3175,2.881632,0.00000243,1186.3
3200,2.678447,0.00000242,1195.2
3225,2.744481,0.00000241,1204.5
3250,2.194973,0.00000240,1213.8
3275,2.925945,0.00000240,1222.8
3300,2.178582,0.00000239,1231.9
3325,2.191534,0.00000238,1241.2
3350,1.939897,0.00000237,1250.1
3375,2.483815,0.00000236,1259.2
3400,2.740203,0.00000235,1268.6
3425,2.914191,0.00000234,1277.8
3450,2.348784,0.00000233,1287.1
3475,2.457441,0.00000232,1296.6
3500,2.837674,0.00000231,1306.2
3525,2.534864,0.00000230,1316.5
3550,2.200219,0.00000229,1325.8
3575,3.476671,0.00000228,1334.9
3600,3.158347,0.00000227,1344.4
3625,2.921169,0.00000226,1353.7
3650,3.164063,0.00000226,1362.9
3675,2.599297,0.00000225,1371.9
3700,2.059905,0.00000224,1381.2
3725,3.058788,0.00000223,1390.8
3750,2.659411,0.00000222,1399.8
3775,2.723778,0.00000221,1409.1
3800,3.282576,0.00000220,1418.4
3825,2.450368,0.00000219,1427.6
3850,2.778510,0.00000218,1437.1
3875,2.488098,0.00000217,1446.5
3900,2.209629,0.00000216,1455.7
3925,3.068983,0.00000215,1465.1
3950,2.028851,0.00000214,1474.2
3975,1.982573,0.00000213,1483.6
4000,2.252550,0.00000212,1493.2
4025,2.438933,0.00000211,1504.1
4050,2.474522,0.00000210,1513.2
4075,2.240413,0.00000209,1522.6
4100,2.313042,0.00000208,1531.4
4125,1.957061,0.00000207,1540.6
4150,2.671214,0.00000205,1549.9
4175,2.641984,0.00000204,1559.3
4200,2.880293,0.00000203,1568.7
4225,2.347186,0.00000202,1578.1
4250,2.644418,0.00000201,1587.4
4275,2.837949,0.00000200,1596.4
4300,2.708694,0.00000199,1606.1
4325,2.791601,0.00000198,1615.2
4350,2.345998,0.00000197,1624.0
4375,2.396137,0.00000196,1632.9
4400,2.292182,0.00000195,1641.7
4425,2.345585,0.00000194,1650.5
4450,2.903403,0.00000193,1659.3
4475,2.856662,0.00000192,1668.4
4500,2.179964,0.00000191,1677.8
4525,3.084436,0.00000190,1687.6
4550,2.436372,0.00000189,1696.4
4575,2.362112,0.00000188,1705.3
4600,2.878950,0.00000187,1714.6
4625,2.616078,0.00000185,1723.5
4650,2.578938,0.00000184,1732.4
4675,2.269387,0.00000183,1741.8
4700,2.241835,0.00000182,1751.4
4725,1.924918,0.00000181,1760.7
4750,2.456794,0.00000180,1769.5
4775,1.962429,0.00000179,1778.9
4800,2.474100,0.00000178,1788.0
4825,1.253545,0.00000177,1797.0
4850,2.524019,0.00000176,1806.1
4875,2.166222,0.00000175,1815.8
4900,2.675087,0.00000174,1825.2
4925,2.180199,0.00000173,1834.9
4950,2.618505,0.00000171,1844.5
4975,2.055912,0.00000170,1854.0
5000,2.033905,0.00000169,1863.1
5025,2.763144,0.00000168,1874.0
5050,2.364014,0.00000167,1882.9
5075,2.163623,0.00000166,1891.8
5100,3.059483,0.00000165,1900.6
5125,2.015201,0.00000164,1909.5
5150,2.309628,0.00000163,1918.9
5175,2.887096,0.00000162,1928.4
5200,2.720316,0.00000161,1937.8
5225,2.301416,0.00000160,1947.2
5250,1.862564,0.00000159,1956.7
5275,2.188599,0.00000157,1966.1
5300,2.318664,0.00000156,1975.6
5325,2.107062,0.00000155,1985.0
5350,2.759772,0.00000154,1994.4
5375,2.985902,0.00000153,2003.3
5400,1.947101,0.00000152,2012.1
5425,1.563344,0.00000151,2021.2
5450,2.822636,0.00000150,2030.9
5475,2.120695,0.00000149,2040.4
5500,1.667499,0.00000148,2049.7
5525,2.443886,0.00000147,2060.1
5550,2.184015,0.00000146,2069.7
5575,2.466574,0.00000145,2079.3
5600,2.540908,0.00000143,2088.5
5625,2.128658,0.00000142,2097.3
5650,2.717925,0.00000141,2106.5
5675,2.587141,0.00000140,2115.8
5700,1.926481,0.00000139,2125.0
5725,2.280352,0.00000138,2134.7
