step,loss,lr,elapsed_sec
25,2.143960,0.00000075,8.1
50,1.627275,0.00000150,15.8
75,1.446118,0.00000225,23.5
100,1.422120,0.00000300,31.3
125,1.415152,0.00000300,38.9
150,1.417088,0.00000300,46.8
175,1.409858,0.00000299,54.7
200,1.410350,0.00000298,62.4
225,1.409763,0.00000297,70.2
250,1.406710,0.00000296,78.1
275,1.409786,0.00000294,85.8
300,1.406153,0.00000293,93.5
325,1.405837,0.00000291,101.3
350,1.405623,0.00000289,109.2
375,1.401440,0.00000286,117.0
400,1.403650,0.00000284,124.8
425,1.402830,0.00000281,132.6
450,1.401177,0.00000278,140.3
475,1.402664,0.00000275,148.1
500,1.402910,0.00000272,155.9
525,1.400363,0.00000268,164.0
550,1.401686,0.00000264,171.7
575,1.402087,0.00000260,179.6
600,1.401346,0.00000256,187.6
625,1.400611,0.00000252,195.5
650,1.398858,0.00000248,203.2
675,1.398202,0.00000243,211.0
700,1.399223,0.00000239,218.7
725,1.400881,0.00000234,226.3
750,1.399815,0.00000229,233.8
775,1.398001,0.00000224,241.4
800,1.398384,0.00000219,249.1
825,1.401760,0.00000214,256.8
850,1.397482,0.00000209,264.6
875,1.397705,0.00000204,272.3
900,1.398874,0.00000198,279.8
925,1.397942,0.00000193,287.6
950,1.398398,0.00000187,295.3
975,1.396659,0.00000182,303.0
1000,1.398718,0.00000176,310.7
1025,1.397266,0.00000171,319.7
1050,1.395635,0.00000165,327.7
1075,1.396935,0.00000159,335.6
1100,1.398251,0.00000154,343.5
1125,1.396572,0.00000148,351.3
1150,1.396621,0.00000143,359.0
1175,1.396210,0.00000137,366.7
1200,1.396555,0.00000132,374.6
1225,1.397264,0.00000126,382.3
1250,1.396680,0.00000121,390.3
1275,1.397011,0.00000116,398.1
1300,1.397319,0.00000111,406.0
1325,1.396209,0.00000106,413.7
1350,1.395206,0.00000101,421.6
1375,1.397203,0.00000096,429.4
1400,1.396818,0.00000091,437.3
1425,1.395923,0.00000087,445.0
1450,1.394810,0.00000082,452.8
1475,1.396415,0.00000078,460.5
1500,1.395708,0.00000074,468.3
1525,1.394047,0.00000070,476.6
1550,1.394083,0.00000066,484.6
1575,1.397267,0.00000062,492.5
1600,1.395319,0.00000058,500.3
1625,1.394109,0.00000055,508.2
1650,1.394857,0.00000052,516.0
1675,1.395298,0.00000049,523.7
1700,1.395022,0.00000046,531.4
1725,1.394530,0.00000044,539.3
1750,1.395081,0.00000041,547.2
1775,1.394646,0.00000039,555.0
1800,1.394193,0.00000037,562.8
1825,1.393898,0.00000036,570.6
1850,1.394913,0.00000034,578.4
1875,1.395324,0.00000033,586.2
1900,1.395576,0.00000032,594.0
1925,1.391972,0.00000031,601.9
1950,1.395244,0.00000030,609.7
1975,1.395141,0.00000030,617.5
2000,1.394356,0.00000030,625.2
