step,loss,lr,elapsed_sec
25,4.866823,0.00000075,8.6
50,4.006922,0.00000150,16.5
75,3.222548,0.00000225,24.2
100,2.283853,0.00000300,32.1
125,1.701374,0.00000300,40.0
150,1.557548,0.00000300,47.9
175,1.501350,0.00000299,55.9
200,1.470231,0.00000298,63.9
225,1.461633,0.00000297,71.7
250,1.451122,0.00000296,79.6
275,1.441476,0.00000294,87.4
300,1.438920,0.00000293,95.2
325,1.427819,0.00000291,103.0
350,1.431209,0.00000289,111.0
375,1.426456,0.00000286,118.9
400,1.424650,0.00000284,126.9
425,1.422952,0.00000281,134.8
450,1.417135,0.00000278,142.8
475,1.418456,0.00000275,150.7
500,1.414315,0.00000272,158.5
525,1.416719,0.00000268,166.5
550,1.416891,0.00000264,174.3
575,1.410728,0.00000260,182.1
600,1.417008,0.00000256,189.9
625,1.414587,0.00000252,197.8
650,1.412441,0.00000248,205.7
675,1.415324,0.00000243,213.5
700,1.409878,0.00000239,221.4
725,1.411113,0.00000234,229.2
750,1.408817,0.00000229,237.1
775,1.408619,0.00000224,245.1
800,1.408903,0.00000219,253.0
825,1.407575,0.00000214,260.8
850,1.407428,0.00000209,268.9
875,1.406697,0.00000204,276.9
900,1.407612,0.00000198,284.9
925,1.407983,0.00000193,292.7
950,1.405496,0.00000187,300.6
975,1.404722,0.00000182,308.5
1000,1.406860,0.00000176,316.4
1025,1.403758,0.00000171,325.5
1050,1.405758,0.00000165,333.4
1075,1.404383,0.00000159,341.4
1100,1.405684,0.00000154,349.5
1125,1.403232,0.00000148,357.6
1150,1.403383,0.00000143,365.2
1175,1.404385,0.00000137,373.1
1200,1.403829,0.00000132,381.2
1225,1.402899,0.00000126,389.2
1250,1.404212,0.00000121,397.1
1275,1.403411,0.00000116,405.0
1300,1.401335,0.00000111,412.8
1325,1.403591,0.00000106,420.8
1350,1.404061,0.00000101,428.7
1375,1.403348,0.00000096,436.2
1400,1.402057,0.00000091,443.9
1425,1.401425,0.00000087,451.6
1450,1.401842,0.00000082,459.5
1475,1.401484,0.00000078,467.3
1500,1.401541,0.00000074,475.2
1525,1.403279,0.00000070,483.1
1550,1.400887,0.00000066,490.6
1575,1.400078,0.00000062,498.2
1600,1.399651,0.00000058,505.8
1625,1.401990,0.00000055,513.7
1650,1.398720,0.00000052,521.7
1675,1.399703,0.00000049,529.7
1700,1.402223,0.00000046,537.6
1725,1.401125,0.00000044,545.5
1750,1.400431,0.00000041,553.3
1775,1.402531,0.00000039,561.2
1800,1.402878,0.00000037,569.4
1825,1.401101,0.00000036,577.4
1850,1.402203,0.00000034,585.4
1875,1.400849,0.00000033,593.5
1900,1.399567,0.00000032,601.0
1925,1.401839,0.00000031,608.8
1950,1.399779,0.00000030,616.9
1975,1.398298,0.00000030,624.9
2000,1.401948,0.00000030,632.9
