step,loss,lr,elapsed_sec
25,5.638924,0.00000075,8.5
50,4.819906,0.00000150,16.3
75,3.988289,0.00000225,23.9
100,3.094948,0.00000300,31.5
125,2.214040,0.00000300,39.3
150,1.780653,0.00000300,47.2
175,1.615643,0.00000299,54.9
200,1.551932,0.00000298,62.8
225,1.516245,0.00000297,70.5
250,1.500618,0.00000296,78.0
275,1.478594,0.00000294,85.5
300,1.469940,0.00000293,92.9
325,1.456971,0.00000291,100.6
350,1.455396,0.00000289,108.4
375,1.446940,0.00000286,116.3
400,1.443320,0.00000284,124.2
425,1.439221,0.00000281,131.9
450,1.435528,0.00000278,139.7
475,1.431742,0.00000275,147.2
500,1.431587,0.00000272,155.0
525,1.433245,0.00000268,163.1
550,1.428648,0.00000264,170.8
575,1.426205,0.00000260,178.3
600,1.425897,0.00000256,185.9
625,1.421588,0.00000252,193.5
650,1.421521,0.00000248,201.1
675,1.422365,0.00000243,208.7
700,1.419747,0.00000239,216.6
725,1.418039,0.00000234,224.5
750,1.418508,0.00000229,232.1
775,1.418407,0.00000224,239.8
800,1.416950,0.00000219,247.4
825,1.416878,0.00000214,255.2
850,1.414427,0.00000209,262.8
875,1.419887,0.00000204,270.5
900,1.416258,0.00000198,278.1
925,1.414377,0.00000193,285.8
950,1.413729,0.00000187,293.5
975,1.412275,0.00000182,301.3
1000,1.413287,0.00000176,309.1
1025,1.413530,0.00000171,318.0
1050,1.413428,0.00000165,325.7
1075,1.410942,0.00000159,333.6
1100,1.413857,0.00000154,341.6
1125,1.412830,0.00000148,349.3
1150,1.410367,0.00000143,357.1
1175,1.408790,0.00000137,364.9
1200,1.408310,0.00000132,372.6
1225,1.411327,0.00000126,380.4
1250,1.408535,0.00000121,388.3
1275,1.409346,0.00000116,396.1
1300,1.408748,0.00000111,403.8
1325,1.407007,0.00000106,411.5
1350,1.409392,0.00000101,419.3
1375,1.405944,0.00000096,427.0
1400,1.406376,0.00000091,434.9
1425,1.409119,0.00000087,442.7
1450,1.407763,0.00000082,450.1
1475,1.407464,0.00000078,457.9
1500,1.409354,0.00000074,465.7
1525,1.406485,0.00000070,473.6
1550,1.407581,0.00000066,481.1
1575,1.403786,0.00000062,488.5
1600,1.406252,0.00000058,495.8
1625,1.406608,0.00000055,503.1
1650,1.406250,0.00000052,510.7
1675,1.403938,0.00000049,518.5
1700,1.406550,0.00000046,526.4
1725,1.405280,0.00000044,534.2
1750,1.404769,0.00000041,542.0
1775,1.405870,0.00000039,549.8
1800,1.404268,0.00000037,557.5
1825,1.406306,0.00000036,565.6
1850,1.405965,0.00000034,573.2
1875,1.403776,0.00000033,580.8
1900,1.404405,0.00000032,588.7
1925,1.405196,0.00000031,596.5
1950,1.405112,0.00000030,604.2
1975,1.404529,0.00000030,612.1
2000,1.404480,0.00000030,619.9
