step,loss,lr,elapsed_sec
25,2.415846,0.00000075,8.2
50,1.796021,0.00000150,15.9
75,1.501634,0.00000225,23.5
100,1.440187,0.00000300,31.2
125,1.425537,0.00000300,39.2
150,1.418462,0.00000300,47.1
175,1.416231,0.00000299,55.0
200,1.414617,0.00000298,62.8
225,1.409800,0.00000297,70.6
250,1.409448,0.00000296,78.6
275,1.410875,0.00000294,86.4
300,1.406947,0.00000293,94.4
325,1.407005,0.00000291,102.3
350,1.406139,0.00000289,110.1
375,1.404087,0.00000286,118.0
400,1.405177,0.00000284,125.9
425,1.403476,0.00000281,133.9
450,1.402435,0.00000278,141.7
475,1.399186,0.00000275,149.8
500,1.401459,0.00000272,157.8
525,1.400306,0.00000268,166.1
550,1.400646,0.00000264,173.6
575,1.400674,0.00000260,181.3
600,1.399114,0.00000256,189.1
625,1.400539,0.00000252,196.9
650,1.400977,0.00000248,204.7
675,1.401098,0.00000243,212.4
700,1.397201,0.00000239,219.8
725,1.402205,0.00000234,227.5
750,1.397595,0.00000229,235.3
775,1.398902,0.00000224,243.0
800,1.396460,0.00000219,250.9
825,1.397078,0.00000214,258.8
850,1.395842,0.00000209,266.7
875,1.396854,0.00000204,274.5
900,1.396042,0.00000198,282.4
925,1.395882,0.00000193,290.3
950,1.396018,0.00000187,298.2
975,1.396873,0.00000182,306.1
1000,1.396652,0.00000176,314.1
1025,1.394954,0.00000171,323.1
1050,1.397208,0.00000165,331.1
1075,1.394975,0.00000159,338.9
1100,1.395679,0.00000154,346.8
1125,1.392691,0.00000148,354.8
1150,1.394445,0.00000143,362.5
1175,1.393993,0.00000137,370.2
1200,1.395674,0.00000132,378.0
1225,1.393977,0.00000126,385.9
1250,1.394945,0.00000121,393.6
1275,1.395248,0.00000116,401.3
1300,1.395756,0.00000111,409.1
1325,1.393062,0.00000106,416.8
1350,1.395167,0.00000101,424.7
1375,1.393504,0.00000096,432.5
1400,1.393016,0.00000091,440.3
1425,1.394720,0.00000087,448.0
1450,1.393768,0.00000082,455.8
1475,1.392209,0.00000078,463.5
1500,1.393503,0.00000074,471.0
1525,1.393960,0.00000070,479.0
1550,1.393618,0.00000066,486.7
1575,1.395001,0.00000062,494.3
1600,1.393131,0.00000058,502.4
1625,1.394132,0.00000055,510.2
1650,1.392436,0.00000052,518.3
1675,1.393232,0.00000049,526.3
1700,1.393824,0.00000046,534.0
1725,1.392470,0.00000044,541.9
1750,1.392191,0.00000041,549.8
1775,1.394458,0.00000039,557.7
1800,1.393248,0.00000037,565.7
1825,1.392444,0.00000036,573.7
1850,1.394810,0.00000034,581.5
1875,1.392463,0.00000033,589.2
1900,1.391852,0.00000032,596.4
1925,1.393722,0.00000031,604.1
1950,1.392712,0.00000030,611.9
1975,1.392907,0.00000030,619.6
2000,1.393671,0.00000030,627.6
