step,loss,lr,elapsed_sec
25,5.466369,0.00000075,7.2
50,4.414196,0.00000150,13.8
75,3.503741,0.00000225,20.6
100,2.579324,0.00000300,27.1
125,1.869077,0.00000300,33.7
150,1.610651,0.00000300,40.2
175,1.536157,0.00000299,46.7
200,1.491516,0.00000298,53.2
225,1.465893,0.00000297,59.8
250,1.460849,0.00000296,66.5
275,1.450480,0.00000294,73.1
300,1.443483,0.00000293,79.8
325,1.438307,0.00000291,86.3
350,1.435127,0.00000289,92.8
375,1.433315,0.00000286,99.4
400,1.431804,0.00000284,106.1
425,1.428081,0.00000281,112.7
450,1.422248,0.00000278,119.5
475,1.427609,0.00000275,126.1
500,1.421362,0.00000272,132.7
525,1.419186,0.00000268,139.7
550,1.419403,0.00000264,146.2
575,1.416432,0.00000260,152.9
600,1.417537,0.00000256,159.2
625,1.414253,0.00000252,165.7
650,1.415494,0.00000248,172.5
675,1.413826,0.00000243,179.0
700,1.411211,0.00000239,185.8
725,1.410695,0.00000234,192.7
750,1.409528,0.00000229,199.5
775,1.410783,0.00000224,206.2
800,1.407836,0.00000219,213.1
825,1.410957,0.00000214,219.9
850,1.408588,0.00000209,226.5
875,1.408234,0.00000204,233.1
900,1.407560,0.00000198,239.8
925,1.406423,0.00000193,246.4
950,1.407341,0.00000187,253.1
975,1.405170,0.00000182,259.9
1000,1.405306,0.00000176,266.7
1025,1.405348,0.00000171,274.3
1050,1.404987,0.00000165,280.7
1075,1.403636,0.00000159,287.4
1100,1.403040,0.00000154,294.1
1125,1.403293,0.00000148,300.6
1150,1.403250,0.00000143,307.3
1175,1.404033,0.00000137,314.0
1200,1.403876,0.00000132,320.7
1225,1.401661,0.00000126,327.4
1250,1.405265,0.00000121,334.1
1275,1.404368,0.00000116,340.6
1300,1.402205,0.00000111,347.4
1325,1.401868,0.00000106,354.1
1350,1.401169,0.00000101,360.7
1375,1.401861,0.00000096,367.4
1400,1.401122,0.00000091,374.0
1425,1.400527,0.00000087,380.5
1450,1.400435,0.00000082,387.1
1475,1.400845,0.00000078,393.5
1500,1.401238,0.00000074,400.1
1525,1.402465,0.00000070,407.0
1550,1.398570,0.00000066,413.6
1575,1.399672,0.00000062,420.1
1600,1.399054,0.00000058,426.4
1625,1.398709,0.00000055,432.8
1650,1.400738,0.00000052,439.4
1675,1.400504,0.00000049,446.0
1700,1.401709,0.00000046,452.4
1725,1.400976,0.00000044,459.0
1750,1.399577,0.00000041,465.4
1775,1.400308,0.00000039,471.7
1800,1.398697,0.00000037,477.8
1825,1.400486,0.00000036,484.4
1850,1.399984,0.00000034,490.9
1875,1.398042,0.00000033,497.5
1900,1.400725,0.00000032,504.1
1925,1.400255,0.00000031,510.8
1950,1.400235,0.00000030,517.6
1975,1.398692,0.00000030,524.1
2000,1.400114,0.00000030,530.6
