step,loss,lr,elapsed_sec
25,7.613559,0.00000050,2.9
50,6.755756,0.00000100,5.2
75,5.965832,0.00000150,7.9
100,5.173775,0.00000200,10.3
125,4.064011,0.00000250,12.9
150,3.188287,0.00000300,15.3
175,2.347623,0.00000300,18.2
200,1.951710,0.00000300,20.5
225,1.695898,0.00000300,22.8
250,1.647583,0.00000299,25.5
275,1.575808,0.00000299,27.8
300,1.550213,0.00000298,30.5
325,1.525577,0.00000297,32.8
350,1.501016,0.00000297,35.5
375,1.490829,0.00000296,37.9
400,1.479184,0.00000295,40.5
425,1.466190,0.00000294,42.8
450,1.460992,0.00000293,45.2
475,1.452779,0.00000291,47.8
500,1.454399,0.00000290,50.1
525,1.443700,0.00000289,53.2
550,1.443204,0.00000287,55.6
575,1.440882,0.00000285,58.4
600,1.437011,0.00000284,60.9
625,1.433799,0.00000282,63.2
650,1.432245,0.00000280,65.9
675,1.429686,0.00000278,68.2
700,1.428749,0.00000276,71.0
725,1.426564,0.00000274,73.5
750,1.424770,0.00000272,76.2
775,1.424175,0.00000269,78.5
800,1.422176,0.00000267,81.2
825,1.421930,0.00000264,83.6
850,1.418132,0.00000262,86.1
875,1.417542,0.00000259,88.9
900,1.417640,0.00000256,91.3
925,1.417324,0.00000254,94.0
950,1.414985,0.00000251,96.4
975,1.415103,0.00000248,99.0
1000,1.412095,0.00000245,101.4
1025,1.412720,0.00000242,105.0
1050,1.412523,0.00000239,107.6
1075,1.412644,0.00000236,110.0
1100,1.411866,0.00000233,112.6
1125,1.409763,0.00000229,115.0
1150,1.409154,0.00000226,117.7
1175,1.407869,0.00000223,120.1
1200,1.407837,0.00000219,122.9
1225,1.407006,0.00000216,125.3
1250,1.407586,0.00000212,127.7
1275,1.407364,0.00000209,130.3
1300,1.407259,0.00000205,132.6
1325,1.407670,0.00000202,135.4
1350,1.405484,0.00000198,137.8
1375,1.405696,0.00000195,140.6
1400,1.405086,0.00000191,143.0
1425,1.404841,0.00000187,145.3
1450,1.406082,0.00000184,148.0
1475,1.404962,0.00000180,150.5
1500,1.405607,0.00000176,153.1
1525,1.403149,0.00000172,155.9
1550,1.401919,0.00000169,158.6
1575,1.404632,0.00000165,161.1
1600,1.402901,0.00000161,163.7
1625,1.403247,0.00000158,166.2
1650,1.401985,0.00000154,168.6
1675,1.402101,0.00000150,171.4
1700,1.402592,0.00000146,173.9
1725,1.401275,0.00000143,176.6
1750,1.401666,0.00000139,179.0
1775,1.400587,0.00000135,181.7
1800,1.400934,0.00000132,184.2
1825,1.401211,0.00000128,187.0
1850,1.400612,0.00000125,189.5
1875,1.400273,0.00000121,191.9
1900,1.400482,0.00000118,194.7
1925,1.398617,0.00000114,197.2
1950,1.399323,0.00000111,199.9
1975,1.399942,0.00000107,202.2
2000,1.398943,0.00000104,204.9
2025,1.400272,0.00000101,208.4
2050,1.399265,0.00000098,210.7
2075,1.399319,0.00000094,213.4
2100,1.399467,0.00000091,215.7
2125,1.398279,0.00000088,218.4
2150,1.399034,0.00000085,220.8
2175,1.398675,0.00000082,223.4
2200,1.398203,0.00000079,225.8
2225,1.397969,0.00000076,228.5
2250,1.398675,0.00000074,230.8
2275,1.397237,0.00000071,233.2
2300,1.398300,0.00000068,235.9
2325,1.398491,0.00000066,238.2
2350,1.397549,0.00000063,240.9
2375,1.398421,0.00000061,243.2
2400,1.397938,0.00000058,245.9
2425,1.397414,0.00000056,248.3
2450,1.398328,0.00000054,250.6
2475,1.397176,0.00000052,253.3
2500,1.398127,0.00000050,255.6
2525,1.397804,0.00000048,258.8
2550,1.396558,0.00000046,261.2
2575,1.397409,0.00000045,263.8
2600,1.397641,0.00000043,266.2
2625,1.397928,0.00000041,268.8
2650,1.396377,0.00000040,271.2
2675,1.396951,0.00000039,273.5
2700,1.396613,0.00000037,276.2
2725,1.397041,0.00000036,278.6
2750,1.397455,0.00000035,281.2
2775,1.395892,0.00000034,283.6
2800,1.396354,0.00000033,286.2
2825,1.397029,0.00000033,288.5
2850,1.397161,0.00000032,290.9
2875,1.397067,0.00000031,293.5
2900,1.396397,0.00000031,295.9
2925,1.396364,0.00000030,298.6
2950,1.396236,0.00000030,300.9
2975,1.396956,0.00000030,303.5
3000,1.395793,0.00000030,305.9
