step,loss,lr,elapsed_sec
25,7.284324,0.00000075,8.0
50,6.161537,0.00000150,15.8
75,5.254355,0.00000225,23.5
100,4.200146,0.00000300,31.0
125,3.145079,0.00000300,38.5
150,2.336864,0.00000300,46.1
175,1.911843,0.00000299,53.7
200,1.714544,0.00000298,61.3
225,1.615115,0.00000297,68.7
250,1.564467,0.00000296,76.5
275,1.539676,0.00000294,84.1
300,1.517981,0.00000293,91.9
325,1.496256,0.00000291,99.3
350,1.487734,0.00000289,106.9
375,1.481527,0.00000286,114.5
400,1.460199,0.00000284,122.0
425,1.457959,0.00000281,129.6
450,1.453880,0.00000278,137.0
475,1.451903,0.00000275,144.5
500,1.444834,0.00000272,152.0
525,1.443244,0.00000268,160.1
550,1.439620,0.00000264,167.8
575,1.439164,0.00000260,175.1
600,1.437105,0.00000256,182.4
625,1.432168,0.00000252,190.3
650,1.430208,0.00000248,198.1
675,1.427652,0.00000243,205.9
700,1.428093,0.00000239,213.6
725,1.424146,0.00000234,221.3
750,1.426064,0.00000229,229.0
775,1.421603,0.00000224,236.7
800,1.426124,0.00000219,244.2
825,1.421537,0.00000214,251.6
850,1.422728,0.00000209,259.2
875,1.417565,0.00000204,266.7
900,1.420217,0.00000198,274.1
925,1.418281,0.00000193,281.8
950,1.419400,0.00000187,289.5
975,1.418965,0.00000182,297.0
1000,1.415294,0.00000176,304.4
1025,1.414775,0.00000171,313.0
1050,1.413894,0.00000165,320.7
1075,1.415750,0.00000159,328.4
1100,1.413839,0.00000154,336.1
1125,1.412688,0.00000148,343.6
1150,1.413975,0.00000143,351.1
1175,1.412683,0.00000137,358.6
1200,1.412395,0.00000132,366.4
1225,1.412463,0.00000126,374.0
1250,1.413213,0.00000121,381.7
1275,1.410330,0.00000116,389.3
1300,1.411658,0.00000111,397.1
1325,1.411641,0.00000106,404.8
1350,1.408452,0.00000101,412.4
1375,1.411165,0.00000096,420.0
1400,1.407517,0.00000091,427.5
1425,1.410252,0.00000087,434.7
1450,1.407945,0.00000082,442.0
1475,1.408767,0.00000078,449.8
1500,1.407219,0.00000074,457.5
1525,1.408428,0.00000070,465.5
1550,1.407987,0.00000066,473.4
1575,1.407658,0.00000062,481.1
1600,1.406574,0.00000058,488.6
1625,1.407932,0.00000055,496.5
1650,1.407311,0.00000052,504.2
1675,1.407195,0.00000049,511.8
1700,1.404835,0.00000046,519.6
1725,1.406548,0.00000044,527.6
1750,1.408126,0.00000041,535.4
1775,1.404927,0.00000039,543.3
1800,1.407551,0.00000037,551.0
1825,1.406894,0.00000036,558.7
1850,1.404931,0.00000034,566.4
1875,1.407321,0.00000033,573.8
1900,1.405904,0.00000032,581.2
1925,1.406662,0.00000031,588.9
1950,1.404523,0.00000030,596.4
1975,1.406693,0.00000030,604.1
2000,1.405086,0.00000030,611.7
