step,loss,lr,elapsed_sec
25,2.599064,0.00000075,8.4
50,1.767409,0.00000150,16.3
75,1.478072,0.00000225,24.3
100,1.438906,0.00000300,32.0
125,1.426283,0.00000300,39.8
150,1.417258,0.00000300,47.5
175,1.415499,0.00000299,55.3
200,1.412536,0.00000298,63.2
225,1.407605,0.00000297,70.9
250,1.408967,0.00000296,78.4
275,1.406295,0.00000294,86.5
300,1.402997,0.00000293,94.4
325,1.403495,0.00000291,102.3
350,1.402225,0.00000289,110.2
375,1.401910,0.00000286,118.1
400,1.399509,0.00000284,125.8
425,1.402003,0.00000281,133.6
450,1.398916,0.00000278,141.4
475,1.399016,0.00000275,149.2
500,1.398502,0.00000272,156.9
525,1.398475,0.00000268,164.6
550,1.397841,0.00000264,172.4
575,1.396594,0.00000260,179.9
600,1.396008,0.00000256,187.5
625,1.395066,0.00000252,195.2
650,1.394673,0.00000248,202.9
675,1.394291,0.00000243,210.8
700,1.395759,0.00000239,218.6
725,1.394759,0.00000234,226.4
750,1.394574,0.00000229,234.2
775,1.392231,0.00000224,242.1
800,1.395165,0.00000219,249.8
825,1.393205,0.00000214,257.8
850,1.393618,0.00000209,265.4
875,1.392942,0.00000204,273.0
900,1.392260,0.00000198,280.9
925,1.392816,0.00000193,288.8
950,1.393367,0.00000187,296.8
975,1.393677,0.00000182,304.6
1000,1.390483,0.00000176,312.5
1025,1.390744,0.00000171,321.8
1050,1.392176,0.00000165,329.9
1075,1.393772,0.00000159,337.8
1100,1.391721,0.00000154,345.8
1125,1.391734,0.00000148,353.9
1150,1.391488,0.00000143,361.7
1175,1.390447,0.00000137,369.6
1200,1.389350,0.00000132,377.3
1225,1.390602,0.00000126,385.4
1250,1.391283,0.00000121,393.3
1275,1.390676,0.00000116,401.2
1300,1.390635,0.00000111,409.2
1325,1.389829,0.00000106,417.1
1350,1.389922,0.00000101,424.9
1375,1.390349,0.00000096,432.7
1400,1.390637,0.00000091,440.3
1425,1.389924,0.00000087,448.2
1450,1.391556,0.00000082,456.1
1475,1.387999,0.00000078,463.9
1500,1.390562,0.00000074,471.8
1525,1.389983,0.00000070,479.9
1550,1.388522,0.00000066,487.7
1575,1.388484,0.00000062,495.6
1600,1.389950,0.00000058,503.5
1625,1.389687,0.00000055,511.5
1650,1.389642,0.00000052,519.5
1675,1.387744,0.00000049,527.3
1700,1.388758,0.00000046,535.4
1725,1.388190,0.00000044,543.3
1750,1.388993,0.00000041,551.1
1775,1.388895,0.00000039,558.9
1800,1.390302,0.00000037,566.7
1825,1.389948,0.00000036,574.5
1850,1.389820,0.00000034,582.5
1875,1.389436,0.00000033,590.5
1900,1.388753,0.00000032,598.2
1925,1.389716,0.00000031,606.2
1950,1.389268,0.00000030,614.1
1975,1.389249,0.00000030,621.9
2000,1.388357,0.00000030,629.7
