step,loss,lr,elapsed_sec
25,7.723609,0.00000038,5.4
50,6.819590,0.00000075,10.6
75,5.949642,0.00000113,15.9
100,5.473362,0.00000150,20.8
125,4.709244,0.00000188,26.0
150,3.843973,0.00000225,31.2
175,3.111692,0.00000263,36.1
200,2.424592,0.00000300,41.3
225,1.988007,0.00000300,46.5
250,1.734852,0.00000300,51.2
275,1.618266,0.00000300,56.2
300,1.568244,0.00000300,61.0
325,1.528125,0.00000300,65.8
350,1.505384,0.00000299,70.4
375,1.488901,0.00000299,75.3
400,1.475102,0.00000299,80.2
425,1.468152,0.00000299,84.9
450,1.458850,0.00000298,90.1
475,1.450844,0.00000298,95.1
500,1.447277,0.00000297,99.9
525,1.443243,0.00000297,105.1
550,1.439710,0.00000296,109.9
575,1.436549,0.00000296,114.9
600,1.430847,0.00000295,119.8
625,1.430044,0.00000295,124.8
650,1.428025,0.00000294,129.7
675,1.425219,0.00000294,134.4
700,1.422552,0.00000293,139.6
725,1.422205,0.00000292,144.8
750,1.420106,0.00000291,149.6
775,1.419355,0.00000291,154.4
800,1.418652,0.00000290,159.3
825,1.417453,0.00000289,164.3
850,1.414967,0.00000288,168.9
875,1.414530,0.00000287,173.9
900,1.413175,0.00000286,179.0
925,1.411316,0.00000285,183.9
950,1.410931,0.00000284,189.0
975,1.410329,0.00000283,194.1
1000,1.409374,0.00000282,198.7
1025,1.408508,0.00000281,204.9
1050,1.407964,0.00000280,209.8
1075,1.407130,0.00000278,214.9
1100,1.405397,0.00000277,219.8
1125,1.405914,0.00000276,224.7
1150,1.405007,0.00000275,229.7
1175,1.403544,0.00000273,234.3
1200,1.402925,0.00000272,239.3
1225,1.402368,0.00000271,244.4
1250,1.402941,0.00000269,249.2
1275,1.402345,0.00000268,254.1
1300,1.401556,0.00000266,258.9
1325,1.401640,0.00000265,264.1
1350,1.401132,0.00000264,269.0
1375,1.399039,0.00000262,274.1
1400,1.399511,0.00000260,279.3
1425,1.400331,0.00000259,284.2
1450,1.399613,0.00000257,289.2
1475,1.398987,0.00000256,294.1
1500,1.398880,0.00000254,298.7
1525,1.398802,0.00000252,304.2
1550,1.397085,0.00000251,309.3
1575,1.398295,0.00000249,314.2
1600,1.397164,0.00000247,318.8
1625,1.396701,0.00000245,323.7
1650,1.396505,0.00000244,328.6
1675,1.396151,0.00000242,333.2
1700,1.395763,0.00000240,338.4
1725,1.396261,0.00000238,343.5
1750,1.395542,0.00000236,348.4
1775,1.394876,0.00000234,353.5
1800,1.395567,0.00000233,358.5
1825,1.394865,0.00000231,363.4
1850,1.395272,0.00000229,368.1
1875,1.393821,0.00000227,373.3
1900,1.394521,0.00000225,378.4
1925,1.394542,0.00000223,383.3
1950,1.393899,0.00000221,388.4
1975,1.393750,0.00000219,393.5
2000,1.393629,0.00000217,398.1
2025,1.393168,0.00000215,404.3
2050,1.393623,0.00000213,409.5
2075,1.392135,0.00000210,414.8
2100,1.392375,0.00000208,419.4
2125,1.391977,0.00000206,424.3
2150,1.392201,0.00000204,429.1
2175,1.391602,0.00000202,433.7
2200,1.392320,0.00000200,438.6
2225,1.390830,0.00000198,443.5
2250,1.391477,0.00000196,448.1
2275,1.390468,0.00000194,453.0
2300,1.390849,0.00000191,457.9
2325,1.390696,0.00000189,462.8
2350,1.390860,0.00000187,467.7
2375,1.390769,0.00000185,472.9
2400,1.390943,0.00000183,478.1
2425,1.391413,0.00000180,482.8
2450,1.390552,0.00000178,488.0
2475,1.389362,0.00000176,493.1
2500,1.390343,0.00000174,497.7
2525,1.390052,0.00000172,503.2
2550,1.390278,0.00000169,508.2
2575,1.390363,0.00000167,513.4
2600,1.389448,0.00000165,518.3
2625,1.389620,0.00000163,523.5
2650,1.389698,0.00000161,528.6
2675,1.389100,0.00000158,533.3
2700,1.389626,0.00000156,538.5
2725,1.389282,0.00000154,543.7
2750,1.388723,0.00000152,548.7
2775,1.389232,0.00000150,553.8
2800,1.388406,0.00000147,559.0
2825,1.387659,0.00000145,564.1
2850,1.388861,0.00000143,568.7
2875,1.387960,0.00000141,573.8
2900,1.388773,0.00000139,578.9
2925,1.387601,0.00000136,583.5
2950,1.388138,0.00000134,588.4
2975,1.388989,0.00000132,593.3
3000,1.387411,0.00000130,598.0
3025,1.387677,0.00000128,604.1
3050,1.388160,0.00000126,609.2
3075,1.388120,0.00000124,614.4
3100,1.388061,0.00000122,619.0
3125,1.387128,0.00000120,623.9
3150,1.388178,0.00000117,628.8
3175,1.387423,0.00000115,633.7
3200,1.387635,0.00000113,638.7
3225,1.388054,0.00000111,643.6
3250,1.387593,0.00000109,648.2
3275,1.387194,0.00000107,653.1
3300,1.387221,0.00000105,658.0
3325,1.386862,0.00000103,662.9
3350,1.387186,0.00000101,667.5
