step,loss,lr,elapsed_sec
25,5.520824,0.00000075,6.9
50,4.410014,0.00000150,13.5
75,3.290797,0.00000225,20.1
100,2.329193,0.00000300,26.7
125,1.706144,0.00000300,33.4
150,1.537554,0.00000300,40.0
175,1.476818,0.00000299,46.6
200,1.453273,0.00000298,53.2
225,1.437335,0.00000297,59.5
250,1.439884,0.00000296,66.2
275,1.426687,0.00000294,72.7
300,1.423131,0.00000293,79.4
325,1.420901,0.00000291,85.9
350,1.416309,0.00000289,92.5
375,1.413985,0.00000286,99.2
400,1.409397,0.00000284,105.6
425,1.412128,0.00000281,112.2
450,1.408706,0.00000278,118.7
475,1.409275,0.00000275,125.3
500,1.408529,0.00000272,132.0
525,1.404725,0.00000268,138.7
550,1.406502,0.00000264,145.5
575,1.404230,0.00000260,152.1
600,1.403698,0.00000256,158.6
625,1.403196,0.00000252,165.3
650,1.401710,0.00000248,171.8
675,1.401175,0.00000243,178.4
700,1.400468,0.00000239,185.1
725,1.403262,0.00000234,191.7
750,1.399749,0.00000229,198.4
775,1.399613,0.00000224,205.0
800,1.398392,0.00000219,211.5
825,1.398237,0.00000214,218.2
850,1.399616,0.00000209,224.5
875,1.397546,0.00000204,230.9
900,1.398899,0.00000198,237.4
925,1.397433,0.00000193,243.9
950,1.397745,0.00000187,250.5
975,1.397648,0.00000182,257.1
1000,1.395185,0.00000176,263.6
1025,1.395877,0.00000171,271.3
1050,1.394582,0.00000165,277.9
1075,1.394531,0.00000159,284.4
1100,1.395117,0.00000154,291.1
1125,1.394994,0.00000148,297.6
1150,1.394894,0.00000143,304.4
1175,1.395873,0.00000137,311.0
1200,1.392335,0.00000132,317.5
1225,1.393818,0.00000126,324.2
1250,1.394313,0.00000121,330.8
1275,1.394564,0.00000116,337.3
1300,1.393240,0.00000111,343.7
1325,1.393539,0.00000106,350.4
1350,1.394068,0.00000101,356.8
1375,1.392878,0.00000096,363.5
1400,1.394766,0.00000091,370.0
1425,1.391903,0.00000087,376.6
1450,1.392322,0.00000082,383.2
1475,1.393449,0.00000078,389.7
1500,1.391881,0.00000074,396.3
1525,1.393430,0.00000070,403.2
1550,1.391195,0.00000066,409.9
1575,1.390623,0.00000062,416.4
1600,1.390301,0.00000058,422.8
1625,1.391717,0.00000055,429.4
1650,1.391208,0.00000052,436.1
1675,1.391772,0.00000049,442.6
1700,1.392936,0.00000046,449.0
1725,1.391952,0.00000044,455.3
1750,1.391633,0.00000041,461.6
1775,1.390186,0.00000039,467.7
1800,1.391675,0.00000037,474.1
1825,1.392305,0.00000036,480.4
1850,1.391380,0.00000034,486.8
1875,1.392111,0.00000033,493.2
1900,1.391553,0.00000032,499.8
1925,1.390186,0.00000031,506.3
1950,1.390031,0.00000030,513.1
1975,1.389861,0.00000030,519.8
2000,1.390817,0.00000030,526.2
