step,loss,lr,elapsed_sec
25,2.211922,0.00000075,8.7
50,1.717632,0.00000150,16.6
75,1.445986,0.00000225,24.4
100,1.410414,0.00000300,32.1
125,1.405531,0.00000300,39.8
150,1.400319,0.00000300,47.7
175,1.397457,0.00000299,55.3
200,1.398949,0.00000298,63.0
225,1.396306,0.00000297,70.7
250,1.393716,0.00000296,78.6
275,1.395391,0.00000294,86.5
300,1.394249,0.00000293,94.2
325,1.394432,0.00000291,102.0
350,1.392371,0.00000289,109.5
375,1.393238,0.00000286,117.2
400,1.390484,0.00000284,124.8
425,1.392103,0.00000281,132.7
450,1.390845,0.00000278,140.4
475,1.389708,0.00000275,148.2
500,1.391784,0.00000272,156.0
525,1.392151,0.00000268,164.3
550,1.389943,0.00000264,172.2
575,1.390184,0.00000260,180.1
600,1.389762,0.00000256,187.8
625,1.388615,0.00000252,195.6
650,1.386459,0.00000248,203.2
675,1.389051,0.00000243,211.0
700,1.387767,0.00000239,218.9
725,1.387595,0.00000234,226.8
750,1.388840,0.00000229,234.7
775,1.388436,0.00000224,242.4
800,1.388081,0.00000219,250.1
825,1.385730,0.00000214,257.9
850,1.387839,0.00000209,265.9
875,1.386670,0.00000204,273.7
900,1.385903,0.00000198,281.6
925,1.387441,0.00000193,289.4
950,1.386586,0.00000187,297.1
975,1.387213,0.00000182,304.7
1000,1.385650,0.00000176,312.4
1025,1.387256,0.00000171,321.5
1050,1.385854,0.00000165,329.3
1075,1.384861,0.00000159,337.1
1100,1.383787,0.00000154,345.0
1125,1.385885,0.00000148,352.9
1150,1.386928,0.00000143,360.7
1175,1.385263,0.00000137,368.6
1200,1.385769,0.00000132,376.5
1225,1.385087,0.00000126,384.2
1250,1.387111,0.00000121,392.0
1275,1.384496,0.00000116,399.9
1300,1.385340,0.00000111,407.7
1325,1.383929,0.00000106,415.5
1350,1.384960,0.00000101,423.3
1375,1.384662,0.00000096,431.1
1400,1.385994,0.00000091,438.8
1425,1.385813,0.00000087,446.5
1450,1.385261,0.00000082,454.1
1475,1.384332,0.00000078,462.0
1500,1.384896,0.00000074,469.7
1525,1.385255,0.00000070,477.6
1550,1.385173,0.00000066,485.3
1575,1.383275,0.00000062,493.3
1600,1.383748,0.00000058,501.3
1625,1.384580,0.00000055,509.1
1650,1.384905,0.00000052,516.9
1675,1.383467,0.00000049,524.5
1700,1.383904,0.00000046,532.4
1725,1.383907,0.00000044,540.1
1750,1.384580,0.00000041,547.9
1775,1.383742,0.00000039,555.7
1800,1.383729,0.00000037,563.5
1825,1.384231,0.00000036,571.4
1850,1.384583,0.00000034,579.2
1875,1.383980,0.00000033,586.9
1900,1.383679,0.00000032,594.7
1925,1.383652,0.00000031,602.5
1950,1.383141,0.00000030,610.3
1975,1.382834,0.00000030,618.2
2000,1.383410,0.00000030,625.9
