step,loss,lr,elapsed_sec
25,5.910592,0.00000075,8.0
50,4.837277,0.00000150,15.7
75,3.952332,0.00000225,23.7
100,3.042949,0.00000300,31.6
125,2.219563,0.00000300,39.6
150,1.785471,0.00000300,47.7
175,1.626674,0.00000299,55.5
200,1.551642,0.00000298,63.6
225,1.515961,0.00000297,71.5
250,1.496279,0.00000296,79.3
275,1.478434,0.00000294,87.1
300,1.465210,0.00000293,94.9
325,1.453668,0.00000291,102.9
350,1.448575,0.00000289,110.7
375,1.445122,0.00000286,118.6
400,1.442360,0.00000284,126.3
425,1.433131,0.00000281,134.1
450,1.427682,0.00000278,142.0
475,1.423728,0.00000275,149.8
500,1.422739,0.00000272,157.9
525,1.420761,0.00000268,166.1
550,1.421746,0.00000264,174.0
575,1.416348,0.00000260,182.1
600,1.413633,0.00000256,190.0
625,1.413687,0.00000252,197.9
650,1.411400,0.00000248,205.7
675,1.408989,0.00000243,213.5
700,1.407687,0.00000239,221.4
725,1.409204,0.00000234,229.3
750,1.408604,0.00000229,237.2
775,1.405483,0.00000224,245.2
800,1.405677,0.00000219,253.1
825,1.405422,0.00000214,260.5
850,1.404457,0.00000209,267.8
875,1.404546,0.00000204,275.5
900,1.403256,0.00000198,283.3
925,1.402291,0.00000193,291.0
950,1.401473,0.00000187,298.9
975,1.402430,0.00000182,306.9
1000,1.400859,0.00000176,314.7
1025,1.401618,0.00000171,323.8
1050,1.400579,0.00000165,331.7
1075,1.399733,0.00000159,339.6
1100,1.399758,0.00000154,347.5
1125,1.399064,0.00000148,355.6
1150,1.400037,0.00000143,363.9
1175,1.397960,0.00000137,372.1
1200,1.398848,0.00000132,379.9
1225,1.397617,0.00000126,388.0
1250,1.396782,0.00000121,396.1
1275,1.397951,0.00000116,404.2
1300,1.396840,0.00000111,412.2
1325,1.397845,0.00000106,420.3
1350,1.397765,0.00000101,428.1
1375,1.396172,0.00000096,436.2
1400,1.398260,0.00000091,444.2
1425,1.397301,0.00000087,452.3
1450,1.397948,0.00000082,460.4
1475,1.394948,0.00000078,468.2
1500,1.396971,0.00000074,476.1
1525,1.394658,0.00000070,484.1
1550,1.396772,0.00000066,491.8
1575,1.395028,0.00000062,499.6
1600,1.394762,0.00000058,507.3
1625,1.394669,0.00000055,515.6
1650,1.394163,0.00000052,523.8
1675,1.395497,0.00000049,532.2
1700,1.395235,0.00000046,540.6
1725,1.394154,0.00000044,548.7
1750,1.395220,0.00000041,556.8
1775,1.394977,0.00000039,564.8
1800,1.394876,0.00000037,572.7
1825,1.395169,0.00000036,580.5
1850,1.394932,0.00000034,588.6
1875,1.395604,0.00000033,596.6
1900,1.394389,0.00000032,604.3
1925,1.394672,0.00000031,612.2
1950,1.393727,0.00000030,619.8
1975,1.395859,0.00000030,627.6
2000,1.396784,0.00000030,635.7
