step,loss,lr,elapsed_sec
25,8.014764,0.00000050,2.9
50,6.452125,0.00000100,5.2
75,5.857620,0.00000150,7.8
100,4.704207,0.00000200,10.2
125,4.402373,0.00000250,12.9
150,3.346235,0.00000300,15.4
175,2.223489,0.00000300,18.2
200,1.802067,0.00000300,20.7
225,1.662487,0.00000300,23.2
250,1.555402,0.00000299,25.8
275,1.513094,0.00000299,28.2
300,1.489808,0.00000298,30.8
325,1.474574,0.00000297,33.3
350,1.461790,0.00000297,36.1
375,1.453710,0.00000296,38.7
400,1.445626,0.00000295,41.4
425,1.438725,0.00000294,43.9
450,1.438762,0.00000293,46.4
475,1.434819,0.00000291,49.2
500,1.433798,0.00000290,51.7
525,1.428498,0.00000289,54.7
550,1.424248,0.00000287,57.2
575,1.420744,0.00000285,60.0
600,1.421744,0.00000284,62.4
625,1.421835,0.00000282,64.7
650,1.416325,0.00000280,67.5
675,1.416093,0.00000278,69.9
700,1.415295,0.00000276,72.7
725,1.414192,0.00000274,75.2
750,1.409649,0.00000272,78.0
775,1.410171,0.00000269,80.5
800,1.409438,0.00000267,83.3
825,1.410344,0.00000264,85.8
850,1.407644,0.00000262,88.3
875,1.406928,0.00000259,91.1
900,1.405942,0.00000256,93.6
925,1.403291,0.00000254,96.4
950,1.403749,0.00000251,98.9
975,1.403889,0.00000248,101.7
1000,1.404207,0.00000245,104.1
1025,1.402891,0.00000242,107.6
1050,1.403075,0.00000239,110.2
1075,1.401567,0.00000236,112.6
1100,1.401384,0.00000233,115.4
1125,1.398416,0.00000229,117.9
1150,1.400541,0.00000226,120.7
1175,1.403079,0.00000223,123.0
1200,1.398468,0.00000219,125.7
1225,1.399463,0.00000216,128.2
1250,1.397938,0.00000212,130.6
1275,1.399693,0.00000209,133.4
1300,1.397620,0.00000205,136.0
1325,1.396981,0.00000202,138.7
1350,1.396978,0.00000198,141.1
1375,1.397100,0.00000195,143.8
1400,1.398141,0.00000191,146.3
1425,1.394887,0.00000187,148.8
1450,1.396795,0.00000184,151.5
1475,1.393636,0.00000180,153.9
1500,1.394379,0.00000176,156.7
1525,1.394954,0.00000172,159.6
1550,1.392399,0.00000169,162.4
1575,1.393990,0.00000165,164.9
1600,1.394356,0.00000161,167.7
1625,1.393031,0.00000158,170.3
1650,1.393078,0.00000154,172.6
1675,1.392185,0.00000150,175.3
1700,1.393450,0.00000146,177.6
1725,1.393421,0.00000143,180.3
1750,1.394428,0.00000139,182.7
1775,1.393830,0.00000135,185.4
1800,1.391877,0.00000132,187.7
1825,1.393668,0.00000128,190.4
1850,1.391618,0.00000125,192.7
1875,1.392231,0.00000121,195.1
1900,1.392638,0.00000118,197.8
1925,1.391791,0.00000114,200.2
1950,1.394076,0.00000111,203.0
1975,1.390892,0.00000107,205.3
2000,1.392440,0.00000104,208.0
2025,1.391787,0.00000101,211.5
2050,1.390644,0.00000098,213.8
2075,1.392308,0.00000094,216.5
2100,1.392831,0.00000091,218.8
2125,1.390863,0.00000088,221.4
2150,1.390717,0.00000085,223.8
2175,1.389557,0.00000082,226.4
2200,1.390788,0.00000079,228.8
2225,1.391021,0.00000076,231.4
2250,1.390595,0.00000074,234.0
2275,1.390774,0.00000071,236.5
2300,1.389956,0.00000068,239.2
2325,1.389837,0.00000066,241.7
2350,1.388728,0.00000063,244.5
2375,1.390093,0.00000061,246.8
2400,1.390015,0.00000058,249.5
2425,1.390576,0.00000056,251.9
2450,1.389923,0.00000054,254.2
2475,1.388481,0.00000052,257.0
2500,1.389347,0.00000050,259.3
2525,1.389630,0.00000048,262.4
2550,1.389265,0.00000046,264.8
2575,1.389801,0.00000045,267.4
2600,1.390147,0.00000043,269.8
2625,1.388821,0.00000041,272.4
2650,1.389369,0.00000040,274.8
2675,1.390650,0.00000039,277.2
2700,1.389209,0.00000037,279.9
2725,1.388207,0.00000036,282.5
2750,1.387950,0.00000035,285.4
2775,1.390005,0.00000034,287.9
2800,1.390245,0.00000033,290.7
2825,1.389542,0.00000033,293.2
2850,1.389556,0.00000032,295.7
2875,1.390506,0.00000031,298.3
2900,1.390134,0.00000031,300.6
2925,1.390011,0.00000030,303.3
2950,1.390107,0.00000030,305.7
2975,1.388548,0.00000030,308.3
3000,1.388937,0.00000030,310.6
