step,loss,lr,elapsed_sec
25,7.505702,0.00000038,5.2
50,6.331154,0.00000075,10.1
75,5.374682,0.00000113,15.2
100,5.198732,0.00000150,19.9
125,4.349362,0.00000188,24.9
150,3.683309,0.00000225,30.0
175,2.970185,0.00000263,34.6
200,2.214403,0.00000300,39.5
225,1.902307,0.00000300,44.3
250,1.672357,0.00000300,48.9
275,1.563176,0.00000300,53.7
300,1.524397,0.00000300,58.6
325,1.494433,0.00000300,63.5
350,1.479532,0.00000299,68.0
375,1.462218,0.00000299,72.9
400,1.456867,0.00000299,77.7
425,1.447469,0.00000299,82.3
450,1.443980,0.00000298,87.4
475,1.436637,0.00000298,92.4
500,1.430811,0.00000297,97.2
525,1.433949,0.00000297,102.4
550,1.425797,0.00000296,107.4
575,1.424467,0.00000296,112.3
600,1.422331,0.00000295,116.9
625,1.418286,0.00000295,121.8
650,1.417278,0.00000294,126.7
675,1.414850,0.00000294,131.3
700,1.412359,0.00000293,136.4
725,1.409314,0.00000292,141.4
750,1.409745,0.00000291,146.2
775,1.410467,0.00000291,151.4
800,1.407272,0.00000290,156.5
825,1.407348,0.00000289,161.8
850,1.405990,0.00000288,166.4
875,1.402391,0.00000287,171.3
900,1.403796,0.00000286,176.2
925,1.401906,0.00000285,180.8
950,1.402102,0.00000284,185.7
975,1.401302,0.00000283,190.6
1000,1.398935,0.00000282,195.2
1025,1.399453,0.00000281,201.2
1050,1.399761,0.00000280,206.1
1075,1.398463,0.00000278,211.1
1100,1.399202,0.00000277,216.0
1125,1.397483,0.00000276,221.1
1150,1.397958,0.00000275,226.1
1175,1.397051,0.00000273,230.7
1200,1.396371,0.00000272,235.6
1225,1.394373,0.00000271,240.6
1250,1.394798,0.00000269,245.6
1275,1.392649,0.00000268,250.5
1300,1.392524,0.00000266,255.4
1325,1.393612,0.00000265,260.4
1350,1.393043,0.00000264,265.0
1375,1.392370,0.00000262,269.9
1400,1.392664,0.00000260,274.9
1425,1.390944,0.00000259,279.7
1450,1.392307,0.00000257,284.8
1475,1.391041,0.00000256,290.0
1500,1.391705,0.00000254,294.8
1525,1.390873,0.00000252,300.1
1550,1.391502,0.00000251,305.0
1575,1.390407,0.00000249,309.8
1600,1.389410,0.00000247,314.5
1625,1.390948,0.00000245,319.6
1650,1.389411,0.00000244,324.8
1675,1.389643,0.00000242,329.4
1700,1.390041,0.00000240,334.3
1725,1.388560,0.00000238,339.2
1750,1.389816,0.00000236,343.9
1775,1.389456,0.00000234,348.9
1800,1.387290,0.00000233,354.2
1825,1.389186,0.00000231,359.3
1850,1.387863,0.00000229,364.1
1875,1.387462,0.00000227,369.0
1900,1.387117,0.00000225,373.9
1925,1.388006,0.00000223,378.6
1950,1.387065,0.00000221,383.8
1975,1.387830,0.00000219,389.0
2000,1.386659,0.00000217,393.9
2025,1.387752,0.00000215,400.3
2050,1.385891,0.00000213,405.3
2075,1.385983,0.00000210,410.3
2100,1.386280,0.00000208,415.0
2125,1.386462,0.00000206,420.1
2150,1.387157,0.00000204,425.0
2175,1.386361,0.00000202,429.7
2200,1.385995,0.00000200,434.6
2225,1.385982,0.00000198,439.5
2250,1.386276,0.00000196,444.1
2275,1.385267,0.00000194,449.3
2300,1.386327,0.00000191,454.4
2325,1.386121,0.00000189,459.6
2350,1.385574,0.00000187,464.2
2375,1.385063,0.00000185,469.3
2400,1.384896,0.00000183,474.3
2425,1.384768,0.00000180,479.0
2450,1.385213,0.00000178,484.1
2475,1.384533,0.00000176,489.1
2500,1.385328,0.00000174,494.0
2525,1.383415,0.00000172,499.3
2550,1.384007,0.00000169,504.1
2575,1.384127,0.00000167,509.0
