step,loss,lr,elapsed_sec
25,8.711020,0.00000038,8.7
50,7.611537,0.00000075,16.4
75,6.851450,0.00000113,24.3
100,6.455129,0.00000150,32.6
125,6.131211,0.00000188,40.8
150,5.940802,0.00000225,48.3
175,5.751431,0.00000263,55.8
200,5.485560,0.00000300,63.6
225,5.312339,0.00000300,71.6
250,5.043979,0.00000300,80.1
275,4.851598,0.00000300,88.3
300,4.664861,0.00000300,96.3
325,4.534121,0.00000300,104.4
350,4.320142,0.00000299,112.7
375,4.127411,0.00000299,120.5
400,4.026489,0.00000299,128.5
425,3.837325,0.00000299,136.7
450,3.744256,0.00000298,145.0
475,3.553438,0.00000298,152.8
500,3.399695,0.00000297,160.4
525,3.288360,0.00000297,168.0
550,3.177127,0.00000296,175.7
575,3.031348,0.00000296,183.5
600,2.897027,0.00000295,191.5
625,2.773163,0.00000295,199.8
650,2.762231,0.00000294,207.6
675,2.617270,0.00000294,215.3
700,2.510487,0.00000293,223.5
725,2.420699,0.00000292,231.5
750,2.380262,0.00000291,239.8
775,2.265446,0.00000291,247.8
800,2.252545,0.00000290,255.8
825,2.161144,0.00000289,263.2
850,2.106387,0.00000288,270.8
875,2.086419,0.00000287,278.7
900,2.022820,0.00000286,286.8
925,1.976016,0.00000285,295.2
950,1.961124,0.00000284,303.5
975,1.903653,0.00000283,311.5
1000,1.862438,0.00000282,319.6
1025,1.842854,0.00000281,328.5
1050,1.831446,0.00000280,336.4
1075,1.804563,0.00000278,344.7
1100,1.801930,0.00000277,353.1
1125,1.772721,0.00000276,361.2
1150,1.750151,0.00000275,369.3
1175,1.729973,0.00000273,377.6
1200,1.724604,0.00000272,385.7
1225,1.709113,0.00000271,393.8
1250,1.712127,0.00000269,401.9
1275,1.683782,0.00000268,409.6
1300,1.677113,0.00000266,417.5
1325,1.669806,0.00000265,425.4
1350,1.660973,0.00000264,433.4
1375,1.646152,0.00000262,441.4
1400,1.639631,0.00000260,449.3
1425,1.636099,0.00000259,457.0
1450,1.627170,0.00000257,465.1
1475,1.625779,0.00000256,473.5
1500,1.610023,0.00000254,481.5
1525,1.603476,0.00000252,489.5
1550,1.608924,0.00000251,497.6
1575,1.602465,0.00000249,505.7
1600,1.592937,0.00000247,513.9
1625,1.588982,0.00000245,522.3
1650,1.581446,0.00000244,530.8
1675,1.586721,0.00000242,539.1
1700,1.585231,0.00000240,547.8
1725,1.579116,0.00000238,556.2
1750,1.563474,0.00000236,564.6
1775,1.565409,0.00000234,573.5
1800,1.563804,0.00000233,581.3
1825,1.558376,0.00000231,589.4
1850,1.551267,0.00000229,597.7
1875,1.552218,0.00000227,605.4
1900,1.551624,0.00000225,613.8
1925,1.550497,0.00000223,622.2
1950,1.543961,0.00000221,630.3
1975,1.541100,0.00000219,638.3
2000,1.545696,0.00000217,646.4
2025,1.539528,0.00000215,655.6
2050,1.540778,0.00000213,663.8
2075,1.537659,0.00000210,672.1
2100,1.530778,0.00000208,680.3
2125,1.530377,0.00000206,688.5
2150,1.524065,0.00000204,696.7
2175,1.527530,0.00000202,704.8
2200,1.526555,0.00000200,713.2
