step,loss,lr,elapsed_sec
25,7.685291,0.00000038,10.2
50,6.591094,0.00000075,19.7
75,6.175071,0.00000113,29.3
100,6.016917,0.00000150,38.8
125,5.987893,0.00000188,48.2
150,5.578592,0.00000225,57.7
175,5.428984,0.00000263,67.4
200,5.672724,0.00000300,77.0
225,5.602557,0.00000300,86.1
250,5.211320,0.00000300,95.7
275,5.280270,0.00000300,105.0
300,5.048627,0.00000300,113.9
325,5.135729,0.00000300,122.8
350,5.184436,0.00000300,131.7
375,5.102734,0.00000300,140.6
400,5.114702,0.00000300,149.5
425,5.089290,0.00000299,158.3
450,4.990632,0.00000299,167.2
475,4.919873,0.00000299,176.2
500,5.004436,0.00000299,185.1
525,4.922216,0.00000299,195.7
550,4.935888,0.00000299,204.6
575,5.076750,0.00000298,213.4
600,4.923247,0.00000298,222.3
625,4.993623,0.00000298,231.5
650,4.760963,0.00000298,241.1
675,5.008274,0.00000298,250.7
700,4.807135,0.00000297,259.8
725,4.835138,0.00000297,268.9
750,4.860745,0.00000297,278.2
775,4.702560,0.00000296,287.7
800,4.715741,0.00000296,297.2
825,4.949184,0.00000296,306.8
850,4.635585,0.00000295,316.3
875,4.796730,0.00000295,325.7
900,4.727587,0.00000295,334.8
925,4.688802,0.00000294,344.1
950,4.775795,0.00000294,353.1
975,4.865928,0.00000293,362.3
1000,4.784536,0.00000293,372.0
1025,4.672790,0.00000293,382.9
1050,4.591593,0.00000292,391.7
1075,4.765466,0.00000292,400.8
1100,4.883209,0.00000291,410.4
1125,4.657261,0.00000291,420.0
1150,4.845371,0.00000290,429.5
1175,4.700510,0.00000290,439.0
1200,4.700729,0.00000289,448.4
1225,4.931809,0.00000289,457.7
1250,4.706596,0.00000288,467.4
1275,4.599531,0.00000288,476.8
1300,4.536064,0.00000287,486.0
1325,4.534165,0.00000286,495.5
1350,4.883037,0.00000286,505.1
1375,4.708839,0.00000285,514.8
1400,4.715161,0.00000285,524.4
1425,4.591785,0.00000284,534.0
1450,4.591787,0.00000283,543.5
1475,4.547571,0.00000283,553.1
1500,4.631797,0.00000282,562.7
1525,4.435474,0.00000281,573.7
1550,4.493865,0.00000281,582.9
1575,4.507109,0.00000280,592.2
1600,4.555937,0.00000279,601.8
1625,4.628711,0.00000278,611.4
1650,4.531718,0.00000278,621.0
1675,4.508173,0.00000277,630.6
1700,4.475464,0.00000276,640.2
1725,4.575879,0.00000275,649.7
1750,4.590223,0.00000275,659.4
1775,4.703643,0.00000274,669.1
1800,4.441088,0.00000273,678.5
1825,4.580827,0.00000272,688.1
1850,4.460703,0.00000271,697.0
1875,4.651991,0.00000270,706.0
1900,4.380134,0.00000270,715.0
1925,4.421233,0.00000269,724.3
1950,4.428013,0.00000268,733.3
1975,4.364457,0.00000267,742.2
2000,4.427446,0.00000266,751.8
2025,4.615015,0.00000265,763.1
2050,4.651282,0.00000264,772.6
2075,4.446172,0.00000263,782.1
2100,4.464125,0.00000262,791.7
2125,4.309993,0.00000261,801.3
2150,4.648540,0.00000260,810.9
2175,4.395082,0.00000259,820.3
2200,4.314101,0.00000259,829.8
2225,4.569364,0.00000258,838.7
2250,4.425632,0.00000257,847.7
2275,4.611986,0.00000256,857.0
2300,4.499511,0.00000255,866.7
2325,4.447182,0.00000253,876.3
2350,4.608161,0.00000252,886.0
2375,4.556119,0.00000251,895.9
