step,loss,lr,elapsed_sec
25,5.054319,0.00000033,9.8
50,4.642514,0.00000067,19.6
75,4.174916,0.00000100,29.3
100,3.591768,0.00000133,38.7
125,2.890711,0.00000167,48.5
150,2.135289,0.00000200,57.9
175,1.413137,0.00000200,67.2
200,0.904981,0.00000200,77.0
225,0.484599,0.00000200,86.6
250,0.267793,0.00000200,96.3
275,0.139738,0.00000200,105.8
300,0.078889,0.00000200,115.5
325,0.048584,0.00000200,125.3
350,0.032821,0.00000199,134.8
375,0.019940,0.00000199,144.5
400,0.013986,0.00000199,154.0
425,0.013673,0.00000199,163.4
450,0.011415,0.00000199,173.1
475,0.006089,0.00000199,182.9
500,0.005059,0.00000198,192.7
525,0.005006,0.00000198,202.7
550,0.003220,0.00000198,212.5
575,0.002710,0.00000198,222.2
600,0.002556,0.00000197,231.6
625,0.003561,0.00000197,241.3
650,0.002037,0.00000197,250.9
675,0.001777,0.00000196,260.3
700,0.000892,0.00000196,270.0
725,0.001523,0.00000196,279.8
750,0.002208,0.00000195,289.6
775,0.001008,0.00000195,298.7
800,0.001469,0.00000195,308.6
825,0.001140,0.00000194,318.4
850,0.000688,0.00000194,327.9
875,0.000566,0.00000193,337.6
900,0.000712,0.00000193,347.4
925,0.000611,0.00000192,356.8
950,0.000790,0.00000192,366.4
975,0.000715,0.00000191,376.0
1000,0.000496,0.00000191,385.7
1025,0.001142,0.00000190,395.8
1050,0.000652,0.00000190,404.9
1075,0.000354,0.00000189,414.2
1100,0.000623,0.00000189,423.6
1125,0.001081,0.00000188,433.4
1150,0.000434,0.00000187,443.0
1175,0.000224,0.00000187,452.5
1200,0.001192,0.00000186,462.2
1225,0.000234,0.00000185,471.9
1250,0.000327,0.00000185,481.7
1275,0.000465,0.00000184,491.1
1300,0.000206,0.00000183,501.0
1325,0.000252,0.00000183,510.7
1350,0.000252,0.00000182,520.2
1375,0.000168,0.00000181,530.0
1400,0.000241,0.00000180,539.7
