step,loss,lr,elapsed_sec
25,11.267256,0.00000033,10.0
50,7.492123,0.00000067,19.6
75,5.350494,0.00000100,29.2
100,4.439477,0.00000133,38.9
125,3.365140,0.00000167,48.3
150,2.330441,0.00000200,57.8
175,1.444566,0.00000200,67.4
200,0.691663,0.00000200,77.1
225,0.291321,0.00000200,86.7
250,0.144485,0.00000200,95.9
275,0.081841,0.00000200,105.6
300,0.048309,0.00000200,115.2
325,0.027413,0.00000200,124.9
350,0.022922,0.00000199,134.5
375,0.015899,0.00000199,143.9
400,0.011445,0.00000199,153.6
425,0.007793,0.00000199,163.3
450,0.005974,0.00000199,172.9
475,0.006411,0.00000199,182.5
500,0.005796,0.00000198,191.9
525,0.003786,0.00000198,201.6
550,0.002099,0.00000198,211.3
575,0.003438,0.00000198,220.9
600,0.002346,0.00000197,230.7
625,0.002350,0.00000197,240.0
650,0.002012,0.00000197,249.7
675,0.001388,0.00000196,259.2
700,0.001043,0.00000196,268.8
725,0.002550,0.00000196,278.5
750,0.001010,0.00000195,287.9
775,0.001064,0.00000195,297.5
800,0.000925,0.00000195,307.2
825,0.000425,0.00000194,317.0
850,0.000668,0.00000194,326.7
875,0.000597,0.00000193,336.1
900,0.000466,0.00000193,345.8
925,0.000552,0.00000192,355.5
950,0.000464,0.00000192,365.2
975,0.000399,0.00000191,374.8
1000,0.000565,0.00000191,384.2
1025,0.000978,0.00000190,394.6
1050,0.000463,0.00000190,404.2
1075,0.000218,0.00000189,413.6
1100,0.000303,0.00000189,422.9
1125,0.000299,0.00000188,431.8
1150,0.000431,0.00000187,441.6
1175,0.000674,0.00000187,451.4
1200,0.000268,0.00000186,461.0
1225,0.000250,0.00000185,470.6
1250,0.000220,0.00000185,479.8
1275,0.000252,0.00000184,489.0
1300,0.000463,0.00000183,498.3
1325,0.000183,0.00000183,508.1
1350,0.000151,0.00000182,517.6
1375,0.000341,0.00000181,526.9
1400,0.000211,0.00000180,536.6
1425,0.000296,0.00000180,546.1
1450,0.000140,0.00000179,555.9
1475,0.000112,0.00000178,565.5
1500,0.000122,0.00000177,574.9
1525,0.000138,0.00000177,584.5
1550,0.000125,0.00000176,593.8
1575,0.000192,0.00000175,603.5
1600,0.000271,0.00000174,613.1
1625,0.000125,0.00000173,622.5
1650,0.000073,0.00000172,632.2
1675,0.000506,0.00000171,641.9
1700,0.000196,0.00000171,651.4
1725,0.000086,0.00000170,661.0
1750,0.000047,0.00000169,670.4
1775,0.000084,0.00000168,680.1
1800,0.000189,0.00000167,689.7
1825,0.000077,0.00000166,699.3
1850,0.000282,0.00000165,709.0
1875,0.000099,0.00000164,718.4
1900,0.000305,0.00000163,728.1
1925,0.000168,0.00000162,737.7
1950,0.000279,0.00000161,747.1
1975,0.000075,0.00000160,756.2
2000,0.000067,0.00000159,765.7
2025,0.000115,0.00000158,776.5
2050,0.000113,0.00000157,786.2
2075,0.000097,0.00000156,795.8
2100,0.000054,0.00000155,805.6
2125,0.000060,0.00000154,815.0
2150,0.000087,0.00000153,824.6
2175,0.000096,0.00000152,834.3
2200,0.000043,0.00000151,844.1
2225,0.000049,0.00000150,853.7
2250,0.000039,0.00000149,863.2
2275,0.000032,0.00000147,872.9
2300,0.000163,0.00000146,882.5
2325,0.000107,0.00000145,892.2
2350,0.000038,0.00000144,902.0
2375,0.000051,0.00000143,911.4
2400,0.000074,0.00000142,921.2
2425,0.000058,0.00000141,930.8
2450,0.000065,0.00000140,940.5
2475,0.000036,0.00000139,950.3
2500,0.000028,0.00000137,959.6
2525,0.000027,0.00000136,969.8
2550,0.000098,0.00000135,979.5
2575,0.000045,0.00000134,989.0
2600,0.000036,0.00000133,998.6
2625,0.000173,0.00000132,1008.0
2650,0.000028,0.00000130,1017.8
2675,0.000038,0.00000129,1027.5
2700,0.000020,0.00000128,1037.2
2725,0.000071,0.00000127,1046.8
2750,0.000032,0.00000126,1055.9
2775,0.000026,0.00000124,1065.5
2800,0.000030,0.00000123,1074.9
2825,0.000298,0.00000122,1084.0
2850,0.000057,0.00000121,1093.2
2875,0.000024,0.00000120,1102.2
2900,0.000020,0.00000118,1112.0
2925,0.000118,0.00000117,1121.6
2950,0.000023,0.00000116,1131.3
2975,0.000021,0.00000115,1140.8
3000,0.000013,0.00000114,1150.1
3025,0.000015,0.00000112,1160.9
3050,0.000036,0.00000111,1170.6
3075,0.000016,0.00000110,1180.3
3100,0.000034,0.00000109,1189.9
3125,0.000014,0.00000108,1199.0
3150,0.000053,0.00000106,1208.7
3175,0.000022,0.00000105,1218.4
3200,0.000083,0.00000104,1228.0
3225,0.000027,0.00000103,1237.7
3250,0.000191,0.00000102,1247.0
3275,0.000028,0.00000100,1256.7
3300,0.000068,0.00000099,1266.4
3325,0.000374,0.00000098,1275.8
3350,0.000022,0.00000097,1285.2
3375,0.000014,0.00000096,1294.1
3400,0.000016,0.00000094,1303.6
3425,0.000024,0.00000093,1313.2
3450,0.000039,0.00000092,1322.9
3475,0.000015,0.00000091,1332.4
3500,0.000016,0.00000090,1341.2
3525,0.000020,0.00000088,1350.9
3550,0.000012,0.00000087,1360.3
3575,0.000012,0.00000086,1369.9
3600,0.000014,0.00000085,1379.3
3625,0.000022,0.00000084,1388.8
3650,0.000121,0.00000083,1398.1
3675,0.000019,0.00000081,1407.8
3700,0.000010,0.00000080,1417.3
3725,0.000034,0.00000079,1427.0
3750,0.000015,0.00000078,1436.4
3775,0.000011,0.00000077,1446.2
3800,0.000024,0.00000076,1456.1
3825,0.000016,0.00000075,1465.8
3850,0.000012,0.00000074,1475.6
3875,0.000013,0.00000073,1485.0
3900,0.000284,0.00000071,1494.7
3925,0.000017,0.00000070,1504.4
3950,0.000033,0.00000069,1514.1
3975,0.000016,0.00000068,1523.8
4000,0.000010,0.00000067,1533.2
4025,0.000051,0.00000066,1544.2
4050,0.000007,0.00000065,1553.9
4075,0.000068,0.00000064,1563.6
4100,0.000030,0.00000063,1573.3
4125,0.000011,0.00000062,1582.7
4150,0.000006,0.00000061,1592.4
4175,0.000009,0.00000060,1602.1
4200,0.000011,0.00000059,1611.8
4225,0.000032,0.00000058,1621.4
4250,0.000013,0.00000057,1630.7
4275,0.000008,0.00000056,1640.4
4300,0.000006,0.00000055,1650.2
4325,0.000009,0.00000054,1660.0
4350,0.000009,0.00000053,1669.7
4375,0.000010,0.00000052,1679.0
4400,0.000007,0.00000051,1688.7
4425,0.000008,0.00000050,1698.6
4450,0.000019,0.00000049,1708.3
4475,0.000008,0.00000049,1717.9
4500,0.000005,0.00000048,1727.3
4525,0.000013,0.00000047,1737.6
4550,0.000006,0.00000046,1747.5
4575,0.000009,0.00000045,1757.2
4600,0.000009,0.00000044,1767.1
4625,0.000007,0.00000043,1776.4
4650,0.000026,0.00000043,1786.2
4675,0.000008,0.00000042,1796.0
4700,0.000005,0.00000041,1805.8
4725,0.000004,0.00000040,1815.5
4750,0.000006,0.00000040,1824.9
4775,0.000007,0.00000039,1834.6
4800,0.000006,0.00000038,1844.4
4825,0.000010,0.00000037,1854.0
4850,0.000017,0.00000037,1863.9
4875,0.000008,0.00000036,1873.1
4900,0.000005,0.00000035,1882.9
4925,0.000005,0.00000035,1892.9
4950,0.000004,0.00000034,1902.6
4975,0.000006,0.00000033,1912.5
5000,0.000007,0.00000033,1922.0
5025,0.000006,0.00000032,1932.9
5050,0.000006,0.00000031,1942.5
5075,0.000021,0.00000031,1952.1
5100,0.000007,0.00000030,1961.5
5125,0.000004,0.00000030,1970.9
5150,0.000005,0.00000029,1980.7
5175,0.000007,0.00000029,1990.5
5200,0.000004,0.00000028,2000.3
5225,0.000006,0.00000028,2010.1
5250,0.000005,0.00000027,2019.5
5275,0.000004,0.00000027,2029.3
5300,0.000008,0.00000026,2039.1
5325,0.000005,0.00000026,2048.9
5350,0.000007,0.00000025,2058.4
5375,0.000004,0.00000025,2067.7
5400,0.000008,0.00000025,2077.3
5425,0.000008,0.00000024,2086.7
5450,0.000005,0.00000024,2096.3
5475,0.000012,0.00000024,2105.9
5500,0.000004,0.00000023,2115.3
5525,0.000008,0.00000023,2125.6
5550,0.000008,0.00000023,2135.2
5575,0.000006,0.00000022,2145.2
5600,0.000006,0.00000022,2154.7
5625,0.000004,0.00000022,2163.9
5650,0.000005,0.00000022,2173.2
5675,0.000119,0.00000021,2183.0
5700,0.000004,0.00000021,2192.9
5725,0.000005,0.00000021,2202.4
5750,0.000017,0.00000021,2211.6
5775,0.000004,0.00000021,2220.8
5800,0.000005,0.00000021,2230.5
5825,0.000005,0.00000020,2240.1
5850,0.000005,0.00000020,2249.9
5875,0.000010,0.00000020,2259.2
5900,0.000011,0.00000020,2269.1
5925,0.000023,0.00000020,2278.8
5950,0.000032,0.00000020,2288.6
5975,0.000004,0.00000020,2298.4
6000,0.000004,0.00000020,2307.9
