step,loss,lr,elapsed_sec
25,12.685473,0.00000025,19.1
50,9.391162,0.00000050,38.1
75,6.531790,0.00000075,57.2
100,5.479983,0.00000100,75.7
125,4.685531,0.00000125,94.9
150,4.007663,0.00000150,114.1
175,3.429482,0.00000175,132.7
200,2.661072,0.00000200,151.9
225,1.955664,0.00000225,170.8
250,1.238384,0.00000250,190.0
275,0.659453,0.00000275,208.8
300,0.318111,0.00000300,227.7
325,0.148095,0.00000300,246.9
350,0.090262,0.00000300,265.8
375,0.056476,0.00000300,284.6
400,0.037746,0.00000300,303.9
425,0.024792,0.00000300,322.6
450,0.016710,0.00000300,341.7
475,0.011200,0.00000300,360.8
500,0.006828,0.00000300,379.5
525,0.006409,0.00000300,399.2
550,0.005329,0.00000300,418.4
575,0.003368,0.00000300,437.5
600,0.002810,0.00000300,456.4
625,0.002597,0.00000299,475.3
650,0.002175,0.00000299,494.6
675,0.003304,0.00000299,513.5
700,0.002437,0.00000299,532.3
725,0.001274,0.00000299,551.5
750,0.001796,0.00000299,570.7
775,0.001310,0.00000299,589.3
800,0.000824,0.00000299,608.4
825,0.001211,0.00000299,627.3
850,0.001102,0.00000299,646.1
875,0.001013,0.00000298,665.3
900,0.000664,0.00000298,684.1
925,0.000720,0.00000298,703.0
950,0.000721,0.00000298,722.1
975,0.000347,0.00000298,741.0
1000,0.000633,0.00000298,760.1
1025,0.001175,0.00000297,779.1
1050,0.000485,0.00000297,798.3
1075,0.000524,0.00000297,817.5
1100,0.000470,0.00000297,836.0
1125,0.000339,0.00000297,855.2
1150,0.000252,0.00000296,874.4
1175,0.000466,0.00000296,893.0
1200,0.000294,0.00000296,912.2
1225,0.000544,0.00000296,931.0
1250,0.000210,0.00000296,950.2
1275,0.000597,0.00000295,969.1
1300,0.000439,0.00000295,987.9
1325,0.000477,0.00000295,1007.2
1350,0.000173,0.00000295,1026.0
1375,0.000335,0.00000294,1044.8
1400,0.000265,0.00000294,1064.1
1425,0.000172,0.00000294,1082.6
1450,0.000138,0.00000294,1101.9
1475,0.000355,0.00000293,1121.2
1500,0.000171,0.00000293,1140.3
1525,0.000189,0.00000293,1159.6
1550,0.000249,0.00000292,1178.9
1575,0.000144,0.00000292,1197.7
1600,0.000115,0.00000292,1216.7
1625,0.000141,0.00000292,1235.6
1650,0.000548,0.00000291,1254.8
1675,0.000084,0.00000291,1273.9
1700,0.000455,0.00000291,1292.5
1725,0.000145,0.00000290,1311.7
1750,0.000294,0.00000290,1330.8
1775,0.000138,0.00000290,1349.5
1800,0.000128,0.00000289,1368.7
1825,0.000158,0.00000289,1387.5
1850,0.000102,0.00000288,1406.4
1875,0.000096,0.00000288,1425.5
1900,0.000067,0.00000288,1444.3
1925,0.000113,0.00000287,1463.5
1950,0.000873,0.00000287,1482.4
1975,0.000079,0.00000287,1501.2
2000,0.000108,0.00000286,1520.4
2025,0.000096,0.00000286,1539.2
2050,0.000069,0.00000285,1558.5
2075,0.000152,0.00000285,1577.6
2100,0.000136,0.00000285,1596.2
2125,0.000046,0.00000284,1615.4
2150,0.000124,0.00000284,1634.6
2175,0.000515,0.00000283,1653.4
2200,0.000069,0.00000283,1672.3
2225,0.000102,0.00000282,1691.2
2250,0.000068,0.00000282,1710.4
2275,0.000045,0.00000281,1729.3
2300,0.000067,0.00000281,1748.1
2325,0.000062,0.00000281,1767.3
2350,0.000062,0.00000280,1786.1
2375,0.000100,0.00000280,1805.2
2400,0.000049,0.00000279,1824.5
2425,0.000033,0.00000279,1843.3
2450,0.000031,0.00000278,1862.2
2475,0.000049,0.00000278,1881.4
2500,0.000077,0.00000277,1900.3
2525,0.000036,0.00000277,1920.0
2550,0.000094,0.00000276,1939.0
2575,0.000047,0.00000276,1957.8
2600,0.000028,0.00000275,1976.8
2625,0.000028,0.00000275,1995.7
2650,0.000025,0.00000274,2014.8
2675,0.000322,0.00000273,2034.0
2700,0.000042,0.00000273,2052.5
2725,0.000034,0.00000272,2071.8
2750,0.000051,0.00000272,2090.9
2775,0.000080,0.00000271,2109.5
2800,0.000057,0.00000271,2128.7
2825,0.000246,0.00000270,2147.6
2850,0.000035,0.00000270,2166.5
2875,0.000045,0.00000269,2185.7
2900,0.000029,0.00000268,2204.5
2925,0.000055,0.00000268,2223.6
2950,0.000019,0.00000267,2242.6
2975,0.000020,0.00000267,2261.5
3000,0.000030,0.00000266,2280.7
3025,0.000017,0.00000265,2300.9
3050,0.000039,0.00000265,2318.8
3075,0.000032,0.00000264,2338.0
3100,0.000019,0.00000264,2356.9
3125,0.000021,0.00000263,2375.8
3150,0.000040,0.00000262,2395.0
3175,0.000012,0.00000262,2413.9
3200,0.000022,0.00000261,2432.9
3225,0.000021,0.00000260,2451.7
3250,0.000020,0.00000260,2471.0
3275,0.000026,0.00000259,2489.9
3300,0.000022,0.00000259,2509.0
3325,0.000023,0.00000258,2528.3
3350,0.000016,0.00000257,2547.3
3375,0.000030,0.00000257,2566.0
3400,0.000016,0.00000256,2585.2
3425,0.000026,0.00000255,2604.0
3450,0.000136,0.00000255,2622.9
3475,0.000015,0.00000254,2642.1
3500,0.000015,0.00000253,2660.9
3525,0.000024,0.00000252,2680.6
3550,0.000021,0.00000252,2699.4
3575,0.000034,0.00000251,2718.2
3600,0.000036,0.00000250,2737.3
3625,0.000035,0.00000250,2755.8
3650,0.000019,0.00000249,2775.1
3675,0.000032,0.00000248,2794.3
3700,0.000205,0.00000248,2812.9
3725,0.000016,0.00000247,2832.1
3750,0.000014,0.00000246,2851.1
3775,0.000022,0.00000245,2869.8
3800,0.000013,0.00000245,2889.1
3825,0.000038,0.00000244,2908.0
3850,0.000009,0.00000243,2927.2
3875,0.000012,0.00000242,2946.1
3900,0.000018,0.00000242,2964.9
3925,0.000015,0.00000241,2984.2
3950,0.000009,0.00000240,3003.0
3975,0.000014,0.00000239,3021.8
4000,0.000010,0.00000239,3041.0
4025,0.000012,0.00000238,3061.1
4050,0.000012,0.00000237,3080.4
4075,0.000078,0.00000236,3098.2
4100,0.000012,0.00000236,3117.1
4125,0.000026,0.00000235,3136.0
4150,0.000056,0.00000234,3155.2
4175,0.000027,0.00000233,3174.3
4200,0.000027,0.00000233,3193.2
4225,0.000023,0.00000232,3212.1
4250,0.000048,0.00000231,3231.3
4275,0.000013,0.00000230,3250.2
4300,0.000018,0.00000229,3269.0
4325,0.000011,0.00000229,3288.1
4350,0.000009,0.00000228,3307.1
4375,0.000039,0.00000227,3325.8
4400,0.000013,0.00000226,3344.9
4425,0.000066,0.00000225,3363.8
4450,0.000005,0.00000225,3382.7
4475,0.000010,0.00000224,3401.9
4500,0.000017,0.00000223,3420.8
4525,0.000011,0.00000222,3445.8
4025,5.304573,0.00000238,40.8
4550,0.000957,0.00000221,3469.4
4575,0.000311,0.00000220,3493.2
4050,4.020176,0.00000237,80.8
4600,0.000006,0.00000220,3517.4
4625,0.000009,0.00000219,3541.1
4075,3.024376,0.00000236,120.5
4650,0.000014,0.00000218,3565.2
4100,2.145675,0.00000236,160.7
4675,0.000006,0.00000217,3589.4
