step,loss,lr,elapsed_sec
25,7.778936,0.00000050,4.2
50,6.694463,0.00000100,7.8
75,6.199057,0.00000150,11.6
100,6.006995,0.00000200,14.9
125,5.254827,0.00000200,18.6
150,5.062647,0.00000200,22.2
175,4.470794,0.00000199,26.1
200,4.231723,0.00000199,29.7
225,3.952805,0.00000198,33.1
250,3.544756,0.00000197,36.7
275,3.240911,0.00000196,40.4
300,3.000692,0.00000195,43.6
325,2.763076,0.00000194,47.1
350,2.738781,0.00000192,50.3
375,2.508061,0.00000191,53.7
400,2.390967,0.00000189,57.0
425,2.295683,0.00000187,60.4
450,2.326632,0.00000185,63.5
475,2.151373,0.00000183,66.9
500,2.151168,0.00000181,70.1
525,2.066075,0.00000179,73.7
550,1.945265,0.00000176,76.9
575,1.982738,0.00000174,80.3
600,1.923636,0.00000171,83.4
625,1.899523,0.00000168,86.8
650,1.910469,0.00000165,90.0
675,1.864242,0.00000162,93.4
700,1.835148,0.00000159,97.0
725,1.820744,0.00000156,100.8
750,1.849088,0.00000153,104.4
775,1.805483,0.00000150,107.8
800,1.805766,0.00000146,111.3
825,1.781010,0.00000143,115.2
850,1.760326,0.00000139,118.8
875,1.762559,0.00000136,122.5
900,1.736343,0.00000132,125.8
925,1.734501,0.00000128,129.3
950,1.717748,0.00000125,132.5
975,1.721418,0.00000121,136.3
1000,1.736687,0.00000117,139.7
1025,1.727689,0.00000114,144.3
1050,1.727040,0.00000110,147.9
1075,1.699302,0.00000106,151.5
1100,1.695655,0.00000103,155.1
1125,1.699657,0.00000099,158.8
1150,1.694675,0.00000095,162.2
1175,1.676840,0.00000092,166.0
1200,1.699486,0.00000088,169.5
1225,1.689050,0.00000084,173.4
1250,1.700410,0.00000081,177.0
1275,1.666687,0.00000077,180.8
1300,1.664913,0.00000074,184.3
1325,1.673875,0.00000070,188.2
1350,1.665777,0.00000067,191.7
1375,1.660276,0.00000064,195.4
1400,1.674899,0.00000061,199.1
1425,1.658239,0.00000058,202.9
1450,1.647828,0.00000055,206.5
1475,1.660557,0.00000052,210.2
1500,1.680111,0.00000049,213.6
1525,1.663886,0.00000046,217.6
1550,1.661826,0.00000044,220.9
1575,1.660422,0.00000041,224.6
1600,1.664540,0.00000039,228.1
1625,1.650718,0.00000037,231.8
1650,1.640066,0.00000035,235.2
1675,1.646478,0.00000033,239.0
1700,1.637675,0.00000031,242.6
1725,1.633266,0.00000029,246.3
