step,loss,lr,elapsed_sec
25,6.517621,0.00000050,5.0
50,5.965510,0.00000100,9.3
75,5.271337,0.00000150,14.1
100,4.952914,0.00000200,18.6
125,4.457451,0.00000200,23.3
150,4.453127,0.00000200,27.6
175,3.817043,0.00000199,32.4
200,3.607360,0.00000199,36.7
225,3.310417,0.00000198,41.5
250,2.985700,0.00000197,45.9
275,2.968616,0.00000196,50.5
300,2.581730,0.00000195,54.9
325,2.545391,0.00000194,59.6
350,2.382508,0.00000192,63.9
375,2.272674,0.00000191,68.7
400,2.317233,0.00000189,73.0
425,2.184939,0.00000187,77.7
450,2.110648,0.00000185,82.1
475,2.037094,0.00000183,86.7
500,2.005912,0.00000181,91.1
525,1.956630,0.00000179,95.9
550,1.908966,0.00000176,100.2
575,1.900983,0.00000174,104.9
600,1.884433,0.00000171,109.3
625,1.858013,0.00000168,114.0
650,1.822814,0.00000165,118.3
675,1.829072,0.00000162,122.9
700,1.833820,0.00000159,127.2
725,1.783686,0.00000156,131.9
750,1.773264,0.00000153,136.3
775,1.774729,0.00000150,140.9
800,1.767622,0.00000146,145.3
825,1.738847,0.00000143,150.0
850,1.740983,0.00000139,154.3
875,1.727641,0.00000136,159.0
900,1.744648,0.00000132,163.3
925,1.713843,0.00000128,168.0
950,1.706077,0.00000125,172.2
975,1.699196,0.00000121,176.9
1000,1.702873,0.00000117,181.1
1025,1.687849,0.00000114,186.9
1050,1.693749,0.00000110,191.2
1075,1.682445,0.00000106,195.7
1100,1.670259,0.00000103,200.1
1125,1.676543,0.00000099,204.5
1150,1.656955,0.00000095,208.4
1175,1.672591,0.00000092,212.8
1200,1.660003,0.00000088,217.2
1225,1.666206,0.00000084,222.0
1250,1.654152,0.00000081,226.4
1275,1.669570,0.00000077,231.0
1300,1.665300,0.00000074,235.5
1325,1.650818,0.00000070,240.2
1350,1.636045,0.00000067,244.6
1375,1.642614,0.00000064,249.2
1400,1.656066,0.00000061,253.4
1425,1.648573,0.00000058,258.0
1450,1.658450,0.00000055,262.4
1475,1.635994,0.00000052,267.0
1500,1.635102,0.00000049,271.4
1525,1.634971,0.00000046,276.0
1550,1.642330,0.00000044,280.0
1575,1.645570,0.00000041,284.6
1600,1.651914,0.00000039,289.0
1625,1.634500,0.00000037,293.7
1650,1.636987,0.00000035,298.1
1675,1.629747,0.00000033,302.8
1700,1.624731,0.00000031,307.2
1725,1.628766,0.00000029,311.9
1750,1.632613,0.00000028,316.4
1775,1.620552,0.00000026,321.1
1800,1.620692,0.00000025,325.6
1825,1.617738,0.00000024,330.3
1850,1.616951,0.00000023,334.5
1875,1.623809,0.00000022,339.1
1900,1.611935,0.00000021,343.5
1925,1.618254,0.00000021,348.2
1950,1.626811,0.00000020,352.5
1975,1.621557,0.00000020,357.2
2000,1.629798,0.00000020,361.6
25,5.868698,0.00000050,1.7
50,5.772882,0.00000100,3.2
75,6.057727,0.00000150,4.4
100,5.386636,0.00000200,5.9
125,5.365395,0.00000200,7.1
150,5.149402,0.00000200,8.6
175,5.641971,0.00000199,9.8
200,5.362380,0.00000199,11.3
225,5.212046,0.00000198,12.5
250,4.850947,0.00000197,14.0
275,5.027930,0.00000196,15.3
300,4.903265,0.00000195,16.9
325,4.913899,0.00000194,18.1
350,4.896455,0.00000192,19.7
375,4.484736,0.00000191,20.9
400,5.044615,0.00000189,22.3
425,4.821744,0.00000187,23.5
450,5.142571,0.00000185,25.0
475,4.695361,0.00000183,26.2
500,4.966135,0.00000181,27.8
525,5.028651,0.00000179,29.4
550,4.710195,0.00000176,31.0
575,4.777753,0.00000174,33.3
25,6.218088,0.00000050,3.0
600,4.705907,0.00000171,36.1
50,5.473028,0.00000100,5.9
625,4.453809,0.00000168,38.6
75,5.602444,0.00000150,8.2
650,4.533457,0.00000165,41.2
100,5.487388,0.00000200,11.1
675,4.346622,0.00000162,43.7
125,5.440993,0.00000200,13.4
700,5.000741,0.00000159,46.2
150,5.409741,0.00000200,16.3
725,4.541033,0.00000156,48.7
175,5.179420,0.00000199,18.7
750,4.625910,0.00000153,51.3
200,5.202329,0.00000199,21.6
775,4.607857,0.00000150,53.8
225,5.284623,0.00000198,23.9
800,4.636685,0.00000146,56.3
250,4.967719,0.00000197,26.8
825,4.252299,0.00000143,58.9
275,4.956188,0.00000196,29.2
850,4.692394,0.00000139,61.4
300,4.827348,0.00000195,32.0
875,4.611901,0.00000136,64.2
325,4.766302,0.00000194,34.5
900,4.373452,0.00000132,66.6
350,4.913410,0.00000192,37.8
925,4.470329,0.00000128,70.3
25,5.894190,0.00000050,4.5
375,4.694668,0.00000191,41.7
950,4.523647,0.00000125,74.1
50,5.568761,0.00000100,8.4
400,4.699736,0.00000189,45.7
975,4.395261,0.00000121,78.0
75,5.709859,0.00000150,12.1
425,4.665461,0.00000187,49.6
1000,4.380283,0.00000117,81.8
100,5.343629,0.00000200,15.9
450,4.577848,0.00000185,53.0
125,5.710710,0.00000200,19.4
1025,4.212678,0.00000114,87.2
475,4.688493,0.00000183,56.7
150,5.595090,0.00000200,23.3
1050,4.296534,0.00000110,90.8
500,4.589038,0.00000181,60.8
175,5.376353,0.00000199,26.8
1075,4.242779,0.00000106,94.9
525,4.850727,0.00000179,65.1
200,5.204238,0.00000199,30.7
1100,4.201320,0.00000103,98.6
550,4.689279,0.00000176,69.1
225,5.202373,0.00000198,34.5
1125,4.658194,0.00000099,102.7
575,4.573151,0.00000174,72.9
250,5.206344,0.00000197,38.4
1150,4.472935,0.00000095,106.4
600,4.405801,0.00000171,76.9
275,5.141937,0.00000196,42.2
1175,4.518574,0.00000092,110.5
625,4.600171,0.00000168,81.0
300,5.041351,0.00000195,46.2
1200,4.281956,0.00000088,114.2
650,4.805819,0.00000165,84.8
325,5.253529,0.00000194,49.9
1225,4.024675,0.00000084,118.3
675,4.775107,0.00000162,88.9
350,5.055160,0.00000192,53.9
1250,4.165033,0.00000081,122.2
