step,loss,lr,elapsed_sec
25,7.293032,0.00000050,8.2
50,6.202342,0.00000100,15.6
75,5.191593,0.00000150,22.9
100,4.056647,0.00000200,30.2
125,3.090075,0.00000200,37.4
150,2.394509,0.00000200,44.7
175,2.055298,0.00000199,52.0
200,1.889537,0.00000199,59.4
225,1.813796,0.00000198,66.6
250,1.748422,0.00000197,73.9
275,1.709562,0.00000196,81.1
300,1.674932,0.00000195,88.4
325,1.649452,0.00000194,95.8
350,1.631600,0.00000192,103.1
375,1.623338,0.00000191,109.9
400,1.604194,0.00000189,116.6
425,1.587785,0.00000187,123.5
450,1.591235,0.00000185,130.2
475,1.567576,0.00000183,137.3
500,1.565440,0.00000181,144.6
525,1.553039,0.00000179,152.1
550,1.545753,0.00000176,159.6
575,1.536552,0.00000174,166.8
600,1.541691,0.00000171,174.1
625,1.527997,0.00000168,181.3
650,1.527945,0.00000165,188.9
675,1.527682,0.00000162,196.3
700,1.517074,0.00000159,203.8
725,1.517627,0.00000156,211.5
750,1.506381,0.00000153,219.0
775,1.515192,0.00000150,225.9
800,1.504326,0.00000146,233.3
825,1.501606,0.00000143,240.5
850,1.507943,0.00000139,247.5
875,1.501589,0.00000136,254.7
900,1.492566,0.00000132,261.9
925,1.493016,0.00000128,269.2
950,1.497102,0.00000125,276.5
975,1.492332,0.00000121,283.9
1000,1.490119,0.00000117,291.2
1025,1.492109,0.00000114,299.8
1050,1.485944,0.00000110,307.2
1075,1.485590,0.00000106,314.3
1100,1.483696,0.00000103,321.0
1125,1.480453,0.00000099,328.2
1150,1.479064,0.00000095,335.6
1175,1.481873,0.00000092,343.0
1200,1.485159,0.00000088,350.4
1225,1.482621,0.00000084,357.8
1250,1.478844,0.00000081,365.1
1275,1.480268,0.00000077,372.4
1300,1.475421,0.00000074,379.7
1325,1.478553,0.00000070,387.1
1350,1.476272,0.00000067,394.6
1375,1.477493,0.00000064,401.7
1400,1.473663,0.00000061,408.9
1425,1.469570,0.00000058,416.3
1450,1.472481,0.00000055,423.6
1475,1.477488,0.00000052,430.9
1500,1.475922,0.00000049,438.2
1525,1.470509,0.00000046,446.1
1550,1.469082,0.00000044,453.2
1575,1.467542,0.00000041,460.3
1600,1.473033,0.00000039,467.7
