step,loss,lr,elapsed_sec
25,7.688538,0.00000050,5.3
50,6.969726,0.00000100,10.1
75,6.385972,0.00000150,15.2
100,5.969556,0.00000200,20.0
125,5.510464,0.00000200,25.2
150,5.055196,0.00000200,30.0
175,4.661350,0.00000199,35.0
200,4.326378,0.00000199,39.8
225,3.973979,0.00000198,44.8
250,3.634459,0.00000197,49.5
275,3.418289,0.00000196,54.5
300,2.917284,0.00000195,59.2
325,2.857355,0.00000194,64.4
350,2.594522,0.00000192,69.2
375,2.488949,0.00000191,74.2
400,2.261854,0.00000189,78.8
425,2.255588,0.00000187,83.9
450,2.114151,0.00000185,88.6
475,2.053087,0.00000183,93.6
500,1.960004,0.00000181,98.3
525,1.966583,0.00000179,103.7
550,1.905004,0.00000176,108.4
575,1.864357,0.00000174,113.4
600,1.820970,0.00000171,118.1
625,1.827852,0.00000168,123.1
650,1.813408,0.00000165,127.8
675,1.795052,0.00000162,132.8
700,1.786227,0.00000159,137.5
725,1.771182,0.00000156,142.6
750,1.745942,0.00000153,147.4
775,1.734831,0.00000150,152.5
800,1.742633,0.00000146,157.1
825,1.716336,0.00000143,162.0
850,1.722723,0.00000139,166.7
875,1.690669,0.00000136,171.7
900,1.703962,0.00000132,176.5
925,1.687887,0.00000128,181.5
950,1.695099,0.00000125,186.2
975,1.672895,0.00000121,191.2
1000,1.670755,0.00000117,196.0
1025,1.664940,0.00000114,202.2
1050,1.663989,0.00000110,206.9
1075,1.653437,0.00000106,212.0
1100,1.654091,0.00000103,216.7
1125,1.655083,0.00000099,221.7
1150,1.649800,0.00000095,226.4
1175,1.635624,0.00000092,231.3
1200,1.647489,0.00000088,236.1
1225,1.638623,0.00000084,241.1
1250,1.632717,0.00000081,245.9
1275,1.632284,0.00000077,250.9
1300,1.624108,0.00000074,255.5
1325,1.630411,0.00000070,260.6
1350,1.626120,0.00000067,265.3
1375,1.621867,0.00000064,270.3
1400,1.619931,0.00000061,275.0
1425,1.622511,0.00000058,280.0
1450,1.607249,0.00000055,284.7
1475,1.618294,0.00000052,289.8
1500,1.615044,0.00000049,294.6
1525,1.609145,0.00000046,299.9
1550,1.605657,0.00000044,304.6
1575,1.606377,0.00000041,309.4
1600,1.614747,0.00000039,314.1
1625,1.608957,0.00000037,319.3
1650,1.612132,0.00000035,324.0
1675,1.605946,0.00000033,329.0
1700,1.612792,0.00000031,333.6
1725,1.617203,0.00000029,338.7
1750,1.602461,0.00000028,343.4
1775,1.604217,0.00000026,348.5
1800,1.612474,0.00000025,353.4
1825,1.607742,0.00000024,358.4
1850,1.605085,0.00000023,363.2
1875,1.602533,0.00000022,368.2
1900,1.596956,0.00000021,372.9
1925,1.597423,0.00000021,378.0
1950,1.598654,0.00000020,382.8
1975,1.605485,0.00000020,387.8
2000,1.594340,0.00000020,392.6
25,6.088213,0.00000050,1.7
50,6.354792,0.00000100,3.2
75,6.162366,0.00000150,4.4
100,5.987078,0.00000200,5.9
125,5.839306,0.00000200,7.1
150,5.974151,0.00000200,8.6
175,5.807221,0.00000199,9.8
200,5.772199,0.00000199,11.3
225,5.761895,0.00000198,12.6
250,5.753068,0.00000197,14.0
275,5.427100,0.00000196,15.3
300,5.683503,0.00000195,16.7
325,5.628674,0.00000194,18.0
350,5.256691,0.00000192,19.4
375,5.499685,0.00000191,20.6
400,5.551957,0.00000189,22.1
425,5.357332,0.00000187,23.3
450,5.294643,0.00000185,24.8
475,5.380110,0.00000183,26.0
500,5.326535,0.00000181,27.5
525,5.256760,0.00000179,29.0
550,5.370776,0.00000176,30.5
575,5.378354,0.00000174,31.7
600,5.052816,0.00000171,33.2
625,4.941633,0.00000168,34.6
650,5.091171,0.00000165,35.8
675,5.217491,0.00000162,37.3
700,5.059302,0.00000159,38.5
725,5.019596,0.00000156,40.0
750,5.199524,0.00000153,41.2
775,4.957052,0.00000150,42.8
800,5.031682,0.00000146,44.0
825,5.010002,0.00000143,45.4
850,4.994232,0.00000139,46.6
875,4.773861,0.00000136,48.1
900,4.798334,0.00000132,49.3
925,5.119611,0.00000128,50.8
950,4.886497,0.00000125,52.0
975,4.928094,0.00000121,53.6
1000,5.161317,0.00000117,54.8
1025,5.137520,0.00000114,57.4
1050,5.116937,0.00000110,58.6
1075,4.861454,0.00000106,60.1
1100,4.899897,0.00000103,61.3
1125,4.998796,0.00000099,62.8
1150,4.971660,0.00000095,64.0
1175,4.800785,0.00000092,65.5
1200,4.839603,0.00000088,66.7
1225,5.185495,0.00000084,68.2
1250,4.837048,0.00000081,69.7
1275,4.867002,0.00000077,70.9
1300,5.123247,0.00000074,72.4
1325,5.193089,0.00000070,73.6
1350,4.673094,0.00000067,75.0
1375,4.799195,0.00000064,76.3
1400,4.715945,0.00000061,77.7
1425,4.610187,0.00000058,79.0
1450,4.768470,0.00000055,80.4
1475,5.006989,0.00000052,81.7
1500,4.657949,0.00000049,83.2
1525,4.784555,0.00000046,84.8
1550,4.818806,0.00000044,86.3
1575,5.023085,0.00000041,87.5
1600,4.879831,0.00000039,89.0
1625,4.633798,0.00000037,90.2
1650,4.651503,0.00000035,91.7
1675,4.484216,0.00000033,92.9
1700,4.870450,0.00000031,94.4
1725,4.851918,0.00000029,95.6
1750,4.915926,0.00000028,97.1
1775,4.832275,0.00000026,98.3
1800,4.847795,0.00000025,99.8
1825,4.775552,0.00000024,101.3
1850,4.730059,0.00000023,102.5
1875,4.774823,0.00000022,104.0
1900,4.630578,0.00000021,105.4
1925,4.622179,0.00000021,106.9
1950,4.790788,0.00000020,108.2
1975,4.755324,0.00000020,109.6
2000,4.965205,0.00000020,110.9
