step,loss,lr,elapsed_sec
25,7.333139,0.00000050,4.3
50,6.736493,0.00000100,7.8
75,6.182343,0.00000150,11.8
100,5.609977,0.00000200,15.6
125,5.200556,0.00000200,19.5
150,4.656041,0.00000200,23.2
175,4.306113,0.00000199,27.2
200,3.823533,0.00000199,31.0
225,3.499024,0.00000198,34.8
250,3.268636,0.00000197,38.6
275,2.927429,0.00000196,42.6
300,2.582733,0.00000195,46.3
325,2.473505,0.00000194,50.4
350,2.337415,0.00000192,54.1
375,2.180738,0.00000191,58.0
400,2.114177,0.00000189,61.8
425,2.001896,0.00000187,65.9
450,1.922586,0.00000185,69.6
475,1.868709,0.00000183,73.5
500,1.884723,0.00000181,77.2
525,1.840877,0.00000179,81.4
550,1.826308,0.00000176,85.1
575,1.777689,0.00000174,89.0
600,1.732026,0.00000171,92.8
625,1.749637,0.00000168,96.6
650,1.745682,0.00000165,100.4
675,1.711543,0.00000162,104.3
700,1.697209,0.00000159,108.1
725,1.690594,0.00000156,112.0
750,1.681499,0.00000153,115.9
775,1.678089,0.00000150,119.8
800,1.667256,0.00000146,123.4
825,1.657592,0.00000143,127.2
850,1.646476,0.00000139,130.8
875,1.636961,0.00000136,134.5
900,1.633738,0.00000132,138.1
925,1.636470,0.00000128,141.9
950,1.619285,0.00000125,145.6
975,1.627173,0.00000121,149.5
1000,1.620050,0.00000117,153.2
1025,1.615690,0.00000114,158.3
1050,1.609255,0.00000110,162.0
1075,1.608534,0.00000106,166.0
1100,1.601343,0.00000103,169.7
1125,1.602896,0.00000099,173.7
1150,1.592645,0.00000095,177.3
1175,1.599689,0.00000092,181.3
1200,1.593832,0.00000088,185.5
1225,1.591268,0.00000084,189.7
1250,1.593704,0.00000081,193.3
1275,1.587312,0.00000077,197.3
1300,1.572218,0.00000074,201.0
1325,1.585189,0.00000070,205.0
1350,1.584173,0.00000067,208.7
1375,1.588169,0.00000064,212.3
1400,1.599404,0.00000061,216.0
1425,1.573601,0.00000058,219.9
1450,1.582421,0.00000055,223.5
1475,1.571184,0.00000052,227.5
1500,1.565318,0.00000049,231.4
1525,1.578699,0.00000046,235.7
1550,1.569033,0.00000044,239.5
1575,1.583698,0.00000041,243.5
1600,1.579728,0.00000039,247.3
1625,1.578499,0.00000037,251.2
1650,1.572116,0.00000035,255.0
1675,1.570860,0.00000033,259.0
1700,1.569333,0.00000031,262.8
1725,1.572885,0.00000029,266.7
1750,1.576178,0.00000028,270.4
1775,1.568790,0.00000026,274.4
1800,1.571106,0.00000025,278.1
1825,1.567315,0.00000024,282.2
1850,1.553846,0.00000023,286.0
1875,1.562537,0.00000022,290.0
1900,1.562145,0.00000021,293.8
1925,1.564546,0.00000021,297.8
1950,1.565699,0.00000020,301.6
1975,1.565810,0.00000020,305.3
2000,1.565307,0.00000020,309.0
25,5.990163,0.00000050,1.7
50,5.644177,0.00000100,3.2
75,5.586998,0.00000150,4.4
100,5.575774,0.00000200,5.9
125,5.697840,0.00000200,7.1
150,5.799726,0.00000200,8.6
175,5.416344,0.00000199,9.8
200,5.414072,0.00000199,11.3
225,5.680511,0.00000198,12.5
250,5.270727,0.00000197,13.9
275,5.494175,0.00000196,15.1
300,5.271525,0.00000195,16.6
325,4.984535,0.00000194,17.8
350,5.125153,0.00000192,19.3
375,5.432612,0.00000191,20.5
400,5.087319,0.00000189,22.0
425,4.862451,0.00000187,23.3
450,5.162690,0.00000185,24.9
475,5.283281,0.00000183,26.1
500,5.280942,0.00000181,27.6
525,5.004146,0.00000179,29.0
550,5.005852,0.00000176,30.5
575,4.691163,0.00000174,31.7
600,4.979753,0.00000171,33.2
625,4.747263,0.00000168,34.7
650,5.104527,0.00000165,36.0
675,4.823412,0.00000162,37.5
700,4.682377,0.00000159,38.7
725,4.701987,0.00000156,40.1
750,4.832678,0.00000153,41.4
775,4.685986,0.00000150,42.8
800,4.857269,0.00000146,44.0
825,4.826780,0.00000143,45.5
850,4.504824,0.00000139,46.7
875,4.772870,0.00000136,48.2
900,4.745636,0.00000132,49.4
925,4.973942,0.00000128,50.9
950,4.893907,0.00000125,52.1
975,4.372293,0.00000121,53.6
1000,4.722687,0.00000117,54.8
1025,4.706403,0.00000114,57.6
1050,4.930861,0.00000110,58.9
1075,4.822742,0.00000106,60.5
1100,4.841129,0.00000103,61.7
1125,4.700849,0.00000099,63.2
1150,4.813233,0.00000095,64.4
1175,4.574863,0.00000092,65.9
1200,4.621059,0.00000088,67.1
1225,4.914668,0.00000084,68.6
1250,4.764097,0.00000081,70.1
1275,4.486281,0.00000077,71.3
1300,4.864142,0.00000074,72.8
1325,4.451187,0.00000070,74.1
1350,4.538373,0.00000067,75.6
1375,4.763556,0.00000064,76.8
1400,4.701465,0.00000061,78.3
1425,4.594006,0.00000058,79.5
1450,4.298531,0.00000055,81.0
1475,4.785001,0.00000052,82.3
1500,4.613317,0.00000049,83.8
1525,4.411351,0.00000046,85.4
1550,4.889466,0.00000044,87.0
1575,4.422130,0.00000041,88.2
1600,4.742974,0.00000039,89.7
1625,4.533267,0.00000037,90.9
