step,loss,lr,elapsed_sec
25,7.706944,0.00000050,5.0
50,6.729317,0.00000100,9.4
75,6.228806,0.00000150,14.0
100,5.881697,0.00000200,18.3
125,5.341579,0.00000200,22.9
150,5.139817,0.00000200,27.2
175,4.613986,0.00000199,31.8
200,4.329358,0.00000199,36.1
225,4.110834,0.00000198,40.6
250,3.676533,0.00000197,44.8
275,3.519686,0.00000196,49.5
300,3.131061,0.00000195,53.8
325,3.062052,0.00000194,58.4
350,2.784781,0.00000192,62.6
375,2.663683,0.00000191,67.0
400,2.550968,0.00000189,71.0
425,2.403421,0.00000187,75.5
450,2.257077,0.00000185,79.7
475,2.197495,0.00000183,84.2
500,2.088457,0.00000181,88.3
525,2.065185,0.00000179,93.1
550,1.998027,0.00000176,97.2
575,1.994898,0.00000174,101.8
600,1.947377,0.00000171,106.0
625,1.907441,0.00000168,110.5
650,1.848633,0.00000165,114.7
675,1.872949,0.00000162,119.3
700,1.853085,0.00000159,123.3
725,1.797311,0.00000156,127.8
750,1.798712,0.00000153,132.0
775,1.788610,0.00000150,136.5
800,1.766350,0.00000146,140.7
825,1.764923,0.00000143,145.3
850,1.763311,0.00000139,149.5
875,1.743215,0.00000136,154.0
900,1.739301,0.00000132,158.2
925,1.732986,0.00000128,162.6
950,1.709221,0.00000125,166.9
975,1.703175,0.00000121,171.5
1000,1.706540,0.00000117,175.7
1025,1.701545,0.00000114,181.3
1050,1.690107,0.00000110,185.6
1075,1.686562,0.00000106,190.1
1100,1.703789,0.00000103,194.4
1125,1.670286,0.00000099,198.7
1150,1.644096,0.00000095,203.1
1175,1.662695,0.00000092,207.6
1200,1.656073,0.00000088,211.7
1225,1.659369,0.00000084,216.3
1250,1.646286,0.00000081,220.6
1275,1.649816,0.00000077,225.2
1300,1.661652,0.00000074,229.4
1325,1.641573,0.00000070,234.0
1350,1.655381,0.00000067,238.3
1375,1.644170,0.00000064,242.9
1400,1.645947,0.00000061,247.1
1425,1.634074,0.00000058,251.7
1450,1.643015,0.00000055,255.9
1475,1.633132,0.00000052,260.5
1500,1.642048,0.00000049,264.8
1525,1.628235,0.00000046,269.7
1550,1.623043,0.00000044,273.9
1575,1.618824,0.00000041,278.5
